cap_mhz,rep,throughput,p50_ms,p95_ms,p99_ms,error_rate,king_share,jack_share,queen_share,king_p50,jack_p50,queen_p50,spread,king_cur_mhz,king_soc_c
2208,1,389.2,86.48,145.63,186.65,0.0000,33.3,33.3,33.3,86.8,82.2,91.1,1.11,2208,54.5
2208,2,387.0,86.18,151.47,193.96,0.0000,33.3,33.3,33.3,80.8,91.0,87.7,1.13,2208,55.5
1608,1,382.8,86.43,154.91,206.62,0.0000,33.3,33.3,33.3,95.6,82.4,81.9,1.17,1608,53.6
1608,2,383.0,87.03,153.64,201.28,0.0000,33.3,33.3,33.3,97.0,84.2,81.2,1.19,1608,53.6
1200,1,379.6,86.58,163.76,217.13,0.0000,33.3,33.3,33.3,105.3,82.2,76.8,1.37,1200,51.8
1200,2,379.6,87.38,158.39,205.24,0.0000,33.3,33.3,33.3,101.9,84.4,78.6,1.30,1200,51.8
1008,1,371.1,83.32,193.27,253.57,0.0000,33.3,33.3,33.3,125.0,72.1,74.2,1.74,1008,49.9
1008,2,366.8,82.62,203.72,261.71,0.0000,33.3,33.3,33.3,130.4,72.7,71.2,1.83,1008,52.7
816,1,359.8,78.40,221.02,279.09,0.0000,33.3,33.3,33.3,150.9,67.3,65.6,2.30,816,50.8
816,2,359.4,80.30,215.39,275.05,0.0000,33.3,33.3,33.3,148.7,68.5,67.0,2.22,816,49.9
600,1,318.9,65.56,302.36,384.68,0.0000,33.3,33.3,33.3,210.8,55.0,54.8,3.85,600,49.0
600,2,317.8,64.50,310.65,395.98,0.0000,33.3,33.3,33.3,216.2,53.7,54.1,4.02,600,48.1
