conns,concurrency,rep,throughput,p50_ms,p95_ms,p99_ms,max_ms,net_to_node_ms,node_queue_ms,error_rate
1,8,1,112.4,68.38,100.64,115.67,146.73,17.66,0.020,0.0000
1,12,1,114.0,102.88,148.52,167.15,212.81,33.05,0.020,0.0000
1,16,1,115.6,136.64,190.34,217.67,256.55,49.41,0.020,0.0000
1,20,1,114.8,171.36,236.76,274.72,349.25,66.54,0.020,0.0000
1,24,1,115.9,202.13,286.80,326.23,436.22,82.71,0.020,0.0000
1,24,2,116.7,200.83,285.06,332.20,477.73,81.74,0.020,0.0000
1,20,2,115.0,171.11,239.47,272.00,347.77,66.71,0.020,0.0000
1,16,2,115.5,137.09,190.01,212.69,262.42,49.68,0.020,0.0000
1,12,2,115.3,101.80,146.59,166.44,203.42,32.75,0.020,0.0000
1,8,2,111.1,69.21,103.29,119.97,170.06,18.15,0.020,0.0000
1,8,3,112.7,68.55,99.93,115.42,148.12,17.89,0.021,0.0000
1,12,3,115.2,101.52,147.60,168.11,206.99,32.77,0.020,0.0000
1,16,3,114.1,138.67,194.01,217.33,316.04,50.15,0.020,0.0000
1,20,3,114.8,171.24,241.45,275.51,353.96,66.70,0.020,0.0000
1,24,3,115.2,204.09,288.57,332.00,426.00,83.69,0.020,0.0000
