conns,concurrency,rep,throughput,p50_ms,p95_ms,p99_ms,max_ms,net_to_node_ms,node_queue_ms,error_rate
2,24,1,134.9,171.50,308.63,357.13,498.89,65.31,0.022,0.0000
2,32,1,133.3,230.49,423.24,490.02,644.83,94.48,0.022,0.0000
2,40,1,134.1,285.59,557.72,659.68,847.52,122.35,0.022,0.0000
2,48,1,133.9,339.44,705.40,849.65,1218.22,149.12,0.023,0.0000
2,64,1,133.2,447.02,1031.73,1218.91,1687.30,203.57,0.023,0.0000
4,24,1,139.7,128.51,396.49,491.47,675.49,42.62,0.023,0.0000
4,32,1,138.4,169.79,577.67,721.07,1009.23,63.92,0.023,0.0000
4,40,1,137.4,222.38,721.26,914.07,1387.13,90.07,0.022,0.0000
4,48,1,138.5,207.24,990.11,1228.03,1612.85,82.54,0.023,0.0000
4,64,1,137.2,291.74,1352.51,1647.56,2184.67,123.92,0.023,0.0000
4,64,2,139.2,353.83,1173.34,1445.37,1925.61,155.09,0.023,0.0000
4,48,2,137.8,237.48,972.06,1219.47,1566.77,96.77,0.023,0.0000
4,40,2,137.9,219.67,725.81,932.73,1490.56,88.71,0.023,0.0000
4,32,2,137.8,165.28,572.30,702.68,1066.30,61.16,0.023,0.0000
4,24,2,137.9,135.24,382.95,468.14,650.40,46.72,0.023,0.0000
2,64,2,133.1,449.17,958.97,1132.99,1668.96,204.03,0.023,0.0000
2,48,2,133.6,341.22,667.74,786.47,1083.39,150.53,0.023,0.0000
2,40,2,134.9,274.45,595.59,697.82,929.55,117.14,0.023,0.0000
2,32,2,133.9,228.58,438.44,516.45,674.61,94.34,0.022,0.0000
2,24,2,133.0,174.69,313.49,362.01,492.75,66.43,0.022,0.0000
2,24,3,135.0,171.33,298.71,353.35,490.18,64.79,0.022,0.0000
2,32,3,134.0,226.75,432.69,510.76,679.93,93.21,0.023,0.0000
2,40,3,133.7,286.29,562.97,665.69,953.64,122.88,0.023,0.0000
2,48,3,134.0,335.03,719.58,859.95,1101.89,146.35,0.023,0.0000
2,64,3,132.4,461.57,847.20,1044.97,1473.26,210.38,0.023,0.0000
4,24,3,140.3,128.00,393.40,480.93,635.73,42.68,0.023,0.0000
4,32,3,138.6,163.58,579.43,721.14,949.41,60.43,0.023,0.0000
4,40,3,137.8,224.12,711.54,951.76,1258.02,91.01,0.023,0.0000
4,48,3,136.5,271.25,913.71,1155.30,1655.45,113.96,0.022,0.0000
4,64,3,137.3,356.64,1237.38,1607.22,2272.29,156.71,0.023,0.0000
