Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

10:32:24 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:32:25 AM  1000     45276         -  216.83  156.44    0.00    0.00  373.27     7  npuforge-node.s
10:32:25 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:25 AM  1000         -     45277   24.75   22.77    0.00    3.96   47.52     0  |__tokio-rt-worker
10:32:25 AM  1000         -     45278   27.72   19.80    0.00    1.98   47.52     7  |__tokio-rt-worker
10:32:25 AM  1000         -     45279   29.70   16.83    0.00    3.96   46.53     0  |__tokio-rt-worker
10:32:25 AM  1000         -     45280   29.70   20.79    0.00    1.98   50.50     4  |__tokio-rt-worker
10:32:25 AM  1000         -     45281   26.73   19.80    0.00    2.97   46.53     5  |__tokio-rt-worker
10:32:25 AM  1000         -     45282   27.72   17.82    0.00    1.98   45.54     3  |__tokio-rt-worker
10:32:25 AM  1000         -     45283   27.72   17.82    0.00    1.98   45.54     6  |__tokio-rt-worker
10:32:25 AM  1000         -     45284   23.76   20.79    0.00    1.98   44.55     1  |__tokio-rt-worker
10:32:26 AM  1000     45276         -  214.00  148.00    0.00    0.00  362.00     7  npuforge-node.s
10:32:26 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:26 AM  1000         -     45277   27.00   18.00    0.00    1.00   45.00     1  |__tokio-rt-worker
10:32:26 AM  1000         -     45278   25.00   20.00    0.00    1.00   45.00     7  |__tokio-rt-worker
10:32:26 AM  1000         -     45279   26.00   20.00    0.00    2.00   46.00     4  |__tokio-rt-worker
10:32:26 AM  1000         -     45280   23.00   21.00    0.00    4.00   44.00     0  |__tokio-rt-worker
10:32:26 AM  1000         -     45281   29.00   16.00    0.00    3.00   45.00     3  |__tokio-rt-worker
10:32:26 AM  1000         -     45282   29.00   16.00    0.00    2.00   45.00     2  |__tokio-rt-worker
10:32:26 AM  1000         -     45283   28.00   18.00    0.00    1.00   46.00     5  |__tokio-rt-worker
10:32:26 AM  1000         -     45284   28.00   17.00    0.00    2.00   45.00     6  |__tokio-rt-worker
10:32:27 AM  1000     45276         -  223.00  147.00    0.00    0.00  370.00     7  npuforge-node.s
10:32:27 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:27 AM  1000         -     45277   29.00   16.00    0.00    1.00   45.00     7  |__tokio-rt-worker
10:32:27 AM  1000         -     45278   26.00   21.00    0.00    2.00   47.00     6  |__tokio-rt-worker
10:32:27 AM  1000         -     45279   28.00   20.00    0.00    2.00   48.00     1  |__tokio-rt-worker
10:32:27 AM  1000         -     45280   26.00   20.00    0.00    3.00   46.00     5  |__tokio-rt-worker
10:32:27 AM  1000         -     45281   29.00   20.00    0.00    2.00   49.00     4  |__tokio-rt-worker
10:32:27 AM  1000         -     45282   29.00   19.00    0.00    2.00   48.00     1  |__tokio-rt-worker
10:32:27 AM  1000         -     45283   27.00   17.00    0.00    2.00   44.00     5  |__tokio-rt-worker
10:32:27 AM  1000         -     45284   29.00   15.00    0.00    3.00   44.00     6  |__tokio-rt-worker
10:32:28 AM  1000     45276         -  228.00  152.00    0.00    0.00  380.00     7  npuforge-node.s
10:32:28 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:28 AM  1000         -     45277   27.00   20.00    0.00    4.00   47.00     4  |__tokio-rt-worker
10:32:28 AM  1000         -     45278   29.00   17.00    0.00    3.00   46.00     5  |__tokio-rt-worker
10:32:28 AM  1000         -     45279   28.00   17.00    0.00    3.00   45.00     4  |__tokio-rt-worker
10:32:28 AM  1000         -     45280   29.00   18.00    0.00    1.00   47.00     4  |__tokio-rt-worker
10:32:28 AM  1000         -     45281   31.00   18.00    0.00    3.00   49.00     1  |__tokio-rt-worker
10:32:28 AM  1000         -     45282   26.00   23.00    0.00    2.00   49.00     1  |__tokio-rt-worker
10:32:28 AM  1000         -     45283   28.00   20.00    0.00    2.00   48.00     6  |__tokio-rt-worker
10:32:28 AM  1000         -     45284   29.00   20.00    0.00    1.00   49.00     7  |__tokio-rt-worker
10:32:29 AM  1000     45276         -  204.00  146.00    0.00    0.00  350.00     7  npuforge-node.s
10:32:29 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:29 AM  1000         -     45277   25.00   17.00    0.00    3.00   42.00     5  |__tokio-rt-worker
10:32:29 AM  1000         -     45278   27.00   17.00    0.00    2.00   44.00     5  |__tokio-rt-worker
10:32:29 AM  1000         -     45279   25.00   18.00    0.00    2.00   43.00     4  |__tokio-rt-worker
10:32:29 AM  1000         -     45280   29.00   14.00    0.00    1.00   43.00     7  |__tokio-rt-worker
10:32:29 AM  1000         -     45281   26.00   22.00    0.00    2.00   48.00     5  |__tokio-rt-worker
10:32:29 AM  1000         -     45282   24.00   18.00    0.00    3.00   42.00     6  |__tokio-rt-worker
10:32:29 AM  1000         -     45283   24.00   20.00    0.00    2.00   44.00     6  |__tokio-rt-worker
10:32:29 AM  1000         -     45284   25.00   19.00    0.00    1.00   44.00     6  |__tokio-rt-worker
10:32:30 AM  1000     45276         -  222.00  142.00    0.00    0.00  364.00     7  npuforge-node.s
10:32:30 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:30 AM  1000         -     45277   30.00   18.00    0.00    3.00   48.00     7  |__tokio-rt-worker
10:32:30 AM  1000         -     45278   26.00   19.00    0.00    2.00   45.00     4  |__tokio-rt-worker
10:32:30 AM  1000         -     45279   27.00   18.00    0.00    2.00   45.00     2  |__tokio-rt-worker
10:32:30 AM  1000         -     45280   31.00   16.00    0.00    3.00   47.00     6  |__tokio-rt-worker
10:32:30 AM  1000         -     45281   26.00   18.00    0.00    3.00   44.00     4  |__tokio-rt-worker
10:32:30 AM  1000         -     45282   27.00   17.00    0.00    3.00   44.00     1  |__tokio-rt-worker
10:32:30 AM  1000         -     45283   28.00   19.00    0.00    2.00   47.00     1  |__tokio-rt-worker
10:32:30 AM  1000         -     45284   26.00   18.00    0.00    3.00   44.00     5  |__tokio-rt-worker
10:32:31 AM  1000     45276         -  193.00  136.00    0.00    0.00  329.00     7  npuforge-node.s
10:32:31 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:31 AM  1000         -     45277   24.00   15.00    0.00    1.00   39.00     4  |__tokio-rt-worker
10:32:31 AM  1000         -     45278   25.00   17.00    0.00    2.00   42.00     3  |__tokio-rt-worker
10:32:31 AM  1000         -     45279   27.00   18.00    0.00    2.00   45.00     2  |__tokio-rt-worker
10:32:31 AM  1000         -     45280   23.00   17.00    0.00    2.00   40.00     7  |__tokio-rt-worker
10:32:31 AM  1000         -     45281   23.00   17.00    0.00    1.00   40.00     1  |__tokio-rt-worker
10:32:31 AM  1000         -     45282   25.00   17.00    0.00    2.00   42.00     6  |__tokio-rt-worker
10:32:31 AM  1000         -     45283   22.00   19.00    0.00    1.00   41.00     5  |__tokio-rt-worker
10:32:31 AM  1000         -     45284   25.00   14.00    0.00    1.00   39.00     3  |__tokio-rt-worker
10:32:32 AM  1000     45276         -  219.00  144.00    0.00    0.00  363.00     7  npuforge-node.s
10:32:32 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:32 AM  1000         -     45277   24.00   20.00    0.00    2.00   44.00     2  |__tokio-rt-worker
10:32:32 AM  1000         -     45278   24.00   22.00    0.00    3.00   46.00     7  |__tokio-rt-worker
10:32:32 AM  1000         -     45279   32.00   17.00    0.00    0.00   49.00     7  |__tokio-rt-worker
10:32:32 AM  1000         -     45280   27.00   17.00    0.00    1.00   44.00     1  |__tokio-rt-worker
10:32:32 AM  1000         -     45281   27.00   17.00    0.00    3.00   44.00     0  |__tokio-rt-worker
10:32:32 AM  1000         -     45282   23.00   20.00    0.00    2.00   43.00     4  |__tokio-rt-worker
10:32:32 AM  1000         -     45283   26.00   17.00    0.00    2.00   43.00     5  |__tokio-rt-worker
10:32:32 AM  1000         -     45284   33.00   14.00    0.00    2.00   47.00     3  |__tokio-rt-worker
10:32:33 AM  1000     45276         -  225.00  147.00    0.00    0.00  372.00     7  npuforge-node.s
10:32:33 AM  1000         -     45276    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
10:32:33 AM  1000         -     45277   25.00   19.00    0.00    3.00   44.00     3  |__tokio-rt-worker
10:32:33 AM  1000         -     45278   25.00   23.00    0.00    1.00   48.00     5  |__tokio-rt-worker
10:32:33 AM  1000         -     45279   30.00   19.00    0.00    3.00   49.00     1  |__tokio-rt-worker
10:32:33 AM  1000         -     45280   30.00   18.00    0.00    2.00   48.00     1  |__tokio-rt-worker
10:32:33 AM  1000         -     45281   27.00   21.00    0.00    3.00   48.00     6  |__tokio-rt-worker
10:32:33 AM  1000         -     45282   29.00   15.00    0.00    5.00   44.00     7  |__tokio-rt-worker
