Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

10:30:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:30:52 AM  all   28.09    0.00   20.75    0.00    0.00   10.18    0.00    0.00    0.00   40.98
10:30:52 AM    0    2.04    0.00    2.04    0.00    0.00   80.61    0.00    0.00    0.00   15.31
10:30:52 AM    1   24.24    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   64.65
10:30:52 AM    2   21.88    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   70.83
10:30:52 AM    3   25.25    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   60.61
10:30:52 AM    4   36.73    0.00   34.69    0.00    0.00    0.00    0.00    0.00    0.00   28.57
10:30:52 AM    5   40.21    0.00   34.02    0.00    0.00    0.00    0.00    0.00    0.00   25.77
10:30:52 AM    6   35.48    0.00   31.18    0.00    0.00    0.00    0.00    0.00    0.00   33.33
10:30:52 AM    7   39.58    0.00   32.29    0.00    0.00    0.00    0.00    0.00    0.00   28.12

10:30:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:30:53 AM  all   29.37    0.00   19.79    0.00    0.00   10.61    0.00    0.00    0.00   40.23
10:30:53 AM    0    0.99    0.00    2.97    0.00    0.00   80.20    0.00    0.00    0.00   15.84
10:30:53 AM    1   22.11    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   65.26
10:30:53 AM    2   22.45    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   68.37
10:30:53 AM    3   23.47    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   68.37
10:30:53 AM    4   41.84    0.00   34.69    0.00    0.00    0.00    0.00    0.00    0.00   23.47
10:30:53 AM    5   41.49    0.00   31.91    0.00    0.00    0.00    0.00    0.00    0.00   26.60
10:30:53 AM    6   42.71    0.00   31.25    0.00    0.00    0.00    0.00    0.00    0.00   26.04
