Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

10:16:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:51 AM  all   26.74    0.00   18.51    0.00    0.00   10.67    0.00    0.00    0.00   44.09
10:16:51 AM    0    1.03    0.00    1.03    0.00    0.00   85.57    0.00    0.00    0.00   12.37
10:16:51 AM    1   27.55    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   61.22
10:16:51 AM    2   27.72    0.00   17.82    0.00    0.00    0.00    0.00    0.00    0.00   54.46
10:16:51 AM    3   29.29    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   54.55
10:16:51 AM    4   34.02    0.00   25.77    0.00    0.00    0.00    0.00    0.00    0.00   40.21
10:16:51 AM    5   35.05    0.00   24.74    0.00    0.00    0.00    0.00    0.00    0.00   40.21
10:16:51 AM    6   32.26    0.00   24.73    0.00    0.00    0.00    0.00    0.00    0.00   43.01
10:16:51 AM    7   27.08    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00   45.83

10:16:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:52 AM  all   27.93    0.00   19.05    0.00    0.00   10.81    0.00    0.00    0.00   42.21
10:16:52 AM    0    3.03    0.00    0.00    0.00    0.00   84.85    0.00    0.00    0.00   12.12
10:16:52 AM    1   22.34    0.00   11.70    0.00    0.00    0.00    0.00    0.00    0.00   65.96
10:16:52 AM    2   28.57    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   57.14
10:16:52 AM    3   27.08    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   61.46
10:16:52 AM    4   35.79    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00   34.74
10:16:52 AM    5   37.37    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00   34.34
10:16:52 AM    6   37.11    0.00   27.84    0.00    0.00    0.00    0.00    0.00    0.00   35.05
10:16:52 AM    7   32.32    0.00   29.29    0.00    0.00    0.00    0.00    0.00    0.00   38.38

10:16:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:53 AM  all   28.81    0.00   19.04    0.00    0.00   11.60    0.00    0.00    0.00   40.55
10:16:53 AM    0    0.00    0.00    1.02    0.00    0.00   90.82    0.00    0.00    0.00    8.16
10:16:53 AM    1   20.83    0.00   18.75    0.00    0.00    0.00    0.00    0.00    0.00   60.42
10:16:53 AM    2   28.12    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   55.21
10:16:53 AM    3   32.99    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   54.64
10:16:53 AM    4   34.74    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00   35.79
10:16:53 AM    5   37.50    0.00   28.12    0.00    0.00    0.00    0.00    0.00    0.00   34.38
10:16:53 AM    6   39.78    0.00   21.51    0.00    0.00    0.00    0.00    0.00    0.00   38.71
10:16:53 AM    7   37.50    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   37.50

10:16:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:54 AM  all   28.92    0.00   19.36    0.25    0.00   11.08    0.00    0.00    0.00   40.38
10:16:54 AM    0    1.98    0.00    0.99    0.00    0.00   86.14    0.00    0.00    0.00   10.89
