Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

10:23:03 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:23:04 AM  1000     42794         -  188.12  135.64    0.00    0.00  323.76     5  npuforge-node.s
10:23:04 AM  1000         -     42794    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
10:23:04 AM  1000         -     42795   24.75   12.87    0.00    1.98   37.62     7  |__tokio-rt-worker
10:23:04 AM  1000         -     42796   23.76   14.85    0.00    0.99   38.61     6  |__tokio-rt-worker
10:23:04 AM  1000         -     42797   24.75   14.85    0.00    0.99   39.60     3  |__tokio-rt-worker
10:23:04 AM  1000         -     42798   19.80   17.82    0.00    1.98   37.62     4  |__tokio-rt-worker
10:23:04 AM  1000         -     42799   21.78   15.84    0.00    0.99   37.62     4  |__tokio-rt-worker
10:23:04 AM  1000         -     42800   22.77   19.80    0.00    2.97   42.57     0  |__tokio-rt-worker
10:23:04 AM  1000         -     42801   24.75   17.82    0.00    1.98   42.57     1  |__tokio-rt-worker
10:23:04 AM  1000         -     42802   23.76   20.79    0.00    0.99   44.55     2  |__tokio-rt-worker
10:23:05 AM  1000     42794         -  189.00  149.00    0.00    0.00  338.00     5  npuforge-node.s
10:23:05 AM  1000         -     42794    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
10:23:05 AM  1000         -     42795   24.00   19.00    0.00    1.00   43.00     5  |__tokio-rt-worker
10:23:05 AM  1000         -     42796   24.00   15.00    0.00    2.00   39.00     6  |__tokio-rt-worker
10:23:05 AM  1000         -     42797   25.00   17.00    0.00    2.00   42.00     2  |__tokio-rt-worker
10:23:05 AM  1000         -     42798   23.00   19.00    0.00    2.00   42.00     7  |__tokio-rt-worker
10:23:05 AM  1000         -     42799   24.00   18.00    0.00    2.00   42.00     3  |__tokio-rt-worker
10:23:05 AM  1000         -     42800   24.00   19.00    0.00    2.00   43.00     7  |__tokio-rt-worker
10:23:05 AM  1000         -     42801   24.00   19.00    0.00    1.00   43.00     7  |__tokio-rt-worker
10:23:05 AM  1000         -     42802   23.00   20.00    0.00    1.00   43.00     1  |__tokio-rt-worker
10:23:06 AM  1000     42794         -  196.00  151.00    0.00    0.00  347.00     5  npuforge-node.s
10:23:06 AM  1000         -     42794    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
10:23:06 AM  1000         -     42795   24.00   19.00    0.00    1.00   43.00     5  |__tokio-rt-worker
10:23:06 AM  1000         -     42796   23.00   18.00    0.00    2.00   41.00     3  |__tokio-rt-worker
10:23:06 AM  1000         -     42797   28.00   19.00    0.00    0.00   47.00     4  |__tokio-rt-worker
10:23:06 AM  1000         -     42798   26.00   18.00    0.00    1.00   44.00     4  |__tokio-rt-worker
10:23:06 AM  1000         -     42799   20.00   21.00    0.00    2.00   41.00     5  |__tokio-rt-worker
10:23:06 AM  1000         -     42800   23.00   21.00    0.00    1.00   44.00     7  |__tokio-rt-worker
10:23:06 AM  1000         -     42801   26.00   18.00    0.00    1.00   44.00     2  |__tokio-rt-worker
10:23:06 AM  1000         -     42802   26.00   19.00    0.00    1.00   45.00     1  |__tokio-rt-worker
10:23:07 AM  1000     42794         -  198.00  152.00    0.00    0.00  350.00     5  npuforge-node.s
10:23:07 AM  1000         -     42794    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
10:23:07 AM  1000         -     42795   20.00   20.00    0.00    3.00   40.00     5  |__tokio-rt-worker
10:23:07 AM  1000         -     42796   27.00   17.00    0.00    1.00   44.00     4  |__tokio-rt-worker
10:23:07 AM  1000         -     42797   21.00   23.00    0.00    3.00   44.00     7  |__tokio-rt-worker
10:23:07 AM  1000         -     42798   25.00   19.00    0.00    2.00   44.00     7  |__tokio-rt-worker
10:23:07 AM  1000         -     42799   25.00   18.00    0.00    2.00   43.00     2  |__tokio-rt-worker
10:23:07 AM  1000         -     42800   23.00   19.00    0.00    3.00   42.00     7  |__tokio-rt-worker
10:23:07 AM  1000         -     42801   30.00   15.00    0.00    1.00   45.00     5  |__tokio-rt-worker
10:23:07 AM  1000         -     42802   26.00   22.00    0.00    2.00   48.00     4  |__tokio-rt-worker
10:23:08 AM  1000     42794         -  207.00  150.00    0.00    0.00  357.00     5  npuforge-node.s
10:23:08 AM  1000         -     42794    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
10:23:08 AM  1000         -     42795   25.00   18.00    0.00    1.00   43.00     3  |__tokio-rt-worker
10:23:08 AM  1000         -     42796   22.00   22.00    0.00    2.00   44.00     5  |__tokio-rt-worker
10:23:08 AM  1000         -     42797   27.00   16.00    0.00    1.00   43.00     7  |__tokio-rt-worker
10:23:08 AM  1000         -     42798   28.00   15.00    0.00    1.00   43.00     6  |__tokio-rt-worker
10:23:08 AM  1000         -     42799   26.00   19.00    0.00    2.00   45.00     1  |__tokio-rt-worker
10:23:08 AM  1000         -     42800   26.00   21.00    0.00    1.00   47.00     0  |__tokio-rt-worker
10:23:08 AM  1000         -     42801   27.00   19.00    0.00    1.00   46.00     4  |__tokio-rt-worker
10:23:08 AM  1000         -     42802   24.00   18.00    0.00    2.00   42.00     5  |__tokio-rt-worker
10:23:09 AM  1000     42794         -  199.00  166.00    0.00    0.00  365.00     5  npuforge-node.s
10:23:09 AM  1000         -     42794    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
10:23:09 AM  1000         -     42795   30.00   14.00    0.00    1.00   44.00     3  |__tokio-rt-worker
10:23:09 AM  1000         -     42796   25.00   23.00    0.00    2.00   48.00     5  |__tokio-rt-worker
10:23:09 AM  1000         -     42797   27.00   17.00    0.00    3.00   44.00     6  |__tokio-rt-worker
10:23:09 AM  1000         -     42798   22.00   25.00    0.00    2.00   47.00     1  |__tokio-rt-worker
10:23:09 AM  1000         -     42799   24.00   25.00    0.00    1.00   49.00     0  |__tokio-rt-worker
