Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:11:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:19 PM  all   22.61    0.00   15.25    0.00    0.00    8.27    0.00    0.00    0.00   53.88
01:11:19 PM    0    5.15    0.00    6.19    0.00    0.00   65.98    0.00    0.00    0.00   22.68
01:11:19 PM    1   28.71    0.00   14.85    0.00    0.00    0.00    0.00    0.00    0.00   56.44
01:11:19 PM    2   23.16    0.00   13.68    0.00    0.00    0.00    0.00    0.00    0.00   63.16
01:11:19 PM    3   25.77    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   59.79
01:11:19 PM    4   29.47    0.00   17.89    0.00    0.00    0.00    0.00    0.00    0.00   52.63
01:11:19 PM    5   21.28    0.00   18.09    0.00    0.00    0.00    0.00    0.00    0.00   60.64
01:11:19 PM    6   24.74    0.00   19.59    0.00    0.00    0.00    0.00    0.00    0.00   55.67
01:11:19 PM    7   22.45    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   60.20

01:11:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:20 PM  all   25.06    0.00   18.22    0.00    0.00    8.40    0.00    0.00    0.00   48.32
01:11:20 PM    0    6.19    0.00    5.15    0.00    0.00   67.01    0.00    0.00    0.00   21.65
01:11:20 PM    1   20.62    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   70.10
01:11:20 PM    2   17.35    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   71.43
01:11:20 PM    3   25.51    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   62.24
01:11:20 PM    4   32.32    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   37.37
01:11:20 PM    5   36.84    0.00   21.05    0.00    0.00    0.00    0.00    0.00    0.00   42.11
01:11:20 PM    6   30.53    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00   40.00
01:11:20 PM    7   31.58    0.00   27.37    0.00    0.00    0.00    0.00    0.00    0.00   41.05

01:11:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:21 PM  all   24.45    0.00   18.76    0.00    0.00    8.28    0.00    0.00    0.00   48.51
01:11:21 PM    0    5.26    0.00    7.37    0.00    0.00   67.37    0.00    0.00    0.00   20.00
01:11:21 PM    1   21.05    0.00   14.74    0.00    0.00    0.00    0.00    0.00    0.00   64.21
01:11:21 PM    2   26.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
01:11:21 PM    3   25.26    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   63.16
01:11:21 PM    4   29.90    0.00   29.90    0.00    0.00    0.00    0.00    0.00    0.00   40.21
01:11:21 PM    5   31.31    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   45.45
01:11:21 PM    6   30.61    0.00   22.45    0.00    0.00    0.00    0.00    0.00    0.00   46.94
01:11:21 PM    7   25.53    0.00   22.34    0.00    0.00    0.00    0.00    0.00    0.00   52.13

01:11:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:22 PM  all   27.33    0.00   20.85    0.00    0.00    8.55    0.00    0.00    0.00   43.26
01:11:22 PM    0    5.21    0.00    5.21    0.00    0.00   68.75    0.00    0.00    0.00   20.83
01:11:22 PM    1   23.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
01:11:22 PM    2   13.27    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   77.55
01:11:22 PM    3   12.37    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   83.51
01:11:22 PM    4   46.46    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   23.23
01:11:22 PM    5   43.16    0.00   34.74    0.00    0.00    0.00    0.00    0.00    0.00   22.11
01:11:22 PM    6   42.39    0.00   32.61    0.00    0.00    0.00    0.00    0.00    0.00   25.00
01:11:22 PM    7   33.68    0.00   42.11    0.00    0.00    0.00    0.00    0.00    0.00   24.21

01:11:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:23 PM  all   25.45    0.00   17.39    0.00    0.00    8.31    0.00    0.00    0.00   48.85
01:11:23 PM    0    9.09    0.00    4.04    0.00    0.00   65.66    0.00    0.00    0.00   21.21
01:11:23 PM    1   22.11    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   66.32
01:11:23 PM    2   20.83    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   68.75
01:11:23 PM    3   21.65    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   71.13
01:11:23 PM    4   32.65    0.00   30.61    0.00    0.00    0.00    0.00    0.00    0.00   36.73
01:11:23 PM    5   33.65    0.00   25.96    0.00    0.00    0.00    0.00    0.00    0.00   40.38
01:11:23 PM    6   29.47    0.00   25.26    0.00    0.00    0.00    0.00    0.00    0.00   45.26
01:11:23 PM    7   33.67    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   42.86

01:11:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:24 PM  all   25.36    0.00   16.73    0.00    0.00    8.24    0.00    0.00    0.00   49.67
01:11:24 PM    0    4.08    0.00    9.18    0.00    0.00   64.29    0.00    0.00    0.00   22.45
01:11:24 PM    1   25.00    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   64.58
01:11:24 PM    2   16.33    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   77.55
01:11:24 PM    3   23.96    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   66.67
01:11:24 PM    4   35.11    0.00   26.60    0.00    0.00    0.00    0.00    0.00    0.00   38.30
01:11:24 PM    5   37.89    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   42.11
01:11:24 PM    6   28.42    0.00   30.53    0.00    0.00    0.00    0.00    0.00    0.00   41.05
01:11:24 PM    7   33.33    0.00   22.58    0.00    0.00    0.00    0.00    0.00    0.00   44.09

01:11:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:25 PM  all   25.32    0.00   18.35    0.00    0.00    9.04    0.00    0.00    0.00   47.29
01:11:25 PM    0    3.03    0.00    8.08    0.00    0.00   70.71    0.00    0.00    0.00   18.18
01:11:25 PM    1   26.53    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   61.22
01:11:25 PM    2   29.59    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   57.14
01:11:25 PM    3   26.26    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   59.60
01:11:25 PM    4   27.66    0.00   27.66    0.00    0.00    0.00    0.00    0.00    0.00   44.68
01:11:25 PM    5   25.77    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   47.42
01:11:25 PM    6   30.53    0.00   24.21    0.00    0.00    0.00    0.00    0.00    0.00   45.26
01:11:25 PM    7   34.04    0.00   21.28    0.00    0.00    0.00    0.00    0.00    0.00   44.68

01:11:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:26 PM  all   25.55    0.00   16.99    0.00    0.00    9.21    0.00    0.00    0.00   48.25
01:11:26 PM    0    3.00    0.00    4.00    0.00    0.00   71.00    0.00    0.00    0.00   22.00
01:11:26 PM    1   28.57    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   55.10
01:11:26 PM    2   26.53    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   60.20
01:11:26 PM    3   28.42    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   62.11
01:11:26 PM    4   31.87    0.00   20.88    0.00    0.00    0.00    0.00    0.00    0.00   47.25
01:11:26 PM    5   28.12    0.00   26.04    0.00    0.00    0.00    0.00    0.00    0.00   45.83
01:11:26 PM    6   30.30    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   46.46
01:11:26 PM    7   28.72    0.00   23.40    0.00    0.00    0.00    0.00    0.00    0.00   47.87

01:11:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:27 PM  all   23.52    0.00   17.48    0.00    0.00    8.35    0.00    0.00    0.00   50.64
01:11:27 PM    0    6.06    0.00    8.08    0.00    0.00   65.66    0.00    0.00    0.00   20.20
01:11:27 PM    1   23.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
01:11:27 PM    2   26.26    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   63.64
01:11:27 PM    3   25.51    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   61.22
01:11:27 PM    4   27.66    0.00   24.47    0.00    0.00    0.00    0.00    0.00    0.00   47.87
01:11:27 PM    5   26.60    0.00   24.47    0.00    0.00    0.00    0.00    0.00    0.00   48.94
01:11:27 PM    6   29.17    0.00   21.88    0.00    0.00    0.00    0.00    0.00    0.00   48.96
01:11:27 PM    7   24.49    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   51.02

01:11:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:28 PM  all   26.79    0.00   18.72    0.00    0.00    9.36    0.00    0.00    0.00   45.13
01:11:28 PM    0    3.00    0.00    6.00    0.00    0.00   73.00    0.00    0.00    0.00   18.00
01:11:28 PM    1   31.31    0.00   17.17    0.00    0.00    0.00    0.00    0.00    0.00   51.52
01:11:28 PM    2   30.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
01:11:28 PM    3   35.05    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   47.42
01:11:28 PM    4   30.61    0.00   26.53    0.00    0.00    0.00    0.00    0.00    0.00   42.86
01:11:28 PM    5   29.47    0.00   22.11    0.00    0.00    0.00    0.00    0.00    0.00   48.42
01:11:28 PM    6   27.37    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   49.47
01:11:28 PM    7   28.12    0.00   22.92    0.00    0.00    0.00    0.00    0.00    0.00   48.96

01:11:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:29 PM  all   25.33    0.00   17.59    0.00    0.00    9.19    0.00    0.00    0.00   47.90
01:11:29 PM    0    4.12    0.00    3.09    0.00    0.00   72.16    0.00    0.00    0.00   20.62
