Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:23:45 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:23:46 PM  1000     54925         -  209.00  150.00    0.00    0.00  359.00     0  npuforge-node.s
01:23:46 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:46 PM  1000         -     54926   25.00   21.00    0.00    2.00   46.00     6  |__tokio-rt-worker
01:23:46 PM  1000         -     54927   25.00   18.00    0.00    2.00   43.00     7  |__tokio-rt-worker
01:23:46 PM  1000         -     54928   29.00   14.00    0.00    2.00   43.00     3  |__tokio-rt-worker
01:23:46 PM  1000         -     54929   25.00   19.00    0.00    2.00   44.00     3  |__tokio-rt-worker
01:23:46 PM  1000         -     54930   31.00   17.00    0.00    2.00   48.00     2  |__tokio-rt-worker
01:23:46 PM  1000         -     54932   26.00   18.00    0.00    2.00   44.00     4  |__tokio-rt-worker
01:23:46 PM  1000         -     54933   27.00   21.00    0.00    3.00   48.00     0  |__tokio-rt-worker
01:23:46 PM  1000         -     54934   24.00   21.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:23:47 PM  1000     54925         -  195.00  152.00    0.00    0.00  347.00     0  npuforge-node.s
01:23:47 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:47 PM  1000         -     54926   28.00   15.00    0.00    2.00   43.00     1  |__tokio-rt-worker
01:23:47 PM  1000         -     54927   25.00   16.00    0.00    3.00   41.00     7  |__tokio-rt-worker
01:23:47 PM  1000         -     54928   23.00   21.00    0.00    3.00   44.00     7  |__tokio-rt-worker
01:23:47 PM  1000         -     54929   25.00   16.00    0.00    2.00   41.00     3  |__tokio-rt-worker
01:23:47 PM  1000         -     54930   24.00   23.00    0.00    2.00   47.00     1  |__tokio-rt-worker
01:23:47 PM  1000         -     54932   22.00   21.00    0.00    3.00   43.00     1  |__tokio-rt-worker
01:23:47 PM  1000         -     54933   23.00   19.00    0.00    2.00   42.00     4  |__tokio-rt-worker
01:23:47 PM  1000         -     54934   24.00   21.00    0.00    2.00   45.00     6  |__tokio-rt-worker
01:23:48 PM  1000     54925         -  198.00  149.00    0.00    0.00  347.00     0  npuforge-node.s
01:23:48 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:48 PM  1000         -     54926   25.00   18.00    0.00    1.00   43.00     1  |__tokio-rt-worker
01:23:48 PM  1000         -     54927   23.00   18.00    0.00    3.00   41.00     4  |__tokio-rt-worker
01:23:48 PM  1000         -     54928   23.00   20.00    0.00    2.00   43.00     3  |__tokio-rt-worker
01:23:48 PM  1000         -     54929   24.00   18.00    0.00    3.00   42.00     6  |__tokio-rt-worker
01:23:48 PM  1000         -     54930   26.00   18.00    0.00    1.00   44.00     7  |__tokio-rt-worker
01:23:48 PM  1000         -     54932   22.00   21.00    0.00    1.00   43.00     6  |__tokio-rt-worker
01:23:48 PM  1000         -     54933   27.00   15.00    0.00    1.00   42.00     6  |__tokio-rt-worker
01:23:48 PM  1000         -     54934   26.00   21.00    0.00    1.00   47.00     5  |__tokio-rt-worker
01:23:49 PM  1000     54925         -  188.00  135.00    0.00    0.00  323.00     0  npuforge-node.s
01:23:49 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:49 PM  1000         -     54926   26.00   15.00    0.00    2.00   41.00     2  |__tokio-rt-worker
01:23:49 PM  1000         -     54927   21.00   17.00    0.00    1.00   38.00     5  |__tokio-rt-worker
01:23:49 PM  1000         -     54928   25.00   17.00    0.00    1.00   42.00     0  |__tokio-rt-worker
01:23:49 PM  1000         -     54929   23.00   16.00    0.00    2.00   39.00     6  |__tokio-rt-worker
01:23:49 PM  1000         -     54930   26.00   20.00    0.00    1.00   46.00     6  |__tokio-rt-worker
01:23:49 PM  1000         -     54932   24.00   15.00    0.00    2.00   39.00     5  |__tokio-rt-worker
01:23:49 PM  1000         -     54933   24.00   16.00    0.00    2.00   40.00     7  |__tokio-rt-worker
01:23:49 PM  1000         -     54934   21.00   19.00    0.00    1.00   40.00     5  |__tokio-rt-worker
01:23:50 PM  1000     54925         -  200.00  149.00    0.00    0.00  349.00     0  npuforge-node.s
01:23:50 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:50 PM  1000         -     54926   24.00   16.00    0.00    1.00   40.00     3  |__tokio-rt-worker
01:23:50 PM  1000         -     54927   27.00   18.00    0.00    1.00   45.00     3  |__tokio-rt-worker
01:23:50 PM  1000         -     54928   24.00   19.00    0.00    3.00   43.00     1  |__tokio-rt-worker
01:23:50 PM  1000         -     54929   29.00   16.00    0.00    1.00   45.00     4  |__tokio-rt-worker
01:23:50 PM  1000         -     54930   25.00   20.00    0.00    2.00   45.00     4  |__tokio-rt-worker
01:23:50 PM  1000         -     54932   23.00   18.00    0.00    1.00   41.00     5  |__tokio-rt-worker
01:23:50 PM  1000         -     54933   23.00   21.00    0.00    1.00   44.00     2  |__tokio-rt-worker
01:23:50 PM  1000         -     54934   24.00   20.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:23:51 PM  1000     54925         -  201.00  149.00    0.00    0.00  350.00     0  npuforge-node.s
01:23:51 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:51 PM  1000         -     54926   27.00   16.00    0.00    4.00   43.00     2  |__tokio-rt-worker
01:23:51 PM  1000         -     54927   27.00   18.00    0.00    1.00   45.00     7  |__tokio-rt-worker
01:23:51 PM  1000         -     54928   24.00   19.00    0.00    1.00   43.00     2  |__tokio-rt-worker
01:23:51 PM  1000         -     54929   22.00   24.00    0.00    3.00   46.00     4  |__tokio-rt-worker
01:23:51 PM  1000         -     54930   21.00   23.00    0.00    2.00   44.00     1  |__tokio-rt-worker
01:23:51 PM  1000         -     54932   28.00   16.00    0.00    1.00   44.00     3  |__tokio-rt-worker
01:23:51 PM  1000         -     54933   26.00   16.00    0.00    3.00   42.00     6  |__tokio-rt-worker
01:23:51 PM  1000         -     54934   27.00   18.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:23:52 PM  1000     54925         -  203.00  146.00    0.00    0.00  349.00     0  npuforge-node.s
01:23:52 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:52 PM  1000         -     54926   26.00   17.00    0.00    1.00   43.00     7  |__tokio-rt-worker
01:23:52 PM  1000         -     54927   25.00   19.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:23:52 PM  1000         -     54928   26.00   20.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:23:52 PM  1000         -     54929   24.00   18.00    0.00    1.00   42.00     1  |__tokio-rt-worker
01:23:52 PM  1000         -     54930   24.00   18.00    0.00    2.00   42.00     3  |__tokio-rt-worker
01:23:52 PM  1000         -     54932   28.00   19.00    0.00    2.00   47.00     5  |__tokio-rt-worker
01:23:52 PM  1000         -     54933   24.00   17.00    0.00    2.00   41.00     5  |__tokio-rt-worker
01:23:52 PM  1000         -     54934   26.00   19.00    0.00    1.00   45.00     6  |__tokio-rt-worker
01:23:53 PM  1000     54925         -  179.00  156.00    0.00    0.00  335.00     0  npuforge-node.s
01:23:53 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:53 PM  1000         -     54926   20.00   17.00    0.00    2.00   37.00     4  |__tokio-rt-worker
01:23:53 PM  1000         -     54927   20.00   22.00    0.00    2.00   42.00     5  |__tokio-rt-worker
01:23:53 PM  1000         -     54928   22.00   17.00    0.00    2.00   39.00     1  |__tokio-rt-worker
01:23:53 PM  1000         -     54929   21.00   21.00    0.00    2.00   42.00     1  |__tokio-rt-worker
01:23:53 PM  1000         -     54930   23.00   20.00    0.00    2.00   43.00     5  |__tokio-rt-worker
01:23:53 PM  1000         -     54932   24.00   19.00    0.00    2.00   43.00     7  |__tokio-rt-worker
01:23:53 PM  1000         -     54933   26.00   17.00    0.00    2.00   43.00     6  |__tokio-rt-worker
01:23:53 PM  1000         -     54934   21.00   21.00    0.00    2.00   42.00     3  |__tokio-rt-worker
01:23:54 PM  1000     54925         -  187.00  146.00    0.00    0.00  333.00     0  npuforge-node.s
01:23:54 PM  1000         -     54925    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
01:23:54 PM  1000         -     54926   19.00   24.00    0.00    2.00   43.00     1  |__tokio-rt-worker
01:23:54 PM  1000         -     54927   21.00   20.00    0.00    2.00   41.00     6  |__tokio-rt-worker
01:23:54 PM  1000         -     54928   26.00   16.00    0.00    2.00   42.00     7  |__tokio-rt-worker
01:23:54 PM  1000         -     54929   25.00   15.00    0.00    0.00   40.00     1  |__tokio-rt-worker
