Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:14:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:26 PM  all   24.58    0.00   15.03    0.00    0.00    8.63    0.00    0.00    0.00   51.76
01:14:26 PM    0    9.78    0.00    7.61    0.00    0.00   54.35    0.00    0.00    0.00   28.26
01:14:26 PM    1   27.84    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   59.79
01:14:26 PM    2   29.00    0.00    9.00    0.00    0.00    8.00    0.00    0.00    0.00   54.00
01:14:26 PM    3   21.65    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   65.98
01:14:26 PM    4   25.81    0.00   23.66    0.00    0.00    0.00    0.00    0.00    0.00   50.54
01:14:26 PM    5   28.72    0.00   17.02    0.00    0.00    8.51    0.00    0.00    0.00   45.74
01:14:26 PM    6   29.17    0.00   17.71    0.00    0.00    0.00    0.00    0.00    0.00   53.12
01:14:26 PM    7   23.96    0.00   20.83    0.00    0.00    0.00    0.00    0.00    0.00   55.21

01:14:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:27 PM  all   27.47    0.00   17.46    0.00    0.00    9.50    0.00    0.00    0.00   45.57
01:14:27 PM    0    8.82    0.00    9.80    0.00    0.00   57.84    0.00    0.00    0.00   23.53
01:14:27 PM    1   22.68    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   68.04
01:14:27 PM    2   22.68    0.00   11.34    0.00    0.00    8.25    0.00    0.00    0.00   57.73
01:14:27 PM    3   29.29    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   63.64
01:14:27 PM    4   33.33    0.00   26.88    0.00    0.00    0.00    0.00    0.00    0.00   39.78
01:14:27 PM    5   33.68    0.00   26.32    0.00    0.00    7.37    0.00    0.00    0.00   32.63
01:14:27 PM    6   35.05    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   42.27
01:14:27 PM    7   35.35    0.00   27.27    0.00    0.00    0.00    0.00    0.00    0.00   37.37

01:14:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:28 PM  all   23.69    0.00   18.98    0.00    0.00    9.43    0.00    0.00    0.00   47.90
01:14:28 PM    0    9.71    0.00   11.65    0.00    0.00   56.31    0.00    0.00    0.00   22.33
01:14:28 PM    1   17.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   71.00
01:14:28 PM    2   16.16    0.00   12.12    0.00    0.00    8.08    0.00    0.00    0.00   63.64
01:14:28 PM    3   20.62    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   67.01
01:14:28 PM    4   31.18    0.00   30.11    0.00    0.00    0.00    0.00    0.00    0.00   38.71
01:14:28 PM    5   31.96    0.00   24.74    0.00    0.00    8.25    0.00    0.00    0.00   35.05
01:14:28 PM    6   33.67    0.00   26.53    0.00    0.00    0.00    0.00    0.00    0.00   39.80
01:14:28 PM    7   30.61    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   45.92

01:14:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:29 PM  all   24.81    0.00   18.83    0.00    0.00    9.48    0.00    0.00    0.00   46.88
01:14:29 PM    0   10.53    0.00    8.42    0.00    0.00   55.79    0.00    0.00    0.00   25.26
01:14:29 PM    1   21.05    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   69.47
01:14:29 PM    2   21.43    0.00   10.20    0.00    0.00   11.22    0.00    0.00    0.00   57.14
01:14:29 PM    3   16.33    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   72.45
01:14:29 PM    4   32.98    0.00   29.79    0.00    0.00    0.00    0.00    0.00    0.00   37.23
01:14:29 PM    5   31.96    0.00   26.80    0.00    0.00    9.28    0.00    0.00    0.00   31.96
01:14:29 PM    6   33.33    0.00   28.12    0.00    0.00    0.00    0.00    0.00    0.00   38.54
01:14:29 PM    7   30.93    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   42.27

01:14:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:30 PM  all   24.97    0.00   17.65    0.00    0.00    8.37    0.00    0.00    0.00   49.02
01:14:30 PM    0    8.25    0.00    8.25    0.00    0.00   54.64    0.00    0.00    0.00   28.87
01:14:30 PM    1   19.19    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   72.73
01:14:30 PM    2   15.05    0.00    8.60    0.00    0.00    5.38    0.00    0.00    0.00   70.97
01:14:30 PM    3   15.15    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   77.78
01:14:30 PM    4   36.17    0.00   28.72    0.00    0.00    0.00    0.00    0.00    0.00   35.11
01:14:30 PM    5   38.14    0.00   27.84    0.00    0.00    6.19    0.00    0.00    0.00   27.84
01:14:30 PM    6   32.63    0.00   26.32    0.00    0.00    0.00    0.00    0.00    0.00   41.05
01:14:30 PM    7   36.26    0.00   27.47    0.00    0.00    0.00    0.00    0.00    0.00   36.26

01:14:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:31 PM  all   24.35    0.00   17.06    0.00    0.00    8.98    0.00    0.00    0.00   49.61
01:14:31 PM    0   14.58    0.00    9.38    0.00    0.00   57.29    0.00    0.00    0.00   18.75
01:14:31 PM    1   22.11    0.00   13.68    0.00    0.00    0.00    0.00    0.00    0.00   64.21
01:14:31 PM    2   27.08    0.00   11.46    0.00    0.00    9.38    0.00    0.00    0.00   52.08
01:14:31 PM    3   22.92    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   67.71
01:14:31 PM    4   24.49    0.00   30.61    0.00    0.00    0.00    0.00    0.00    0.00   44.90
01:14:31 PM    5   27.08    0.00   22.92    0.00    0.00    5.21    0.00    0.00    0.00   44.79
01:14:31 PM    6   27.37    0.00   21.05    0.00    0.00    0.00    0.00    0.00    0.00   51.58
01:14:31 PM    7   29.17    0.00   17.71    0.00    0.00    0.00    0.00    0.00    0.00   53.12

01:14:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:32 PM  all   23.06    0.00   16.58    0.00    0.00    8.68    0.00    0.00    0.00   51.68
01:14:32 PM    0   10.31    0.00    8.25    0.00    0.00   55.67    0.00    0.00    0.00   25.77
01:14:32 PM    1   15.46    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   72.16
01:14:32 PM    2   18.56    0.00   11.34    0.00    0.00    6.19    0.00    0.00    0.00   63.92
01:14:32 PM    3   23.16    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   68.42
01:14:32 PM    4   37.37    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   39.39
01:14:32 PM    5   26.32    0.00   24.21    0.00    0.00    7.37    0.00    0.00    0.00   42.11
01:14:32 PM    6   28.72    0.00   22.34    0.00    0.00    0.00    0.00    0.00    0.00   48.94
01:14:32 PM    7   24.49    0.00   22.45    0.00    0.00    0.00    0.00    0.00    0.00   53.06

01:14:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:33 PM  all   25.39    0.00   16.32    0.00    0.00    8.55    0.00    0.00    0.00   49.74
01:14:33 PM    0   11.22    0.00   12.24    0.00    0.00   53.06    0.00    0.00    0.00   23.47
01:14:33 PM    1   28.57    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   62.24
01:14:33 PM    2   28.28    0.00   12.12    0.00    0.00    7.07    0.00    0.00    0.00   52.53
01:14:33 PM    3   25.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
01:14:33 PM    4   22.83    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   52.17
01:14:33 PM    5   29.03    0.00   20.43    0.00    0.00    7.53    0.00    0.00    0.00   43.01
01:14:33 PM    6   29.47    0.00   18.95    0.00    0.00    0.00    0.00    0.00    0.00   51.58
01:14:33 PM    7   28.87    0.00   21.65    0.00    0.00    0.00    0.00    0.00    0.00   49.48

01:14:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
