Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:19:05 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:19:06 PM  1000     53259         -  173.27  159.41    0.00    0.00  332.67     4  npuforge-node.s
01:19:06 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:06 PM  1000         -     53260   21.78   20.79    0.00    1.98   42.57     7  |__tokio-rt-worker
01:19:06 PM  1000         -     53261   19.80   21.78    0.00    0.99   41.58     4  |__tokio-rt-worker
01:19:06 PM  1000         -     53262   17.82   21.78    0.00    1.98   39.60     0  |__tokio-rt-worker
01:19:06 PM  1000         -     53263   20.79   17.82    0.00    1.98   38.61     4  |__tokio-rt-worker
01:19:06 PM  1000         -     53264   23.76   19.80    0.00    1.98   43.56     2  |__tokio-rt-worker
01:19:06 PM  1000         -     53265   23.76   20.79    0.00    0.99   44.55     3  |__tokio-rt-worker
01:19:06 PM  1000         -     53266   24.75   17.82    0.00    0.99   42.57     4  |__tokio-rt-worker
01:19:06 PM  1000         -     53267   19.80   20.79    0.00    0.99   40.59     5  |__tokio-rt-worker
01:19:07 PM  1000     53259         -  196.00  178.00    0.00    0.00  374.00     4  npuforge-node.s
01:19:07 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:07 PM  1000         -     53260   24.00   21.00    0.00    3.00   45.00     1  |__tokio-rt-worker
01:19:07 PM  1000         -     53261   25.00   22.00    0.00    3.00   47.00     5  |__tokio-rt-worker
01:19:07 PM  1000         -     53262   26.00   20.00    0.00    2.00   46.00     6  |__tokio-rt-worker
01:19:07 PM  1000         -     53263   29.00   20.00    0.00    2.00   49.00     2  |__tokio-rt-worker
01:19:07 PM  1000         -     53264   22.00   24.00    0.00    2.00   46.00     7  |__tokio-rt-worker
01:19:07 PM  1000         -     53265   25.00   25.00    0.00    3.00   50.00     3  |__tokio-rt-worker
01:19:07 PM  1000         -     53266   22.00   23.00    0.00    2.00   45.00     4  |__tokio-rt-worker
01:19:07 PM  1000         -     53267   24.00   19.00    0.00    3.00   43.00     3  |__tokio-rt-worker
01:19:08 PM  1000     53259         -  196.00  162.00    0.00    0.00  358.00     4  npuforge-node.s
01:19:08 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:08 PM  1000         -     53260   23.00   21.00    0.00    1.00   44.00     6  |__tokio-rt-worker
01:19:08 PM  1000         -     53261   25.00   20.00    0.00    2.00   45.00     6  |__tokio-rt-worker
01:19:08 PM  1000         -     53262   26.00   19.00    0.00    2.00   45.00     7  |__tokio-rt-worker
01:19:08 PM  1000         -     53263   24.00   20.00    0.00    3.00   44.00     4  |__tokio-rt-worker
01:19:08 PM  1000         -     53264   27.00   18.00    0.00    1.00   45.00     2  |__tokio-rt-worker
01:19:08 PM  1000         -     53265   24.00   21.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:19:08 PM  1000         -     53266   22.00   23.00    0.00    3.00   45.00     7  |__tokio-rt-worker
01:19:08 PM  1000         -     53267   23.00   23.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:19:09 PM  1000     53259         -  195.00  173.00    0.00    0.00  368.00     4  npuforge-node.s
01:19:09 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:09 PM  1000         -     53260   28.00   18.00    0.00    3.00   46.00     6  |__tokio-rt-worker
01:19:09 PM  1000         -     53261   26.00   20.00    0.00    3.00   46.00     5  |__tokio-rt-worker
01:19:09 PM  1000         -     53262   25.00   24.00    0.00    2.00   49.00     4  |__tokio-rt-worker
01:19:09 PM  1000         -     53263   21.00   23.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:19:09 PM  1000         -     53264   20.00   25.00    0.00    3.00   45.00     5  |__tokio-rt-worker
01:19:09 PM  1000         -     53265   27.00   22.00    0.00    1.00   49.00     0  |__tokio-rt-worker
01:19:09 PM  1000         -     53266   22.00   22.00    0.00    2.00   44.00     4  |__tokio-rt-worker
01:19:09 PM  1000         -     53267   28.00   19.00    0.00    2.00   47.00     7  |__tokio-rt-worker
01:19:10 PM  1000     53259         -  196.00  160.00    0.00    0.00  356.00     4  npuforge-node.s
01:19:10 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:10 PM  1000         -     53260   23.00   21.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:19:10 PM  1000         -     53261   24.00   21.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:19:10 PM  1000         -     53262   23.00   22.00    0.00    3.00   45.00     4  |__tokio-rt-worker
01:19:10 PM  1000         -     53263   25.00   21.00    0.00    2.00   46.00     6  |__tokio-rt-worker
01:19:10 PM  1000         -     53264   29.00   16.00    0.00    2.00   45.00     3  |__tokio-rt-worker
01:19:10 PM  1000         -     53265   24.00   22.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:19:10 PM  1000         -     53266   27.00   14.00    0.00    2.00   41.00     0  |__tokio-rt-worker
01:19:10 PM  1000         -     53267   20.00   23.00    0.00    2.00   43.00     7  |__tokio-rt-worker
01:19:11 PM  1000     53259         -  200.00  162.00    0.00    0.00  362.00     4  npuforge-node.s
01:19:11 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:11 PM  1000         -     53260   29.00   18.00    0.00    2.00   47.00     0  |__tokio-rt-worker
01:19:11 PM  1000         -     53261   24.00   20.00    0.00    2.00   44.00     7  |__tokio-rt-worker
01:19:11 PM  1000         -     53262   23.00   20.00    0.00    1.00   43.00     2  |__tokio-rt-worker
01:19:11 PM  1000         -     53263   28.00   19.00    0.00    3.00   47.00     7  |__tokio-rt-worker
01:19:11 PM  1000         -     53264   24.00   21.00    0.00    2.00   45.00     5  |__tokio-rt-worker
01:19:11 PM  1000         -     53265   27.00   20.00    0.00    3.00   47.00     6  |__tokio-rt-worker
01:19:11 PM  1000         -     53266   22.00   27.00    0.00    3.00   49.00     4  |__tokio-rt-worker
01:19:11 PM  1000         -     53267   23.00   18.00    0.00    2.00   41.00     3  |__tokio-rt-worker
01:19:12 PM  1000     53259         -  174.00  189.00    0.00    0.00  363.00     4  npuforge-node.s
01:19:12 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:12 PM  1000         -     53260   19.00   30.00    0.00    2.00   49.00     5  |__tokio-rt-worker
01:19:12 PM  1000         -     53261   22.00   24.00    0.00    2.00   46.00     0  |__tokio-rt-worker
01:19:12 PM  1000         -     53262   24.00   21.00    0.00    3.00   45.00     7  |__tokio-rt-worker
01:19:12 PM  1000         -     53263   22.00   21.00    0.00    2.00   43.00     4  |__tokio-rt-worker
01:19:12 PM  1000         -     53264   18.00   26.00    0.00    2.00   44.00     2  |__tokio-rt-worker
01:19:12 PM  1000         -     53265   22.00   24.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:19:12 PM  1000         -     53266   22.00   21.00    0.00    2.00   43.00     6  |__tokio-rt-worker
01:19:12 PM  1000         -     53267   24.00   21.00    0.00    2.00   45.00     2  |__tokio-rt-worker
01:19:13 PM  1000     53259         -  172.00  140.00    0.00    0.00  312.00     4  npuforge-node.s
01:19:13 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:13 PM  1000         -     53260   23.00   17.00    0.00    1.00   40.00     0  |__tokio-rt-worker
01:19:13 PM  1000         -     53261   21.00   18.00    0.00    1.00   39.00     5  |__tokio-rt-worker
01:19:13 PM  1000         -     53262   21.00   16.00    0.00    1.00   37.00     7  |__tokio-rt-worker
01:19:13 PM  1000         -     53263   21.00   20.00    0.00    1.00   41.00     4  |__tokio-rt-worker
01:19:13 PM  1000         -     53264   23.00   17.00    0.00    1.00   40.00     6  |__tokio-rt-worker
01:19:13 PM  1000         -     53265   21.00   17.00    0.00    1.00   38.00     3  |__tokio-rt-worker
01:19:13 PM  1000         -     53266   22.00   21.00    0.00    2.00   43.00     4  |__tokio-rt-worker
01:19:13 PM  1000         -     53267   22.00   13.00    0.00    2.00   35.00     5  |__tokio-rt-worker
01:19:14 PM  1000     53259         -  195.00  166.00    0.00    0.00  361.00     4  npuforge-node.s
01:19:14 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:14 PM  1000         -     53260   21.00   24.00    0.00    1.00   45.00     6  |__tokio-rt-worker
01:19:14 PM  1000         -     53261   27.00   20.00    0.00    1.00   47.00     4  |__tokio-rt-worker
