cond,round,conns,rps,tcp_conns,throughput,p50_ms,p95_ms,p99_ms,max_ms,net_to_node_ms,node_queue_ms,error_rate
c1,1,1,-,1,115.6,267.01,392.41,454.82,625.64,114.44,0.020,0.0000
c2,1,2,-,2,133.3,227.31,441.14,524.77,676.81,92.95,0.023,0.0000
c4,1,4,-,4,139.8,168.82,560.04,688.80,898.08,62.85,0.023,0.0000
c8,1,8,-,8,139.0,158.67,596.36,809.49,1144.43,56.69,0.022,0.0000
c16,1,16,-,16,137.1,174.18,569.28,849.72,1599.39,65.90,0.020,0.0000
c16,2,16,-,16,136.3,174.96,584.97,845.83,1437.66,65.84,0.020,0.0000
c8,2,8,-,8,138.5,154.88,611.85,811.41,1112.09,55.87,0.022,0.0000
c4,2,4,-,4,139.2,168.61,571.39,706.01,957.39,62.55,0.023,0.0000
c2,2,2,-,2,134.6,229.17,433.96,509.30,681.12,93.97,0.023,0.0000
c1,2,1,-,1,114.6,269.98,398.83,454.48,595.16,115.62,0.020,0.0000
c1,3,1,-,1,115.5,268.66,391.82,459.10,603.07,115.55,0.020,0.0000
c2,3,2,-,2,135.0,227.18,428.94,505.26,651.01,92.81,0.023,0.0000
c4,3,4,-,4,139.3,177.68,545.62,683.41,866.67,67.12,0.023,0.0000
c8,3,8,-,8,139.3,158.03,594.14,803.11,1130.75,57.33,0.022,0.0000
c16,3,16,-,16,138.0,171.81,580.48,933.39,1283.22,64.50,0.021,0.0000
c16,4,16,-,16,136.3,171.03,588.35,975.04,1629.28,64.54,0.020,0.0000
c8,4,8,-,8,138.8,165.54,562.79,815.87,1450.64,61.61,0.022,0.0000
c4,4,4,-,4,139.6,164.78,568.09,709.68,1024.80,60.52,0.023,0.0000
c2,4,2,-,2,135.0,225.60,444.95,519.81,700.96,91.36,0.023,0.0000
c1,4,1,-,1,115.6,268.21,393.42,452.44,609.25,114.99,0.020,0.0000
c1,5,1,-,1,116.7,265.91,385.33,441.12,555.13,113.68,0.020,0.0000
c2,5,2,-,2,134.1,224.20,442.18,515.41,688.68,91.56,0.023,0.0000
c4,5,4,-,4,139.5,167.78,562.85,703.28,975.53,62.56,0.023,0.0000
c8,5,8,-,8,140.1,149.75,619.69,895.18,1274.80,52.91,0.022,0.0000
c16,5,16,-,16,136.4,174.97,597.94,871.65,1457.98,65.91,0.020,0.0000
