Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:37:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:37:04 AM  all   18.60    0.00   13.13    0.00    0.00    6.24    0.00    0.00    0.00   62.03
09:37:04 AM    0   20.62    0.00    7.22    0.00    0.00   49.48    0.00    0.00    0.00   22.68
09:37:04 AM    1   20.00    0.00   18.95    0.00    0.00    0.00    0.00    0.00    0.00   61.05
09:37:04 AM    2   18.09    0.00   17.02    0.00    0.00    0.00    0.00    0.00    0.00   64.89
09:37:04 AM    3   25.51    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   63.27
09:37:04 AM    4   16.49    0.00   18.56    0.00    0.00    0.00    0.00    0.00    0.00   64.95
09:37:04 AM    5   17.89    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   71.58
09:37:04 AM    6   15.62    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   72.92
09:37:04 AM    7   14.43    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   75.26

09:37:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:37:05 AM  all   19.33    0.00   12.04    0.00    0.00    6.53    0.00    0.00    0.00   62.10
09:37:05 AM    0   11.11    0.00    6.06    0.00    0.00   51.52    0.00    0.00    0.00   31.31
09:37:05 AM    1   26.80    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   60.82
09:37:05 AM    2   23.71    0.00   16.49    0.00    0.00    0.00    0.00    0.00    0.00   59.79
09:37:05 AM    3   21.21    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   62.63
09:37:05 AM    4   18.95    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   68.42
09:37:05 AM    5   18.56    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   70.10
09:37:05 AM    6   17.35    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   73.47
09:37:05 AM    7   17.17    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   70.71

09:37:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:37:06 AM  all   16.77    0.00   12.04    0.00    0.00    6.02    0.00    0.00    0.00   65.17
09:37:06 AM    0   13.27    0.00    9.18    0.00    0.00   47.96    0.00    0.00    0.00   29.59
