Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:37:03 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:37:04 AM  1000     32982         -  150.00  129.00    0.00    0.00  279.00     5  npuforge-node.s
09:37:04 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:04 AM  1000         -     32983   17.00   11.00    0.00    1.00   28.00     4  |__tokio-rt-worker
09:37:04 AM  1000         -     32984   17.00   16.00    0.00    0.00   33.00     2  |__tokio-rt-worker
09:37:04 AM  1000         -     32985   19.00   19.00    0.00    1.00   38.00     0  |__tokio-rt-worker
09:37:04 AM  1000         -     32986   18.00   19.00    0.00    1.00   37.00     1  |__tokio-rt-worker
09:37:04 AM  1000         -     32987   20.00   23.00    0.00    3.00   43.00     2  |__tokio-rt-worker
09:37:04 AM  1000         -     32988   14.00   15.00    0.00    0.00   29.00     7  |__tokio-rt-worker
09:37:04 AM  1000         -     32989   24.00   12.00    0.00    0.00   36.00     3  |__tokio-rt-worker
09:37:04 AM  1000         -     32990   21.00   13.00    0.00    1.00   34.00     6  |__tokio-rt-worker
09:37:05 AM  1000     32982         -  156.00  108.00    0.00    0.00  264.00     5  npuforge-node.s
09:37:05 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:05 AM  1000         -     32983   20.00   16.00    0.00    0.00   36.00     6  |__tokio-rt-worker
09:37:05 AM  1000         -     32984   18.00   12.00    0.00    2.00   30.00     2  |__tokio-rt-worker
09:37:05 AM  1000         -     32985   21.00   15.00    0.00    0.00   36.00     0  |__tokio-rt-worker
09:37:05 AM  1000         -     32986   21.00   14.00    0.00    0.00   35.00     3  |__tokio-rt-worker
09:37:05 AM  1000         -     32987   18.00   16.00    0.00    1.00   34.00     5  |__tokio-rt-worker
09:37:05 AM  1000         -     32988   22.00   12.00    0.00    1.00   34.00     7  |__tokio-rt-worker
09:37:05 AM  1000         -     32989   15.00   11.00    0.00    1.00   26.00     1  |__tokio-rt-worker
09:37:05 AM  1000         -     32990   22.00   13.00    0.00    1.00   35.00     3  |__tokio-rt-worker
09:37:06 AM  1000     32982         -  133.00  113.00    0.00    0.00  246.00     5  npuforge-node.s
09:37:06 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:06 AM  1000         -     32983   20.00   12.00    0.00    1.00   32.00     2  |__tokio-rt-worker
09:37:06 AM  1000         -     32984   20.00   13.00    0.00    0.00   33.00     4  |__tokio-rt-worker
09:37:06 AM  1000         -     32985   12.00   11.00    0.00    1.00   23.00     1  |__tokio-rt-worker
09:37:06 AM  1000         -     32986   15.00   15.00    0.00    1.00   30.00     0  |__tokio-rt-worker
09:37:06 AM  1000         -     32987   14.00   19.00    0.00    1.00   33.00     6  |__tokio-rt-worker
09:37:06 AM  1000         -     32988   18.00   14.00    0.00    1.00   32.00     6  |__tokio-rt-worker
09:37:06 AM  1000         -     32989   16.00   15.00    0.00    1.00   31.00     3  |__tokio-rt-worker
09:37:06 AM  1000         -     32990   17.00   13.00    0.00    0.00   30.00     5  |__tokio-rt-worker
09:37:07 AM  1000     32982         -  137.00  118.00    0.00    0.00  255.00     5  npuforge-node.s
09:37:07 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:07 AM  1000         -     32983   16.00   15.00    0.00    1.00   31.00     6  |__tokio-rt-worker
09:37:07 AM  1000         -     32984   16.00   13.00    0.00    1.00   29.00     1  |__tokio-rt-worker
09:37:07 AM  1000         -     32985   16.00   15.00    0.00    1.00   31.00     3  |__tokio-rt-worker
09:37:07 AM  1000         -     32986   19.00   14.00    0.00    0.00   33.00     0  |__tokio-rt-worker
09:37:07 AM  1000         -     32987   17.00   17.00    0.00    1.00   34.00     5  |__tokio-rt-worker
09:37:07 AM  1000         -     32988   19.00   15.00    0.00    1.00   34.00     6  |__tokio-rt-worker
09:37:07 AM  1000         -     32989   17.00   16.00    0.00    1.00   33.00     5  |__tokio-rt-worker
09:37:07 AM  1000         -     32990   17.00   13.00    0.00    1.00   30.00     7  |__tokio-rt-worker
09:37:08 AM  1000     32982         -  147.00  119.00    0.00    0.00  266.00     5  npuforge-node.s
09:37:08 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:08 AM  1000         -     32983   19.00   13.00    0.00    1.00   32.00     7  |__tokio-rt-worker
09:37:08 AM  1000         -     32984   15.00   13.00    0.00    1.00   28.00     2  |__tokio-rt-worker
09:37:08 AM  1000         -     32985   18.00   15.00    0.00    1.00   33.00     1  |__tokio-rt-worker
09:37:08 AM  1000         -     32986   18.00   19.00    0.00    2.00   37.00     3  |__tokio-rt-worker
09:37:08 AM  1000         -     32987   20.00   21.00    0.00    1.00   41.00     6  |__tokio-rt-worker
09:37:08 AM  1000         -     32988   19.00   16.00    0.00    0.00   35.00     2  |__tokio-rt-worker
09:37:08 AM  1000         -     32989   21.00   12.00    0.00    0.00   33.00     0  |__tokio-rt-worker
09:37:08 AM  1000         -     32990   19.00   12.00    0.00    0.00   31.00     5  |__tokio-rt-worker
09:37:09 AM  1000     32982         -  153.00  128.00    0.00    0.00  281.00     5  npuforge-node.s
09:37:09 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:09 AM  1000         -     32983   18.00   19.00    0.00    1.00   37.00     7  |__tokio-rt-worker
09:37:09 AM  1000         -     32984   20.00   15.00    0.00    1.00   35.00     0  |__tokio-rt-worker
09:37:09 AM  1000         -     32985   23.00   12.00    0.00    1.00   35.00     4  |__tokio-rt-worker
09:37:09 AM  1000         -     32986   17.00   17.00    0.00    1.00   34.00     7  |__tokio-rt-worker
09:37:09 AM  1000         -     32987   20.00   17.00    0.00    0.00   37.00     2  |__tokio-rt-worker
09:37:09 AM  1000         -     32988   18.00   12.00    0.00    1.00   30.00     3  |__tokio-rt-worker
09:37:09 AM  1000         -     32989   16.00   19.00    0.00    2.00   35.00     6  |__tokio-rt-worker
09:37:09 AM  1000         -     32990   19.00   16.00    0.00    2.00   35.00     1  |__tokio-rt-worker
09:37:10 AM  1000     32982         -  144.00  120.00    0.00    0.00  264.00     5  npuforge-node.s
09:37:10 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:10 AM  1000         -     32983   19.00   13.00    0.00    0.00   32.00     5  |__tokio-rt-worker
09:37:10 AM  1000         -     32984   21.00   11.00    0.00    2.00   32.00     6  |__tokio-rt-worker
09:37:10 AM  1000         -     32985   16.00   22.00    0.00    1.00   38.00     7  |__tokio-rt-worker
09:37:10 AM  1000         -     32986   17.00   12.00    0.00    2.00   29.00     2  |__tokio-rt-worker
09:37:10 AM  1000         -     32987   15.00   18.00    0.00    1.00   33.00     1  |__tokio-rt-worker
09:37:10 AM  1000         -     32988   18.00   19.00    0.00    1.00   37.00     3  |__tokio-rt-worker
09:37:10 AM  1000         -     32989   20.00   15.00    0.00    1.00   35.00     0  |__tokio-rt-worker
09:37:10 AM  1000         -     32990   18.00   11.00    0.00    1.00   29.00     4  |__tokio-rt-worker
09:37:11 AM  1000     32982         -  140.00  125.00    0.00    0.00  265.00     5  npuforge-node.s
09:37:11 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:11 AM  1000         -     32983   17.00   17.00    0.00    1.00   34.00     5  |__tokio-rt-worker
09:37:11 AM  1000         -     32984   15.00   18.00    0.00    2.00   33.00     4  |__tokio-rt-worker
09:37:11 AM  1000         -     32985   16.00   12.00    0.00    1.00   28.00     4  |__tokio-rt-worker
09:37:11 AM  1000         -     32986   16.00   21.00    0.00    1.00   37.00     1  |__tokio-rt-worker
09:37:11 AM  1000         -     32987   22.00   11.00    0.00    1.00   33.00     2  |__tokio-rt-worker
09:37:11 AM  1000         -     32988   18.00   14.00    0.00    1.00   32.00     2  |__tokio-rt-worker
09:37:11 AM  1000         -     32989   20.00   17.00    0.00    1.00   37.00     6  |__tokio-rt-worker
09:37:11 AM  1000         -     32990   17.00   14.00    0.00    1.00   31.00     3  |__tokio-rt-worker
09:37:12 AM  1000     32982         -  151.00  115.00    0.00    0.00  266.00     5  npuforge-node.s
09:37:12 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:12 AM  1000         -     32983   19.00   14.00    0.00    0.00   33.00     0  |__tokio-rt-worker
09:37:12 AM  1000         -     32984   16.00   11.00    0.00    0.00   27.00     1  |__tokio-rt-worker
09:37:12 AM  1000         -     32985   19.00   12.00    0.00    1.00   31.00     2  |__tokio-rt-worker
09:37:12 AM  1000         -     32986   20.00   17.00    0.00    0.00   37.00     4  |__tokio-rt-worker
09:37:12 AM  1000         -     32987   19.00   13.00    0.00    1.00   32.00     3  |__tokio-rt-worker
09:37:12 AM  1000         -     32988   18.00   16.00    0.00    1.00   34.00     3  |__tokio-rt-worker
09:37:12 AM  1000         -     32989   18.00   15.00    0.00    0.00   33.00     2  |__tokio-rt-worker
09:37:12 AM  1000         -     32990   21.00   17.00    0.00    0.00   38.00     3  |__tokio-rt-worker
09:37:13 AM  1000     32982         -  135.00  113.00    0.00    0.00  248.00     5  npuforge-node.s
09:37:13 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:13 AM  1000         -     32983   17.00   14.00    0.00    1.00   31.00     5  |__tokio-rt-worker
09:37:13 AM  1000         -     32984   17.00   13.00    0.00    1.00   30.00     3  |__tokio-rt-worker
09:37:13 AM  1000         -     32985   14.00   16.00    0.00    1.00   30.00     6  |__tokio-rt-worker
09:37:13 AM  1000         -     32986   18.00   15.00    0.00    1.00   33.00     4  |__tokio-rt-worker
09:37:13 AM  1000         -     32987   16.00   14.00    0.00    0.00   30.00     0  |__tokio-rt-worker
09:37:13 AM  1000         -     32988   19.00    9.00    0.00    1.00   28.00     6  |__tokio-rt-worker
09:37:13 AM  1000         -     32989   19.00   10.00    0.00    1.00   29.00     7  |__tokio-rt-worker
09:37:13 AM  1000         -     32990   16.00   20.00    0.00    1.00   36.00     1  |__tokio-rt-worker
09:37:14 AM  1000     32982         -  127.00  110.00    0.00    0.00  237.00     5  npuforge-node.s
09:37:14 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:14 AM  1000         -     32983   19.00   15.00    0.00    1.00   34.00     6  |__tokio-rt-worker
09:37:14 AM  1000         -     32984   14.00   12.00    0.00    1.00   26.00     2  |__tokio-rt-worker
09:37:14 AM  1000         -     32985   15.00   14.00    0.00    0.00   29.00     2  |__tokio-rt-worker
09:37:14 AM  1000         -     32986   14.00   15.00    0.00    1.00   29.00     7  |__tokio-rt-worker
09:37:14 AM  1000         -     32987   16.00   14.00    0.00    1.00   30.00     3  |__tokio-rt-worker
09:37:14 AM  1000         -     32988   17.00   10.00    0.00    1.00   27.00     5  |__tokio-rt-worker
09:37:14 AM  1000         -     32989   15.00   16.00    0.00    1.00   31.00     5  |__tokio-rt-worker
09:37:14 AM  1000         -     32990   16.00   16.00    0.00    1.00   32.00     1  |__tokio-rt-worker
09:37:15 AM  1000     32982         -  138.00  110.00    0.00    0.00  248.00     5  npuforge-node.s
09:37:15 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:15 AM  1000         -     32983   15.00   21.00    0.00    2.00   36.00     4  |__tokio-rt-worker
09:37:15 AM  1000         -     32984   17.00   11.00    0.00    2.00   28.00     2  |__tokio-rt-worker
09:37:15 AM  1000         -     32985   18.00   16.00    0.00    1.00   34.00     6  |__tokio-rt-worker
09:37:15 AM  1000         -     32986   16.00   13.00    0.00    0.00   29.00     1  |__tokio-rt-worker
09:37:15 AM  1000         -     32987   19.00   10.00    0.00    1.00   29.00     4  |__tokio-rt-worker
09:37:15 AM  1000         -     32988   18.00   19.00    0.00    1.00   37.00     3  |__tokio-rt-worker
09:37:15 AM  1000         -     32989   17.00   10.00    0.00    1.00   27.00     4  |__tokio-rt-worker
09:37:15 AM  1000         -     32990   19.00   11.00    0.00    0.00   30.00     6  |__tokio-rt-worker
09:37:16 AM  1000     32982         -  150.00  110.00    0.00    0.00  260.00     5  npuforge-node.s
09:37:16 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:16 AM  1000         -     32983   18.00   14.00    0.00    0.00   32.00     4  |__tokio-rt-worker
09:37:16 AM  1000         -     32984   21.00   17.00    0.00    1.00   38.00     0  |__tokio-rt-worker
09:37:16 AM  1000         -     32985   19.00   14.00    0.00    1.00   33.00     2  |__tokio-rt-worker
09:37:16 AM  1000         -     32986   22.00   13.00    0.00    1.00   35.00     5  |__tokio-rt-worker
09:37:16 AM  1000         -     32987   16.00   14.00    0.00    0.00   30.00     1  |__tokio-rt-worker
09:37:16 AM  1000         -     32988   17.00   10.00    0.00    0.00   27.00     3  |__tokio-rt-worker
09:37:16 AM  1000         -     32989   17.00   12.00    0.00    0.00   29.00     4  |__tokio-rt-worker
09:37:16 AM  1000         -     32990   19.00   14.00    0.00    1.00   33.00     6  |__tokio-rt-worker
09:37:17 AM  1000     32982         -  143.00  129.00    0.00    0.00  272.00     5  npuforge-node.s
09:37:17 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:17 AM  1000         -     32983   20.00   16.00    0.00    1.00   36.00     3  |__tokio-rt-worker
09:37:17 AM  1000         -     32984   19.00   13.00    0.00    1.00   32.00     2  |__tokio-rt-worker
09:37:17 AM  1000         -     32985   17.00   16.00    0.00    1.00   33.00     4  |__tokio-rt-worker
09:37:17 AM  1000         -     32986   18.00   14.00    0.00    0.00   32.00     0  |__tokio-rt-worker
09:37:17 AM  1000         -     32987   16.00   16.00    0.00    1.00   32.00     6  |__tokio-rt-worker
09:37:17 AM  1000         -     32988   20.00   19.00    0.00    2.00   39.00     1  |__tokio-rt-worker
09:37:17 AM  1000         -     32989   17.00   19.00    0.00    2.00   36.00     6  |__tokio-rt-worker
09:37:17 AM  1000         -     32990   16.00   17.00    0.00    1.00   33.00     4  |__tokio-rt-worker
09:37:18 AM  1000     32982         -  123.00  103.00    0.00    0.00  226.00     5  npuforge-node.s
09:37:18 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:18 AM  1000         -     32983   18.00   11.00    0.00    1.00   29.00     6  |__tokio-rt-worker
09:37:18 AM  1000         -     32984   15.00   10.00    0.00    0.00   25.00     5  |__tokio-rt-worker
09:37:18 AM  1000         -     32985   12.00   16.00    0.00    1.00   28.00     0  |__tokio-rt-worker
09:37:18 AM  1000         -     32986   16.00   14.00    0.00    1.00   30.00     2  |__tokio-rt-worker
09:37:18 AM  1000         -     32987   12.00    9.00    0.00    1.00   21.00     3  |__tokio-rt-worker
09:37:18 AM  1000         -     32988   14.00   16.00    0.00    2.00   30.00     2  |__tokio-rt-worker
09:37:18 AM  1000         -     32989   17.00   11.00    0.00    0.00   28.00     7  |__tokio-rt-worker
09:37:18 AM  1000         -     32990   17.00   16.00    0.00    0.00   33.00     7  |__tokio-rt-worker
09:37:19 AM  1000     32982         -  149.00  129.00    0.00    0.00  278.00     5  npuforge-node.s
09:37:19 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:19 AM  1000         -     32983   20.00   20.00    0.00    1.00   40.00     6  |__tokio-rt-worker
09:37:19 AM  1000         -     32984   17.00   15.00    0.00    1.00   32.00     0  |__tokio-rt-worker
09:37:19 AM  1000         -     32985   17.00   15.00    0.00    1.00   32.00     1  |__tokio-rt-worker
09:37:19 AM  1000         -     32986   19.00   17.00    0.00    1.00   36.00     5  |__tokio-rt-worker
09:37:19 AM  1000         -     32987   22.00   19.00    0.00    1.00   41.00     7  |__tokio-rt-worker
09:37:19 AM  1000         -     32988   18.00   13.00    0.00    1.00   31.00     7  |__tokio-rt-worker
09:37:19 AM  1000         -     32989   18.00   14.00    0.00    1.00   32.00     2  |__tokio-rt-worker
09:37:19 AM  1000         -     32990   21.00   15.00    0.00    2.00   36.00     3  |__tokio-rt-worker
09:37:20 AM  1000     32982         -  134.00  126.00    0.00    0.00  260.00     5  npuforge-node.s
09:37:20 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:20 AM  1000         -     32983   16.00   21.00    0.00    0.00   37.00     3  |__tokio-rt-worker
09:37:20 AM  1000         -     32984   14.00   17.00    0.00    1.00   31.00     0  |__tokio-rt-worker
09:37:20 AM  1000         -     32985   15.00   16.00    0.00    1.00   31.00     7  |__tokio-rt-worker
09:37:20 AM  1000         -     32986   18.00   11.00    0.00    2.00   29.00     6  |__tokio-rt-worker
09:37:20 AM  1000         -     32987   20.00   12.00    0.00    1.00   32.00     1  |__tokio-rt-worker
09:37:20 AM  1000         -     32988   16.00   18.00    0.00    1.00   34.00     1  |__tokio-rt-worker
09:37:20 AM  1000         -     32989   19.00   16.00    0.00    1.00   35.00     3  |__tokio-rt-worker
09:37:20 AM  1000         -     32990   17.00   15.00    0.00    0.00   32.00     2  |__tokio-rt-worker
09:37:21 AM  1000     32982         -  135.00  118.00    0.00    0.00  253.00     5  npuforge-node.s
09:37:21 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:21 AM  1000         -     32983   17.00   16.00    0.00    1.00   33.00     4  |__tokio-rt-worker
09:37:21 AM  1000         -     32984   18.00   13.00    0.00    1.00   31.00     5  |__tokio-rt-worker
09:37:21 AM  1000         -     32985   22.00   16.00    0.00    0.00   38.00     0  |__tokio-rt-worker
09:37:21 AM  1000         -     32986   15.00   11.00    0.00    0.00   26.00     2  |__tokio-rt-worker
09:37:21 AM  1000         -     32987   15.00   23.00    0.00    2.00   38.00     3  |__tokio-rt-worker
09:37:21 AM  1000         -     32988   14.00   16.00    0.00    1.00   30.00     1  |__tokio-rt-worker
09:37:21 AM  1000         -     32989   13.00   12.00    0.00    0.00   25.00     7  |__tokio-rt-worker
09:37:21 AM  1000         -     32990   18.00   11.00    0.00    1.00   29.00     1  |__tokio-rt-worker
09:37:22 AM  1000     32982         -  150.50  129.70    0.00    0.00  280.20     5  npuforge-node.s
09:37:22 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:22 AM  1000         -     32983   20.79   17.82    0.00    0.99   38.61     6  |__tokio-rt-worker
09:37:22 AM  1000         -     32984   19.80   16.83    0.00    0.99   36.63     6  |__tokio-rt-worker
09:37:22 AM  1000         -     32985   19.80   15.84    0.00    1.98   35.64     5  |__tokio-rt-worker
09:37:22 AM  1000         -     32986   18.81   16.83    0.00    1.98   35.64     0  |__tokio-rt-worker
09:37:22 AM  1000         -     32987   19.80   13.86    0.00    0.99   33.66     1  |__tokio-rt-worker
09:37:22 AM  1000         -     32988   17.82   12.87    0.00    0.99   30.69     7  |__tokio-rt-worker
09:37:22 AM  1000         -     32989   19.80   12.87    0.00    0.99   32.67     3  |__tokio-rt-worker
09:37:22 AM  1000         -     32990   14.85   23.76    0.00    1.98   38.61     3  |__tokio-rt-worker
09:37:23 AM  1000     32982         -  134.00  110.00    0.00    0.00  244.00     5  npuforge-node.s
09:37:23 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:23 AM  1000         -     32983   19.00    8.00    0.00    0.00   27.00     4  |__tokio-rt-worker
09:37:23 AM  1000         -     32984   14.00   20.00    0.00    1.00   34.00     3  |__tokio-rt-worker
09:37:23 AM  1000         -     32985   18.00   10.00    0.00    1.00   28.00     2  |__tokio-rt-worker
09:37:23 AM  1000         -     32986   14.00   15.00    0.00    0.00   29.00     7  |__tokio-rt-worker
09:37:23 AM  1000         -     32987   13.00   18.00    0.00    1.00   31.00     2  |__tokio-rt-worker
09:37:23 AM  1000         -     32988   19.00   15.00    0.00    0.00   34.00     1  |__tokio-rt-worker
09:37:23 AM  1000         -     32989   18.00   12.00    0.00    1.00   30.00     4  |__tokio-rt-worker
09:37:23 AM  1000         -     32990   18.00   12.00    0.00    0.00   30.00     7  |__tokio-rt-worker
09:37:24 AM  1000     32982         -  146.00  111.00    0.00    0.00  257.00     5  npuforge-node.s
09:37:24 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:24 AM  1000         -     32983   11.00   19.00    0.00    1.00   30.00     5  |__tokio-rt-worker
09:37:24 AM  1000         -     32984   19.00   15.00    0.00    2.00   34.00     0  |__tokio-rt-worker
09:37:24 AM  1000         -     32985   18.00   11.00    0.00    0.00   29.00     1  |__tokio-rt-worker
09:37:24 AM  1000         -     32986   19.00   15.00    0.00    2.00   34.00     1  |__tokio-rt-worker
09:37:24 AM  1000         -     32987   20.00   10.00    0.00    1.00   30.00     6  |__tokio-rt-worker
09:37:24 AM  1000         -     32988   17.00   11.00    0.00    1.00   28.00     3  |__tokio-rt-worker
09:37:24 AM  1000         -     32989   24.00   14.00    0.00    0.00   38.00     7  |__tokio-rt-worker
09:37:24 AM  1000         -     32990   20.00   16.00    0.00    1.00   36.00     6  |__tokio-rt-worker
09:37:25 AM  1000     32982         -  151.00  114.00    0.00    0.00  265.00     5  npuforge-node.s
09:37:25 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:25 AM  1000         -     32983   21.00   18.00    0.00    2.00   39.00     5  |__tokio-rt-worker
09:37:25 AM  1000         -     32984   14.00   14.00    0.00    0.00   28.00     6  |__tokio-rt-worker
09:37:25 AM  1000         -     32985   18.00   13.00    0.00    2.00   31.00     2  |__tokio-rt-worker
09:37:25 AM  1000         -     32986   21.00    8.00    0.00    0.00   29.00     0  |__tokio-rt-worker
09:37:25 AM  1000         -     32987   16.00   15.00    0.00    0.00   31.00     7  |__tokio-rt-worker
09:37:25 AM  1000         -     32988   21.00   15.00    0.00    1.00   36.00     1  |__tokio-rt-worker
09:37:25 AM  1000         -     32989   20.00   18.00    0.00    1.00   38.00     5  |__tokio-rt-worker
09:37:25 AM  1000         -     32990   18.00   13.00    0.00    1.00   31.00     3  |__tokio-rt-worker
09:37:26 AM  1000     32982         -  148.00  103.00    0.00    0.00  251.00     5  npuforge-node.s
09:37:26 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:26 AM  1000         -     32983   24.00   14.00    0.00    1.00   38.00     7  |__tokio-rt-worker
09:37:26 AM  1000         -     32984   14.00   14.00    0.00    1.00   28.00     5  |__tokio-rt-worker
09:37:26 AM  1000         -     32985   19.00   18.00    0.00    1.00   37.00     2  |__tokio-rt-worker
09:37:26 AM  1000         -     32986   18.00   10.00    0.00    2.00   28.00     5  |__tokio-rt-worker
09:37:26 AM  1000         -     32987   18.00   11.00    0.00    1.00   29.00     5  |__tokio-rt-worker
09:37:26 AM  1000         -     32988   17.00   14.00    0.00    1.00   31.00     6  |__tokio-rt-worker
09:37:26 AM  1000         -     32989   17.00   11.00    0.00    1.00   28.00     0  |__tokio-rt-worker
09:37:26 AM  1000         -     32990   23.00   12.00    0.00    0.00   35.00     1  |__tokio-rt-worker
09:37:27 AM  1000     32982         -  155.00  120.00    0.00    0.00  275.00     5  npuforge-node.s
09:37:27 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:27 AM  1000         -     32983   19.00   14.00    0.00    2.00   33.00     2  |__tokio-rt-worker
09:37:27 AM  1000         -     32984   20.00   13.00    0.00    1.00   33.00     5  |__tokio-rt-worker
09:37:27 AM  1000         -     32985   17.00   19.00    0.00    1.00   36.00     7  |__tokio-rt-worker
09:37:27 AM  1000         -     32986   20.00   13.00    0.00    0.00   33.00     2  |__tokio-rt-worker
09:37:27 AM  1000         -     32987   20.00   12.00    0.00    1.00   32.00     5  |__tokio-rt-worker
09:37:27 AM  1000         -     32988   17.00   16.00    0.00    0.00   33.00     2  |__tokio-rt-worker
09:37:27 AM  1000         -     32989   20.00   16.00    0.00    1.00   36.00     1  |__tokio-rt-worker
09:37:27 AM  1000         -     32990   20.00   15.00    0.00    2.00   35.00     5  |__tokio-rt-worker
09:37:28 AM  1000     32982         -  139.00  125.00    0.00    0.00  264.00     5  npuforge-node.s
09:37:28 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:28 AM  1000         -     32983   18.00   16.00    0.00    1.00   34.00     2  |__tokio-rt-worker
09:37:28 AM  1000         -     32984   20.00   15.00    0.00    0.00   35.00     2  |__tokio-rt-worker
09:37:28 AM  1000         -     32985   20.00   17.00    0.00    1.00   37.00     4  |__tokio-rt-worker
09:37:28 AM  1000         -     32986   13.00   22.00    0.00    1.00   35.00     7  |__tokio-rt-worker
09:37:28 AM  1000         -     32987   16.00   13.00    0.00    1.00   29.00     4  |__tokio-rt-worker
09:37:28 AM  1000         -     32988   16.00   11.00    0.00    2.00   27.00     2  |__tokio-rt-worker
09:37:28 AM  1000         -     32989   17.00   19.00    0.00    1.00   36.00     1  |__tokio-rt-worker
09:37:28 AM  1000         -     32990   20.00   13.00    0.00    1.00   33.00     6  |__tokio-rt-worker
09:37:29 AM  1000     32982         -  151.00  113.00    0.00    0.00  264.00     5  npuforge-node.s
09:37:29 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:29 AM  1000         -     32983   21.00   10.00    0.00    1.00   31.00     7  |__tokio-rt-worker
09:37:29 AM  1000         -     32984   19.00   10.00    0.00    1.00   29.00     6  |__tokio-rt-worker
09:37:29 AM  1000         -     32985   22.00   13.00    0.00    0.00   35.00     0  |__tokio-rt-worker
09:37:29 AM  1000         -     32986   19.00   16.00    0.00    1.00   35.00     7  |__tokio-rt-worker
09:37:29 AM  1000         -     32987   13.00   19.00    0.00    2.00   32.00     3  |__tokio-rt-worker
09:37:29 AM  1000         -     32988   18.00   17.00    0.00    1.00   35.00     2  |__tokio-rt-worker
09:37:29 AM  1000         -     32989   21.00   14.00    0.00    0.00   35.00     1  |__tokio-rt-worker
09:37:29 AM  1000         -     32990   18.00   13.00    0.00    0.00   31.00     1  |__tokio-rt-worker
09:37:30 AM  1000     32982         -  149.00  122.00    0.00    0.00  271.00     5  npuforge-node.s
09:37:30 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:30 AM  1000         -     32983   19.00   14.00    0.00    2.00   33.00     0  |__tokio-rt-worker
09:37:30 AM  1000         -     32984   19.00   12.00    0.00    0.00   31.00     2  |__tokio-rt-worker
09:37:30 AM  1000         -     32985   18.00   15.00    0.00    2.00   33.00     1  |__tokio-rt-worker
09:37:30 AM  1000         -     32986   17.00   13.00    0.00    1.00   30.00     7  |__tokio-rt-worker
09:37:30 AM  1000         -     32987   23.00   15.00    0.00    0.00   38.00     1  |__tokio-rt-worker
09:37:30 AM  1000         -     32988   10.00   22.00    0.00    1.00   32.00     4  |__tokio-rt-worker
09:37:30 AM  1000         -     32989   19.00   18.00    0.00    1.00   37.00     7  |__tokio-rt-worker
09:37:30 AM  1000         -     32990   22.00   14.00    0.00    1.00   36.00     3  |__tokio-rt-worker
09:37:31 AM  1000     32982         -  145.00  101.00    0.00    0.00  246.00     5  npuforge-node.s
09:37:31 AM  1000         -     32982    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:37:31 AM  1000         -     32983   18.00   10.00    0.00    1.00   28.00     3  |__tokio-rt-worker
09:37:31 AM  1000         -     32984   18.00   13.00    0.00    1.00   31.00     6  |__tokio-rt-worker
