Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:33:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:33:57 AM  all   13.87    0.00    9.16    0.00    0.00    4.20    0.00    0.00    0.00   72.77
09:33:57 AM    0   10.42    0.00    3.12    0.00    0.00   34.38    0.00    0.00    0.00   52.08
09:33:57 AM    1   12.37    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   77.32
09:33:57 AM    2   15.84    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   76.24
09:33:57 AM    3   13.13    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   76.77
09:33:57 AM    4   14.29    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   72.45
09:33:57 AM    5   16.49    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   73.20
09:33:57 AM    6   14.14    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   74.75
09:33:57 AM    7   14.14    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   78.79

09:33:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:33:58 AM  all   13.21    0.00    7.69    0.00    0.00    3.59    0.00    0.00    0.00   75.51
09:33:58 AM    0    8.79    0.00    1.10    0.00    0.00   30.77    0.00    0.00    0.00   59.34
09:33:58 AM    1   15.46    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   75.26
09:33:58 AM    2   16.16    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   74.75
09:33:58 AM    3   17.53    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   78.35
09:33:58 AM    4    9.28    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   82.47
09:33:58 AM    5   12.12    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   77.78
09:33:58 AM    6   13.86    0.00   13.86    0.00    0.00    0.00    0.00    0.00    0.00   72.28
09:33:58 AM    7   12.12    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   82.83

09:33:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:33:59 AM  all   14.16    0.00    8.29    0.00    0.00    4.21    0.00    0.00    0.00   73.34
09:33:59 AM    0    9.57    0.00    4.26    0.00    0.00   35.11    0.00    0.00    0.00   51.06
09:33:59 AM    1   20.62    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   78.35
09:33:59 AM    2   15.46    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   76.29
09:33:59 AM    3   15.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   81.00
09:33:59 AM    4   14.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   66.00
09:33:59 AM    5   14.71    0.00   13.73    0.00    0.00    0.00    0.00    0.00    0.00   71.57
09:33:59 AM    6   12.37    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   81.44
09:33:59 AM    7   11.34    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   80.41

09:33:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
