Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:38:36 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:38:37 AM  1000     33406         -  120.79  104.95    0.00    0.00  225.74     7  npuforge-node.s
09:38:37 AM  1000         -     33406    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
09:38:37 AM  1000         -     33407   14.85    8.91    0.00    0.99   23.76     5  |__tokio-rt-worker
09:38:37 AM  1000         -     33408   13.86   16.83    0.00    0.00   30.69     7  |__tokio-rt-worker
09:38:37 AM  1000         -     33409   16.83    8.91    0.00    0.00   25.74     4  |__tokio-rt-worker
09:38:37 AM  1000         -     33410   14.85   11.88    0.00    0.99   26.73     6  |__tokio-rt-worker
09:38:37 AM  1000         -     33411   13.86    6.93    0.00    0.99   20.79     1  |__tokio-rt-worker
09:38:37 AM  1000         -     33412   15.84    9.90    0.00    0.99   25.74     4  |__tokio-rt-worker
09:38:37 AM  1000         -     33413   17.82   17.82    0.00    0.99   35.64     1  |__tokio-rt-worker
09:38:37 AM  1000         -     33414   13.86   23.76    0.00    0.99   37.62     1  |__tokio-rt-worker
09:38:38 AM  1000     33406         -  100.00   93.00    0.00    0.00  193.00     7  npuforge-node.s
09:38:38 AM  1000         -     33406    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
09:38:38 AM  1000         -     33407   14.00   10.00    0.00    0.00   24.00     4  |__tokio-rt-worker
09:38:38 AM  1000         -     33408   13.00   11.00    0.00    0.00   24.00     3  |__tokio-rt-worker
09:38:38 AM  1000         -     33409   13.00   13.00    0.00    1.00   26.00     5  |__tokio-rt-worker
09:38:38 AM  1000         -     33410   13.00   16.00    0.00    1.00   29.00     0  |__tokio-rt-worker
09:38:38 AM  1000         -     33411   14.00   15.00    0.00    1.00   29.00     2  |__tokio-rt-worker
09:38:38 AM  1000         -     33412   13.00    9.00    0.00    0.00   22.00     7  |__tokio-rt-worker
09:38:38 AM  1000         -     33413   11.00    9.00    0.00    0.00   20.00     1  |__tokio-rt-worker
09:38:38 AM  1000         -     33414    9.00    8.00    0.00    0.00   17.00     2  |__tokio-rt-worker
09:38:39 AM  1000     33406         -  119.00   79.00    0.00    0.00  198.00     7  npuforge-node.s
09:38:39 AM  1000         -     33406    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
09:38:39 AM  1000         -     33407   11.00    6.00    0.00    0.00   17.00     0  |__tokio-rt-worker
09:38:39 AM  1000         -     33408   14.00   10.00    0.00    1.00   24.00     0  |__tokio-rt-worker
09:38:39 AM  1000         -     33409   15.00    7.00    0.00    0.00   22.00     6  |__tokio-rt-worker
09:38:39 AM  1000         -     33410   14.00   25.00    0.00    0.00   39.00     4  |__tokio-rt-worker
09:38:39 AM  1000         -     33411   16.00    8.00    0.00    0.00   24.00     5  |__tokio-rt-worker
09:38:39 AM  1000         -     33412   17.00    5.00    0.00    1.00   22.00     0  |__tokio-rt-worker
09:38:39 AM  1000         -     33413   16.00    9.00    0.00    1.00   25.00     1  |__tokio-rt-worker
09:38:39 AM  1000         -     33414   15.00    9.00    0.00    1.00   24.00     7  |__tokio-rt-worker
09:38:40 AM  1000     33406         -   89.00   78.00    0.00    0.00  167.00     7  npuforge-node.s
09:38:40 AM  1000         -     33406    0.00    0.00    0.00    0.00    0.00     7  |__npuforge-node.s
09:38:40 AM  1000         -     33407    8.00    5.00    0.00    1.00   13.00     7  |__tokio-rt-worker
09:38:40 AM  1000         -     33408   12.00   10.00    0.00    1.00   22.00     5  |__tokio-rt-worker
09:38:40 AM  1000         -     33409   11.00    8.00    0.00    0.00   19.00     0  |__tokio-rt-worker
09:38:40 AM  1000         -     33410   10.00   18.00    0.00    1.00   28.00     6  |__tokio-rt-worker
09:38:40 AM  1000         -     33411   16.00    9.00    0.00    0.00   25.00     7  |__tokio-rt-worker
09:38:40 AM  1000         -     33412    8.00    7.00    0.00    1.00   15.00     1  |__tokio-rt-worker
09:38:40 AM  1000         -     33413   14.00   15.00    0.00    0.00   29.00     1  |__tokio-rt-worker
09:38:40 AM  1000         -     33414   10.00    8.00    0.00    0.00   18.00     6  |__tokio-rt-worker
09:38:41 AM  1000     33406         -  103.00   73.00    0.00    0.00  176.00     7  npuforge-node.s
