Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:24:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:36 AM  all   30.32    0.00   20.65    0.00    0.00    9.55    0.00    0.00    0.00   39.48
09:24:36 AM    0    5.05    0.00    3.03    0.00    0.00   74.75    0.00    0.00    0.00   17.17
09:24:36 AM    1   24.74    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   64.95
09:24:36 AM    2   20.83    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   69.79
09:24:36 AM    3   18.56    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   72.16
09:24:36 AM    4   42.86    0.00   34.69    0.00    0.00    0.00    0.00    0.00    0.00   22.45
09:24:36 AM    5   42.11    0.00   32.63    0.00    0.00    0.00    0.00    0.00    0.00   25.26
09:24:36 AM    6   41.67    0.00   35.42    0.00    0.00    0.00    0.00    0.00    0.00   22.92
09:24:36 AM    7   47.42    0.00   30.93    0.00    0.00    0.00    0.00    0.00    0.00   21.65

09:24:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:37 AM  all   27.13    0.00   19.77    0.00    0.00    9.43    0.00    0.00    0.00   43.67
09:24:37 AM    0    3.00    0.00    3.00    0.00    0.00   73.00    0.00    0.00    0.00   21.00
09:24:37 AM    1   19.35    0.00   10.75    0.00    0.00    0.00    0.00    0.00    0.00   69.89
09:24:37 AM    2   21.65    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   72.16
09:24:37 AM    3   18.75    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   71.88
09:24:37 AM    4   37.37    0.00   31.31    0.00    0.00    0.00    0.00    0.00    0.00   31.31
09:24:37 AM    5   38.14    0.00   31.96    0.00    0.00    0.00    0.00    0.00    0.00   29.90
09:24:37 AM    6   40.21    0.00   31.96    0.00    0.00    0.00    0.00    0.00    0.00   27.84
09:24:37 AM    7   38.95    0.00   33.68    0.00    0.00    0.00    0.00    0.00    0.00   27.37

09:24:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:38 AM  all   26.68    0.00   19.95    0.00    0.00    9.91    0.00    0.00    0.00   43.46
09:24:38 AM    0    3.16    0.00    1.05    0.00    0.00   78.95    0.00    0.00    0.00   16.84
09:24:38 AM    1   32.29    0.00   14.58    0.00    0.00    0.00    0.00    0.00    0.00   53.12
09:24:38 AM    2   27.66    0.00   13.83    0.00    0.00    0.00    0.00    0.00    0.00   58.51
09:24:38 AM    3   30.21    0.00   17.71    0.00    0.00    0.00    0.00    0.00    0.00   52.08
09:24:38 AM    4   31.91    0.00   28.72    0.00    0.00    0.00    0.00    0.00    0.00   39.36
09:24:38 AM    5   31.91    0.00   26.60    0.00    0.00    0.00    0.00    0.00    0.00   41.49
09:24:38 AM    6   25.00    0.00   28.26    0.00    0.00    0.00    0.00    0.00    0.00   46.74
09:24:38 AM    7   31.25    0.00   29.17    0.00    0.00    0.00    0.00    0.00    0.00   39.58

09:24:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:39 AM  all   25.29    0.00   18.52    0.00    0.00    9.32    0.00    0.00    0.00   46.87
09:24:39 AM    0    4.95    0.00    2.97    0.00    0.00   72.28    0.00    0.00    0.00   19.80
09:24:39 AM    1   25.51    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   62.24
09:24:39 AM    2   26.53    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   57.14
09:24:39 AM    3   24.74    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   60.82
09:24:39 AM    4   30.30    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00   41.41
09:24:39 AM    5   25.77    0.00   28.87    0.00    0.00    0.00    0.00    0.00    0.00   45.36
09:24:39 AM    6   34.02    0.00   25.77    0.00    0.00    0.00    0.00    0.00    0.00   40.21
09:24:39 AM    7   31.25    0.00   19.79    0.00    0.00    0.00    0.00    0.00    0.00   48.96

09:24:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:40 AM  all   26.39    0.00   17.46    0.00    0.00    9.44    0.00    0.00    0.00   46.70
09:24:40 AM    0    2.06    0.00    2.06    0.00    0.00   75.26    0.00    0.00    0.00   20.62
09:24:40 AM    1   26.80    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   58.76
09:24:40 AM    2   20.21    0.00   14.89    0.00    0.00    0.00    0.00    0.00    0.00   64.89
09:24:40 AM    3   28.12    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   59.38
09:24:40 AM    4   33.67    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   41.84
09:24:40 AM    5   29.90    0.00   25.77    0.00    0.00    0.00    0.00    0.00    0.00   44.33
09:24:40 AM    6   33.33    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   44.44
09:24:40 AM    7   36.84    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   40.00

09:24:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:41 AM  all   27.81    0.00   20.96    0.00    0.00    9.70    0.00    0.00    0.00   41.53
09:24:41 AM    0    4.00    0.00    4.00    0.00    0.00   75.00    0.00    0.00    0.00   17.00
09:24:41 AM    1   18.56    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   68.04
09:24:41 AM    2   23.96    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   66.67
09:24:41 AM    3   26.53    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   59.18
09:24:41 AM    4   37.50    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   29.17
09:24:41 AM    5   35.79    0.00   32.63    0.00    0.00    0.00    0.00    0.00    0.00   31.58
09:24:41 AM    6   40.00    0.00   31.58    0.00    0.00    0.00    0.00    0.00    0.00   28.42
09:24:41 AM    7   37.50    0.00   30.21    0.00    0.00    0.00    0.00    0.00    0.00   32.29

09:24:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:42 AM  all   27.85    0.00   18.52    0.00    0.00    9.46    0.00    0.00    0.00   44.17
09:24:42 AM    0    1.03    0.00    2.06    0.00    0.00   75.26    0.00    0.00    0.00   21.65
09:24:42 AM    1   23.47    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   66.33
09:24:42 AM    2   25.26    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   64.21
09:24:42 AM    3   30.61    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   53.06
09:24:42 AM    4   33.68    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00   36.84
09:24:42 AM    5   34.02    0.00   28.87    0.00    0.00    0.00    0.00    0.00    0.00   37.11
09:24:42 AM    6   37.50    0.00   26.04    0.00    0.00    0.00    0.00    0.00    0.00   36.46
09:24:42 AM    7   37.50    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   37.50

09:24:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:43 AM  all   25.64    0.00   17.05    0.00    0.00    9.10    0.00    0.00    0.00   48.21
09:24:43 AM    0    4.08    0.00    3.06    0.00    0.00   72.45    0.00    0.00    0.00   20.41
09:24:43 AM    1   28.28    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   57.58
09:24:43 AM    2   25.00    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   58.33
09:24:43 AM    3   31.25    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   57.29
09:24:43 AM    4   31.63    0.00   20.41    0.00    0.00    0.00    0.00    0.00    0.00   47.96
09:24:43 AM    5   28.87    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   48.45
09:24:43 AM    6   27.08    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   47.92
09:24:43 AM    7   29.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00    0.00   48.00

09:24:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:44 AM  all   28.75    0.00   19.26    0.00    0.00    9.76    0.00    0.00    0.00   42.23
09:24:44 AM    0    2.94    0.00    1.96    0.00    0.00   74.51    0.00    0.00    0.00   20.59
09:24:44 AM    1   22.11    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   69.47
09:24:44 AM    2   28.42    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   68.42
09:24:44 AM    3   19.80    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   73.27
09:24:44 AM    4   38.14    0.00   35.05    0.00    0.00    0.00    0.00    0.00    0.00   26.80
09:24:44 AM    5   39.80    0.00   30.61    0.00    0.00    0.00    0.00    0.00    0.00   29.59
09:24:44 AM    6   40.62    0.00   36.46    0.00    0.00    0.00    0.00    0.00    0.00   22.92
