Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:40:11 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:40:12 AM  1000     33820         -  229.70  174.26    0.00    0.00  403.96     5  npuforge-node.s
09:40:12 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:12 AM  1000         -     33821   30.69   20.79    0.00    4.95   51.49     4  |__tokio-rt-worker
09:40:12 AM  1000         -     33822   28.71   25.74    0.00    2.97   54.46     5  |__tokio-rt-worker
09:40:12 AM  1000         -     33823   28.71   21.78    0.00    3.96   50.50     3  |__tokio-rt-worker
09:40:12 AM  1000         -     33824   28.71   19.80    0.00    3.96   48.51     0  |__tokio-rt-worker
09:40:12 AM  1000         -     33825   29.70   21.78    0.00    3.96   51.49     6  |__tokio-rt-worker
09:40:12 AM  1000         -     33826   25.74   24.75    0.00    3.96   50.50     7  |__tokio-rt-worker
09:40:12 AM  1000         -     33827   27.72   19.80    0.00    5.94   47.52     2  |__tokio-rt-worker
09:40:12 AM  1000         -     33828   30.69   18.81    0.00    2.97   49.50     1  |__tokio-rt-worker
09:40:13 AM  1000     33820         -  241.00  166.00    0.00    0.00  407.00     5  npuforge-node.s
09:40:13 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:13 AM  1000         -     33821   28.00   21.00    0.00    4.00   49.00     0  |__tokio-rt-worker
09:40:13 AM  1000         -     33822   28.00   22.00    0.00    3.00   50.00     4  |__tokio-rt-worker
09:40:13 AM  1000         -     33823   29.00   20.00    0.00    3.00   49.00     1  |__tokio-rt-worker
09:40:13 AM  1000         -     33824   27.00   24.00    0.00    5.00   51.00     4  |__tokio-rt-worker
09:40:13 AM  1000         -     33825   35.00   19.00    0.00    3.00   54.00     7  |__tokio-rt-worker
09:40:13 AM  1000         -     33826   32.00   19.00    0.00    4.00   51.00     1  |__tokio-rt-worker
09:40:13 AM  1000         -     33827   29.00   21.00    0.00    5.00   50.00     4  |__tokio-rt-worker
09:40:13 AM  1000         -     33828   30.00   19.00    0.00    4.00   49.00     6  |__tokio-rt-worker
09:40:14 AM  1000     33820         -  223.00  164.00    0.00    0.00  387.00     5  npuforge-node.s
09:40:14 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:14 AM  1000         -     33821   29.00   20.00    0.00    4.00   49.00     3  |__tokio-rt-worker
09:40:14 AM  1000         -     33822   23.00   24.00    0.00    5.00   47.00     6  |__tokio-rt-worker
09:40:14 AM  1000         -     33823   24.00   24.00    0.00    5.00   48.00     6  |__tokio-rt-worker
09:40:14 AM  1000         -     33824   35.00   15.00    0.00    2.00   50.00     1  |__tokio-rt-worker
09:40:14 AM  1000         -     33825   30.00   21.00    0.00    4.00   51.00     7  |__tokio-rt-worker
09:40:14 AM  1000         -     33826   27.00   21.00    0.00    3.00   48.00     5  |__tokio-rt-worker
09:40:14 AM  1000         -     33827   24.00   24.00    0.00    3.00   48.00     7  |__tokio-rt-worker
09:40:14 AM  1000         -     33828   32.00   16.00    0.00    5.00   48.00     2  |__tokio-rt-worker
09:40:15 AM  1000     33820         -  200.00  159.00    0.00    0.00  359.00     5  npuforge-node.s
09:40:15 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:15 AM  1000         -     33821   26.00   20.00    0.00    2.00   46.00     4  |__tokio-rt-worker
09:40:15 AM  1000         -     33822   26.00   20.00    0.00    3.00   46.00     3  |__tokio-rt-worker
09:40:15 AM  1000         -     33823   24.00   22.00    0.00    2.00   46.00     1  |__tokio-rt-worker
09:40:15 AM  1000         -     33824   25.00   20.00    0.00    2.00   45.00     7  |__tokio-rt-worker
09:40:15 AM  1000         -     33825   24.00   21.00    0.00    3.00   45.00     6  |__tokio-rt-worker
09:40:15 AM  1000         -     33826   25.00   19.00    0.00    3.00   44.00     5  |__tokio-rt-worker
09:40:15 AM  1000         -     33827   27.00   16.00    0.00    3.00   43.00     2  |__tokio-rt-worker
09:40:15 AM  1000         -     33828   24.00   21.00    0.00    3.00   45.00     4  |__tokio-rt-worker
09:40:16 AM  1000     33820         -  218.00  179.00    0.00    0.00  397.00     5  npuforge-node.s
09:40:16 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:16 AM  1000         -     33821   27.00   22.00    0.00    3.00   49.00     2  |__tokio-rt-worker
09:40:16 AM  1000         -     33822   24.00   27.00    0.00    3.00   51.00     4  |__tokio-rt-worker
09:40:16 AM  1000         -     33823   29.00   21.00    0.00    2.00   50.00     3  |__tokio-rt-worker
09:40:16 AM  1000         -     33824   27.00   22.00    0.00    4.00   49.00     3  |__tokio-rt-worker
09:40:16 AM  1000         -     33825   27.00   24.00    0.00    3.00   51.00     5  |__tokio-rt-worker
09:40:16 AM  1000         -     33826   29.00   22.00    0.00    4.00   51.00     7  |__tokio-rt-worker
09:40:16 AM  1000         -     33827   28.00   23.00    0.00    5.00   51.00     5  |__tokio-rt-worker
09:40:16 AM  1000         -     33828   27.00   18.00    0.00    5.00   45.00     6  |__tokio-rt-worker
09:40:17 AM  1000     33820         -  205.00  158.00    0.00    0.00  363.00     5  npuforge-node.s
09:40:17 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:17 AM  1000         -     33821   24.00   21.00    0.00    3.00   45.00     7  |__tokio-rt-worker
09:40:17 AM  1000         -     33822   26.00   20.00    0.00    5.00   46.00     1  |__tokio-rt-worker
09:40:17 AM  1000         -     33823   25.00   19.00    0.00    2.00   44.00     5  |__tokio-rt-worker
09:40:17 AM  1000         -     33824   27.00   19.00    0.00    1.00   46.00     6  |__tokio-rt-worker
09:40:17 AM  1000         -     33825   24.00   18.00    0.00    2.00   42.00     2  |__tokio-rt-worker
09:40:17 AM  1000         -     33826   26.00   22.00    0.00    3.00   48.00     5  |__tokio-rt-worker
09:40:17 AM  1000         -     33827   26.00   18.00    0.00    3.00   44.00     4  |__tokio-rt-worker
09:40:17 AM  1000         -     33828   26.00   20.00    0.00    2.00   46.00     3  |__tokio-rt-worker
09:40:18 AM  1000     33820         -  206.00  168.00    0.00    0.00  374.00     5  npuforge-node.s
09:40:18 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:18 AM  1000         -     33821   23.00   25.00    0.00    3.00   48.00     7  |__tokio-rt-worker
09:40:18 AM  1000         -     33822   24.00   22.00    0.00    2.00   46.00     7  |__tokio-rt-worker
09:40:18 AM  1000         -     33823   28.00   17.00    0.00    2.00   45.00     3  |__tokio-rt-worker
09:40:18 AM  1000         -     33824   23.00   23.00    0.00    3.00   46.00     4  |__tokio-rt-worker
09:40:18 AM  1000         -     33825   26.00   21.00    0.00    3.00   47.00     0  |__tokio-rt-worker
09:40:18 AM  1000         -     33826   27.00   19.00    0.00    1.00   46.00     5  |__tokio-rt-worker
09:40:18 AM  1000         -     33827   25.00   24.00    0.00    1.00   49.00     6  |__tokio-rt-worker
09:40:18 AM  1000         -     33828   30.00   18.00    0.00    2.00   48.00     2  |__tokio-rt-worker
09:40:19 AM  1000     33820         -  226.00  160.00    0.00    0.00  386.00     5  npuforge-node.s
09:40:19 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:19 AM  1000         -     33821   29.00   22.00    0.00    3.00   51.00     6  |__tokio-rt-worker
09:40:19 AM  1000         -     33822   31.00   18.00    0.00    2.00   49.00     7  |__tokio-rt-worker
09:40:19 AM  1000         -     33823   26.00   22.00    0.00    1.00   48.00     0  |__tokio-rt-worker
09:40:19 AM  1000         -     33824   26.00   20.00    0.00    3.00   46.00     0  |__tokio-rt-worker
09:40:19 AM  1000         -     33825   27.00   20.00    0.00    3.00   47.00     5  |__tokio-rt-worker
09:40:19 AM  1000         -     33826   24.00   22.00    0.00    3.00   46.00     4  |__tokio-rt-worker
09:40:19 AM  1000         -     33827   29.00   20.00    0.00    3.00   49.00     3  |__tokio-rt-worker
09:40:19 AM  1000         -     33828   34.00   15.00    0.00    1.00   49.00     3  |__tokio-rt-worker
09:40:20 AM  1000     33820         -  220.00  164.00    0.00    0.00  384.00     5  npuforge-node.s
09:40:20 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:20 AM  1000         -     33821   29.00   21.00    0.00    3.00   50.00     4  |__tokio-rt-worker
09:40:20 AM  1000         -     33822   29.00   18.00    0.00    3.00   47.00     3  |__tokio-rt-worker
09:40:20 AM  1000         -     33823   28.00   19.00    0.00    3.00   47.00     6  |__tokio-rt-worker
09:40:20 AM  1000         -     33824   26.00   22.00    0.00    3.00   48.00     2  |__tokio-rt-worker
09:40:20 AM  1000         -     33825   26.00   22.00    0.00    4.00   48.00     5  |__tokio-rt-worker
09:40:20 AM  1000         -     33826   31.00   20.00    0.00    4.00   51.00     4  |__tokio-rt-worker
09:40:20 AM  1000         -     33827   27.00   16.00    0.00    4.00   43.00     6  |__tokio-rt-worker
09:40:20 AM  1000         -     33828   24.00   25.00    0.00    3.00   49.00     7  |__tokio-rt-worker
09:40:21 AM  1000     33820         -  221.00  168.00    0.00    0.00  389.00     5  npuforge-node.s
09:40:21 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:21 AM  1000         -     33821   26.00   22.00    0.00    3.00   48.00     6  |__tokio-rt-worker
09:40:21 AM  1000         -     33822   32.00   19.00    0.00    2.00   51.00     3  |__tokio-rt-worker
09:40:21 AM  1000         -     33823   27.00   22.00    0.00    3.00   49.00     5  |__tokio-rt-worker
09:40:21 AM  1000         -     33824   33.00   19.00    0.00    1.00   52.00     4  |__tokio-rt-worker
09:40:21 AM  1000         -     33825   26.00   23.00    0.00    2.00   49.00     6  |__tokio-rt-worker
09:40:21 AM  1000         -     33826   24.00   22.00    0.00    3.00   46.00     0  |__tokio-rt-worker
09:40:21 AM  1000         -     33827   28.00   19.00    0.00    5.00   47.00     3  |__tokio-rt-worker
09:40:21 AM  1000         -     33828   26.00   23.00    0.00    3.00   49.00     7  |__tokio-rt-worker
09:40:22 AM  1000     33820         -  225.00  175.00    0.00    0.00  400.00     5  npuforge-node.s
09:40:22 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:22 AM  1000         -     33821   28.00   20.00    0.00    4.00   48.00     6  |__tokio-rt-worker
09:40:22 AM  1000         -     33822   30.00   20.00    0.00    4.00   50.00     3  |__tokio-rt-worker
09:40:22 AM  1000         -     33823   28.00   25.00    0.00    3.00   53.00     3  |__tokio-rt-worker
09:40:22 AM  1000         -     33824   27.00   26.00    0.00    3.00   53.00     3  |__tokio-rt-worker
09:40:22 AM  1000         -     33825   28.00   22.00    0.00    4.00   50.00     5  |__tokio-rt-worker
09:40:22 AM  1000         -     33826   27.00   20.00    0.00    5.00   47.00     4  |__tokio-rt-worker
09:40:22 AM  1000         -     33827   31.00   19.00    0.00    4.00   50.00     7  |__tokio-rt-worker
09:40:22 AM  1000         -     33828   25.00   23.00    0.00    5.00   48.00     2  |__tokio-rt-worker
09:40:23 AM  1000     33820         -  238.00  164.00    0.00    0.00  402.00     5  npuforge-node.s
09:40:23 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:23 AM  1000         -     33821   29.00   20.00    0.00    3.00   49.00     7  |__tokio-rt-worker
09:40:23 AM  1000         -     33822   30.00   21.00    0.00    3.00   51.00     7  |__tokio-rt-worker
09:40:23 AM  1000         -     33823   34.00   17.00    0.00    1.00   51.00     3  |__tokio-rt-worker
09:40:23 AM  1000         -     33824   26.00   25.00    0.00    2.00   51.00     1  |__tokio-rt-worker
09:40:23 AM  1000         -     33825   29.00   22.00    0.00    5.00   51.00     5  |__tokio-rt-worker
09:40:23 AM  1000         -     33826   32.00   18.00    0.00    3.00   50.00     4  |__tokio-rt-worker
09:40:23 AM  1000         -     33827   32.00   22.00    0.00    2.00   54.00     0  |__tokio-rt-worker
09:40:23 AM  1000         -     33828   28.00   19.00    0.00    3.00   47.00     6  |__tokio-rt-worker
09:40:24 AM  1000     33820         -  171.00  126.00    0.00    0.00  297.00     5  npuforge-node.s
09:40:24 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:24 AM  1000         -     33821   21.00   14.00    0.00    0.00   35.00     4  |__tokio-rt-worker
09:40:24 AM  1000         -     33822   23.00   15.00    0.00    1.00   38.00     3  |__tokio-rt-worker
09:40:24 AM  1000         -     33823   21.00   18.00    0.00    2.00   39.00     1  |__tokio-rt-worker
09:40:24 AM  1000         -     33824   19.00   15.00    0.00    2.00   34.00     7  |__tokio-rt-worker
09:40:24 AM  1000         -     33825   24.00   15.00    0.00    1.00   39.00     4  |__tokio-rt-worker
09:40:24 AM  1000         -     33826   23.00   16.00    0.00    1.00   39.00     4  |__tokio-rt-worker
09:40:24 AM  1000         -     33827   19.00   17.00    0.00    1.00   36.00     6  |__tokio-rt-worker
09:40:24 AM  1000         -     33828   19.00   17.00    0.00    2.00   36.00     4  |__tokio-rt-worker
09:40:25 AM  1000     33820         -  220.00  146.00    0.00    0.00  366.00     5  npuforge-node.s
09:40:25 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:25 AM  1000         -     33821   25.00   19.00    0.00    3.00   44.00     1  |__tokio-rt-worker
09:40:25 AM  1000         -     33822   30.00   16.00    0.00    2.00   46.00     7  |__tokio-rt-worker
09:40:25 AM  1000         -     33823   31.00   13.00    0.00    1.00   44.00     4  |__tokio-rt-worker
09:40:25 AM  1000         -     33824   25.00   21.00    0.00    2.00   46.00     6  |__tokio-rt-worker
09:40:25 AM  1000         -     33825   27.00   20.00    0.00    1.00   47.00     5  |__tokio-rt-worker
09:40:25 AM  1000         -     33826   25.00   21.00    0.00    2.00   46.00     5  |__tokio-rt-worker
09:40:25 AM  1000         -     33827   27.00   18.00    0.00    2.00   45.00     6  |__tokio-rt-worker
09:40:25 AM  1000         -     33828   31.00   16.00    0.00    2.00   47.00     3  |__tokio-rt-worker
09:40:26 AM  1000     33820         -  224.00  158.00    0.00    0.00  382.00     5  npuforge-node.s
09:40:26 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:26 AM  1000         -     33821   26.00   22.00    0.00    3.00   48.00     4  |__tokio-rt-worker
09:40:26 AM  1000         -     33822   28.00   20.00    0.00    2.00   48.00     6  |__tokio-rt-worker
09:40:26 AM  1000         -     33823   28.00   19.00    0.00    4.00   47.00     5  |__tokio-rt-worker
09:40:26 AM  1000         -     33824   25.00   22.00    0.00    4.00   47.00     4  |__tokio-rt-worker
09:40:26 AM  1000         -     33825   28.00   22.00    0.00    3.00   50.00     5  |__tokio-rt-worker
09:40:26 AM  1000         -     33826   29.00   17.00    0.00    4.00   46.00     7  |__tokio-rt-worker
09:40:26 AM  1000         -     33827   27.00   19.00    0.00    4.00   46.00     4  |__tokio-rt-worker
09:40:26 AM  1000         -     33828   32.00   16.00    0.00    0.00   48.00     3  |__tokio-rt-worker
09:40:27 AM  1000     33820         -  217.00  173.00    0.00    0.00  390.00     5  npuforge-node.s
09:40:27 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:27 AM  1000         -     33821   25.00   24.00    0.00    5.00   49.00     2  |__tokio-rt-worker
09:40:27 AM  1000         -     33822   25.00   24.00    0.00    4.00   49.00     1  |__tokio-rt-worker
09:40:27 AM  1000         -     33823   26.00   23.00    0.00    5.00   49.00     7  |__tokio-rt-worker
09:40:27 AM  1000         -     33824   26.00   25.00    0.00    4.00   51.00     0  |__tokio-rt-worker
09:40:27 AM  1000         -     33825   27.00   19.00    0.00    4.00   46.00     3  |__tokio-rt-worker
09:40:27 AM  1000         -     33826   27.00   22.00    0.00    6.00   49.00     6  |__tokio-rt-worker
09:40:27 AM  1000         -     33827   28.00   21.00    0.00    3.00   49.00     5  |__tokio-rt-worker
09:40:27 AM  1000         -     33828   34.00   17.00    0.00    2.00   51.00     4  |__tokio-rt-worker
09:40:28 AM  1000     33820         -  203.00  151.00    0.00    0.00  354.00     5  npuforge-node.s
09:40:28 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:28 AM  1000         -     33821   22.00   23.00    0.00    3.00   45.00     5  |__tokio-rt-worker
09:40:28 AM  1000         -     33822   26.00   17.00    0.00    4.00   43.00     7  |__tokio-rt-worker
09:40:28 AM  1000         -     33823   25.00   18.00    0.00    2.00   43.00     5  |__tokio-rt-worker
09:40:28 AM  1000         -     33824   25.00   21.00    0.00    2.00   46.00     6  |__tokio-rt-worker
09:40:28 AM  1000         -     33825   24.00   18.00    0.00    3.00   42.00     6  |__tokio-rt-worker
09:40:28 AM  1000         -     33826   25.00   19.00    0.00    1.00   44.00     4  |__tokio-rt-worker
09:40:28 AM  1000         -     33827   25.00   18.00    0.00    2.00   43.00     3  |__tokio-rt-worker
09:40:28 AM  1000         -     33828   30.00   17.00    0.00    2.00   47.00     1  |__tokio-rt-worker
09:40:29 AM  1000     33820         -  220.00  155.00    0.00    0.00  375.00     5  npuforge-node.s
09:40:29 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:29 AM  1000         -     33821   25.00   23.00    0.00    1.00   48.00     7  |__tokio-rt-worker
09:40:29 AM  1000         -     33822   28.00   17.00    0.00    2.00   45.00     4  |__tokio-rt-worker
09:40:29 AM  1000         -     33823   24.00   21.00    0.00    3.00   45.00     5  |__tokio-rt-worker
09:40:29 AM  1000         -     33824   25.00   18.00    0.00    2.00   43.00     4  |__tokio-rt-worker
09:40:29 AM  1000         -     33825   26.00   21.00    0.00    2.00   47.00     0  |__tokio-rt-worker
09:40:29 AM  1000         -     33826   30.00   17.00    0.00    3.00   47.00     3  |__tokio-rt-worker
09:40:29 AM  1000         -     33827   31.00   20.00    0.00    1.00   51.00     5  |__tokio-rt-worker
09:40:29 AM  1000         -     33828   30.00   17.00    0.00    1.00   47.00     6  |__tokio-rt-worker
09:40:30 AM  1000     33820         -  217.00  163.00    0.00    0.00  380.00     5  npuforge-node.s
09:40:30 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:30 AM  1000         -     33821   23.00   24.00    0.00    2.00   47.00     5  |__tokio-rt-worker
09:40:30 AM  1000         -     33822   28.00   20.00    0.00    3.00   48.00     1  |__tokio-rt-worker
09:40:30 AM  1000         -     33823   28.00   21.00    0.00    3.00   49.00     6  |__tokio-rt-worker
09:40:30 AM  1000         -     33824   27.00   19.00    0.00    6.00   46.00     6  |__tokio-rt-worker
09:40:30 AM  1000         -     33825   26.00   19.00    0.00    3.00   45.00     6  |__tokio-rt-worker
09:40:30 AM  1000         -     33826   28.00   21.00    0.00    2.00   49.00     7  |__tokio-rt-worker
09:40:30 AM  1000         -     33827   30.00   20.00    0.00    4.00   50.00     4  |__tokio-rt-worker
09:40:30 AM  1000         -     33828   29.00   20.00    0.00    3.00   49.00     3  |__tokio-rt-worker
09:40:31 AM  1000     33820         -  233.00  167.00    0.00    0.00  400.00     5  npuforge-node.s
09:40:31 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:31 AM  1000         -     33821   29.00   19.00    0.00    3.00   48.00     7  |__tokio-rt-worker
09:40:31 AM  1000         -     33822   29.00   21.00    0.00    3.00   50.00     5  |__tokio-rt-worker
09:40:31 AM  1000         -     33823   24.00   25.00    0.00    2.00   49.00     6  |__tokio-rt-worker
09:40:31 AM  1000         -     33824   28.00   22.00    0.00    3.00   50.00     5  |__tokio-rt-worker
09:40:31 AM  1000         -     33825   28.00   23.00    0.00    3.00   51.00     1  |__tokio-rt-worker
09:40:31 AM  1000         -     33826   28.00   19.00    0.00    4.00   47.00     7  |__tokio-rt-worker
09:40:31 AM  1000         -     33827   30.00   20.00    0.00    4.00   50.00     4  |__tokio-rt-worker
09:40:31 AM  1000         -     33828   35.00   17.00    0.00    1.00   52.00     1  |__tokio-rt-worker
09:40:32 AM  1000     33820         -  243.00  176.00    0.00    0.00  419.00     5  npuforge-node.s
09:40:32 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:32 AM  1000         -     33821   32.00   20.00    0.00    5.00   52.00     0  |__tokio-rt-worker
09:40:32 AM  1000         -     33822   32.00   20.00    0.00    3.00   52.00     5  |__tokio-rt-worker
09:40:32 AM  1000         -     33823   29.00   23.00    0.00    4.00   52.00     6  |__tokio-rt-worker
09:40:32 AM  1000         -     33824   31.00   21.00    0.00    4.00   52.00     1  |__tokio-rt-worker
09:40:32 AM  1000         -     33825   27.00   24.00    0.00    4.00   51.00     4  |__tokio-rt-worker
09:40:32 AM  1000         -     33826   30.00   22.00    0.00    4.00   52.00     7  |__tokio-rt-worker
09:40:32 AM  1000         -     33827   30.00   23.00    0.00    2.00   53.00     1  |__tokio-rt-worker
09:40:32 AM  1000         -     33828   33.00   24.00    0.00    3.00   57.00     1  |__tokio-rt-worker
09:40:33 AM  1000     33820         -  208.00  166.00    0.00    0.00  374.00     5  npuforge-node.s
09:40:33 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:33 AM  1000         -     33821   27.00   21.00    0.00    2.00   48.00     5  |__tokio-rt-worker
09:40:33 AM  1000         -     33822   28.00   21.00    0.00    2.00   49.00     3  |__tokio-rt-worker
09:40:33 AM  1000         -     33823   26.00   20.00    0.00    1.00   46.00     4  |__tokio-rt-worker
09:40:33 AM  1000         -     33824   25.00   22.00    0.00    1.00   47.00     1  |__tokio-rt-worker
09:40:33 AM  1000         -     33825   25.00   20.00    0.00    2.00   45.00     4  |__tokio-rt-worker
09:40:33 AM  1000         -     33826   27.00   18.00    0.00    3.00   45.00     7  |__tokio-rt-worker
09:40:33 AM  1000         -     33827   23.00   25.00    0.00    2.00   48.00     6  |__tokio-rt-worker
09:40:33 AM  1000         -     33828   27.00   19.00    0.00    3.00   46.00     6  |__tokio-rt-worker
09:40:34 AM  1000     33820         -  230.00  146.00    0.00    0.00  376.00     5  npuforge-node.s
09:40:34 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:34 AM  1000         -     33821   26.00   20.00    0.00    4.00   46.00     2  |__tokio-rt-worker
09:40:34 AM  1000         -     33822   34.00   11.00    0.00    2.00   45.00     6  |__tokio-rt-worker
09:40:34 AM  1000         -     33823   30.00   17.00    0.00    3.00   47.00     0  |__tokio-rt-worker
09:40:34 AM  1000         -     33824   26.00   20.00    0.00    3.00   46.00     7  |__tokio-rt-worker
09:40:34 AM  1000         -     33825   27.00   19.00    0.00    3.00   46.00     4  |__tokio-rt-worker
09:40:34 AM  1000         -     33826   31.00   18.00    0.00    2.00   49.00     4  |__tokio-rt-worker
09:40:34 AM  1000         -     33827   29.00   19.00    0.00    2.00   48.00     1  |__tokio-rt-worker
09:40:34 AM  1000         -     33828   28.00   20.00    0.00    3.00   48.00     5  |__tokio-rt-worker
09:40:35 AM  1000     33820         -  223.00  153.00    0.00    0.00  376.00     5  npuforge-node.s
09:40:35 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:35 AM  1000         -     33821   31.00   15.00    0.00    2.00   46.00     1  |__tokio-rt-worker
09:40:35 AM  1000         -     33822   27.00   20.00    0.00    4.00   47.00     7  |__tokio-rt-worker
09:40:35 AM  1000         -     33823   24.00   25.00    0.00    3.00   49.00     6  |__tokio-rt-worker
09:40:35 AM  1000         -     33824   29.00   16.00    0.00    2.00   45.00     5  |__tokio-rt-worker
09:40:35 AM  1000         -     33825   30.00   16.00    0.00    1.00   46.00     1  |__tokio-rt-worker
09:40:35 AM  1000         -     33826   25.00   21.00    0.00    2.00   46.00     5  |__tokio-rt-worker
09:40:35 AM  1000         -     33827   32.00   19.00    0.00    2.00   51.00     2  |__tokio-rt-worker
09:40:35 AM  1000         -     33828   24.00   23.00    0.00    3.00   47.00     4  |__tokio-rt-worker
09:40:36 AM  1000     33820         -  235.00  170.00    0.00    0.00  405.00     5  npuforge-node.s
09:40:36 AM  1000         -     33820    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:40:36 AM  1000         -     33821   33.00   17.00    0.00    3.00   50.00     2  |__tokio-rt-worker
09:40:36 AM  1000         -     33822   32.00   17.00    0.00    4.00   49.00     7  |__tokio-rt-worker
09:40:36 AM  1000         -     33823   29.00   22.00    0.00    3.00   51.00     5  |__tokio-rt-worker
