Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:21:28 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:21:29 AM  1000     28815         -  220.79  135.64    0.00    0.00  356.44     5  npuforge-node.s
09:21:29 AM  1000         -     28815    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:21:29 AM  1000         -     28816   26.73   14.85    0.00    1.98   41.58     6  |__tokio-rt-worker
09:21:29 AM  1000         -     28817   30.69   14.85    0.00    0.99   45.54     6  |__tokio-rt-worker
09:21:29 AM  1000         -     28818   27.72   15.84    0.00    1.98   43.56     6  |__tokio-rt-worker
09:21:29 AM  1000         -     28819   26.73   16.83    0.00    0.99   43.56     7  |__tokio-rt-worker
09:21:29 AM  1000         -     28820   23.76   23.76    0.00    0.99   47.52     3  |__tokio-rt-worker
09:21:29 AM  1000         -     28821   28.71   15.84    0.00    0.99   44.55     3  |__tokio-rt-worker
09:21:29 AM  1000         -     28822   29.70   15.84    0.00    1.98   45.54     7  |__tokio-rt-worker
09:21:29 AM  1000         -     28823   26.73   17.82    0.00    0.99   44.55     4  |__tokio-rt-worker
09:21:30 AM  1000     28815         -  215.00  152.00    0.00    0.00  367.00     5  npuforge-node.s
09:21:30 AM  1000         -     28815    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:21:30 AM  1000         -     28816   30.00   21.00    0.00    2.00   51.00     5  |__tokio-rt-worker
09:21:30 AM  1000         -     28817   29.00   18.00    0.00    3.00   47.00     6  |__tokio-rt-worker
09:21:30 AM  1000         -     28818   27.00   17.00    0.00    2.00   44.00     3  |__tokio-rt-worker
09:21:30 AM  1000         -     28819   25.00   19.00    0.00    3.00   44.00     2  |__tokio-rt-worker
09:21:30 AM  1000         -     28820   26.00   21.00    0.00    2.00   47.00     2  |__tokio-rt-worker
09:21:30 AM  1000         -     28821   28.00   16.00    0.00    3.00   44.00     4  |__tokio-rt-worker
09:21:30 AM  1000         -     28822   24.00   23.00    0.00    2.00   47.00     2  |__tokio-rt-worker
09:21:30 AM  1000         -     28823   26.00   18.00    0.00    4.00   44.00     7  |__tokio-rt-worker
09:21:31 AM  1000     28815         -  202.00  150.00    0.00    0.00  352.00     5  npuforge-node.s
09:21:31 AM  1000         -     28815    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:21:31 AM  1000         -     28816   23.00   19.00    0.00    2.00   42.00     4  |__tokio-rt-worker
09:21:31 AM  1000         -     28817   26.00   17.00    0.00    3.00   43.00     6  |__tokio-rt-worker
09:21:31 AM  1000         -     28818   26.00   17.00    0.00    5.00   43.00     6  |__tokio-rt-worker
09:21:31 AM  1000         -     28819   29.00   14.00    0.00    2.00   43.00     7  |__tokio-rt-worker
09:21:31 AM  1000         -     28820   22.00   19.00    0.00    3.00   41.00     5  |__tokio-rt-worker
09:21:31 AM  1000         -     28821   25.00   21.00    0.00    2.00   46.00     2  |__tokio-rt-worker
09:21:31 AM  1000         -     28822   23.00   23.00    0.00    2.00   46.00     3  |__tokio-rt-worker
09:21:31 AM  1000         -     28823   27.00   19.00    0.00    3.00   46.00     7  |__tokio-rt-worker
09:21:32 AM  1000     28815         -  202.00  134.00    0.00    0.00  336.00     5  npuforge-node.s
09:21:32 AM  1000         -     28815    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:21:32 AM  1000         -     28816   24.00   16.00    0.00    2.00   40.00     2  |__tokio-rt-worker
09:21:32 AM  1000         -     28817   26.00   17.00    0.00    2.00   43.00     2  |__tokio-rt-worker
09:21:32 AM  1000         -     28818   25.00   16.00    0.00    2.00   41.00     0  |__tokio-rt-worker
09:21:32 AM  1000         -     28819   27.00   13.00    0.00    3.00   40.00     5  |__tokio-rt-worker
09:21:32 AM  1000         -     28820   27.00   22.00    0.00    1.00   49.00     6  |__tokio-rt-worker
09:21:32 AM  1000         -     28821   24.00   20.00    0.00    1.00   44.00     7  |__tokio-rt-worker
09:21:32 AM  1000         -     28822   26.00   13.00    0.00    1.00   39.00     4  |__tokio-rt-worker
09:21:32 AM  1000         -     28823   24.00   17.00    0.00    1.00   41.00     3  |__tokio-rt-worker
09:21:33 AM  1000     28815         -  212.00  158.00    0.00    0.00  370.00     5  npuforge-node.s
09:21:33 AM  1000         -     28815    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
09:21:33 AM  1000         -     28816   25.00   23.00    0.00    3.00   48.00     2  |__tokio-rt-worker
09:21:33 AM  1000         -     28817   33.00   15.00    0.00    2.00   48.00     2  |__tokio-rt-worker
09:21:33 AM  1000         -     28818   23.00   21.00    0.00    3.00   44.00     0  |__tokio-rt-worker
09:21:33 AM  1000         -     28819   26.00   20.00    0.00    2.00   46.00     4  |__tokio-rt-worker
09:21:33 AM  1000         -     28820   25.00   22.00    0.00    1.00   47.00     6  |__tokio-rt-worker
09:21:33 AM  1000         -     28821   26.00   19.00    0.00    2.00   45.00     7  |__tokio-rt-worker
09:21:33 AM  1000         -     28822   22.00   25.00    0.00    2.00   47.00     5  |__tokio-rt-worker
