Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

09:41:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:41:46 AM  all   28.79    0.00   18.38    0.00    0.00    9.51    0.00    0.00    0.00   43.32
09:41:46 AM    0    4.00    0.00    3.00    0.00    0.00   74.00    0.00    0.00    0.00   19.00
09:41:46 AM    1   27.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
09:41:46 AM    2   20.62    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   73.20
09:41:46 AM    3   12.37    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   83.51
09:41:46 AM    4   41.05    0.00   29.47    0.00    0.00    0.00    0.00    0.00    0.00   29.47
09:41:46 AM    5   41.84    0.00   29.59    0.00    0.00    0.00    0.00    0.00    0.00   28.57
09:41:46 AM    6   42.11    0.00   32.63    0.00    0.00    0.00    0.00    0.00    0.00   25.26
09:41:46 AM    7   42.71    0.00   32.29    0.00    0.00    0.00    0.00    0.00    0.00   25.00

09:41:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:41:47 AM  all   26.61    0.00   18.09    0.00    0.00    8.91    0.00    0.00    0.00   46.38
09:41:47 AM    0    6.19    0.00    2.06    0.00    0.00   71.13    0.00    0.00    0.00   20.62
09:41:47 AM    1   23.40    0.00   14.89    0.00    0.00    0.00    0.00    0.00    0.00   61.70
09:41:47 AM    2   24.74    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   64.95
09:41:47 AM    3   29.47    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   58.95
09:41:47 AM    4   27.96    0.00   25.81    0.00    0.00    0.00    0.00    0.00    0.00   46.24
09:41:47 AM    5   32.67    0.00   26.73    0.00    0.00    0.00    0.00    0.00    0.00   40.59
09:41:47 AM    6   31.00    0.00   28.00    0.00    0.00    0.00    0.00    0.00    0.00   41.00
09:41:47 AM    7   37.11    0.00   24.74    0.00    0.00    0.00    0.00    0.00    0.00   38.14

09:41:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:41:48 AM  all   27.14    0.00   17.00    0.00    0.00    9.88    0.00    0.00    0.00   45.98
09:41:48 AM    0    4.08    0.00    3.06    0.00    0.00   76.53    0.00    0.00    0.00   16.33
09:41:48 AM    1   20.83    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   67.71
09:41:48 AM    2   31.25    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   57.29
09:41:48 AM    3   29.79    0.00   13.83    0.00    0.00    0.00    0.00    0.00    0.00   56.38
09:41:48 AM    4   34.41    0.00   21.51    0.00    0.00    0.00    0.00    0.00    0.00   44.09
09:41:48 AM    5   32.61    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   42.39
09:41:48 AM    6   31.18    0.00   24.73    0.00    0.00    0.00    0.00    0.00    0.00   44.09
09:41:48 AM    7   34.02    0.00   25.77    0.00    0.00    0.00    0.00    0.00    0.00   40.21

09:41:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:41:49 AM  all   28.26    0.00   19.10    0.00    0.00    9.68    0.00    0.00    0.00   42.97
09:41:49 AM    0    2.02    0.00    4.04    0.00    0.00   75.76    0.00    0.00    0.00   18.18
09:41:49 AM    1   25.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   62.50
09:41:49 AM    2   30.21    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   58.33
09:41:49 AM    3   29.17    0.00   13.54    0.00    0.00    0.00    0.00    0.00    0.00   57.29
09:41:49 AM    4   32.99    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   40.21
09:41:49 AM    5   32.65    0.00   29.59    0.00    0.00    0.00    0.00    0.00    0.00   37.76
09:41:49 AM    6   37.11    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   36.08
09:41:49 AM    7   37.50    0.00   28.12    0.00    0.00    0.00    0.00    0.00    0.00   34.38

09:41:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:41:50 AM  all   28.70    0.00   20.98    0.00    0.00    9.91    0.00    0.00    0.00   40.41
09:41:50 AM    0    1.04    0.00    2.08    0.00    0.00   80.21    0.00    0.00    0.00   16.67
09:41:50 AM    1   21.43    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   64.29
09:41:50 AM    2   25.00    0.00   17.00    0.00    0.00    0.00    0.00    0.00    0.00   58.00
09:41:50 AM    3   37.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   48.00
09:41:50 AM    4   27.37    0.00   34.74    0.00    0.00    0.00    0.00    0.00    0.00   37.89
09:41:50 AM    5   40.00    0.00   26.32    0.00    0.00    0.00    0.00    0.00    0.00   33.68
09:41:50 AM    6   41.05    0.00   31.58    0.00    0.00    0.00    0.00    0.00    0.00   27.37
09:41:50 AM    7   36.73    0.00   27.55    0.00    0.00    0.00    0.00    0.00    0.00   35.71

09:41:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:41:51 AM  all   26.38    0.00   17.37    0.00    0.00    9.52    0.00    0.00    0.00   46.72
