cond,round,conns,win,tcp_conns,throughput,e2e_p50_ms,e2e_p95_ms,net_to_node_ms,net_to_client_ms,node_queue_ms,error_rate
A_1ch_default,1,1,default,1,115.2,268.94,390.19,115.73,115.73,0.020,0.0000
B_1ch_bigwin,1,1,big,1,74.1,475.64,587.71,202.01,202.01,0.022,0.0000
C_4ch_default,1,4,default,4,139.9,163.29,581.99,60.26,60.26,0.023,0.0000
D_4ch_bigwin,1,4,big,4,140.6,162.06,588.26,58.65,58.65,0.021,0.0000
B_1ch_bigwin,2,1,big,1,73.2,479.06,597.91,204.53,204.53,0.022,0.0000
C_4ch_default,2,4,default,4,139.6,166.21,578.61,62.14,62.14,0.023,0.0000
D_4ch_bigwin,2,4,big,4,139.2,172.93,556.74,64.54,64.54,0.021,0.0000
A_1ch_default,2,1,default,1,114.7,270.49,393.80,116.72,116.72,0.020,0.0000
C_4ch_default,3,4,default,4,140.3,153.60,579.89,55.15,55.15,0.023,0.0000
D_4ch_bigwin,3,4,big,4,137.8,173.79,555.17,65.02,65.02,0.021,0.0000
A_1ch_default,3,1,default,1,114.8,270.06,397.07,116.31,116.31,0.020,0.0000
B_1ch_bigwin,3,1,big,1,73.1,484.05,599.58,205.42,205.42,0.023,0.0000
D_4ch_bigwin,4,4,big,4,139.9,173.94,564.24,64.95,64.95,0.021,0.0000
A_1ch_default,4,1,default,1,115.1,271.02,396.04,116.22,116.22,0.020,0.0000
B_1ch_bigwin,4,1,big,1,73.8,484.85,594.98,203.57,203.57,0.024,0.0000
C_4ch_default,4,4,default,4,140.4,168.37,548.32,62.38,62.38,0.024,0.0000
A_1ch_default,5,1,default,1,116.7,265.98,387.03,114.23,114.23,0.020,0.0000
B_1ch_bigwin,5,1,big,1,73.3,476.68,601.03,204.39,204.39,0.023,0.0000
C_4ch_default,5,4,default,4,140.3,164.93,573.95,60.55,60.55,0.023,0.0000
D_4ch_bigwin,5,4,big,4,140.0,180.80,528.83,67.78,67.78,0.021,0.0000
