Linux 6.1.141 (king) 	08/21/2026 	_aarch64_	(8 CPU)

07:24:31 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:24:32 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:32 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:32 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:32 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:32 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:32 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:32 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:32 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:32 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:32 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:33 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:33 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:33 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:33 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:33 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:33 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:33 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:33 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:33 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:33 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:34 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:34 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:34 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:34 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:34 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:34 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:34 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:34 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:34 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:34 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:35 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:35 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:35 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:35 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:35 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:35 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:35 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:35 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:35 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:35 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:36 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:36 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:36 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:36 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:36 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:36 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:36 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:36 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:36 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:36 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:37 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:37 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:37 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:37 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:37 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:37 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:37 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:37 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:37 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:37 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:38 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:38 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:38 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:38 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:38 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:38 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:38 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:38 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:38 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:38 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:39 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:39 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:39 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:39 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:39 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:39 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:39 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:39 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:39 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:39 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:40 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:40 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:40 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:40 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:40 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:40 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:40 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:40 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:40 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:40 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:41 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:41 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:41 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:41 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:41 AM  1000         -    243078    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:41 AM  1000         -    243079    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
07:24:41 AM  1000         -    243080    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
07:24:41 AM  1000         -    243081    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
07:24:41 AM  1000         -    243082    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
07:24:41 AM  1000         -    243083    0.00    0.00    0.00    0.00    0.00     4  |__tokio-rt-worker
07:24:42 AM  1000    243075         -    0.00    0.00    0.00    0.00    0.00     0  npuforge-node.s
07:24:42 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:24:42 AM  1000         -    243076    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
07:24:42 AM  1000         -    243077    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
