Linux 6.1.141 (king) 	08/21/2026 	_aarch64_	(8 CPU)

07:28:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:28:27 AM  all    9.04    0.00    9.04    0.00    0.00    0.00    0.00    0.00    0.00   81.91
07:28:27 AM    0   12.50    0.00   10.23    0.00    0.00    0.00    0.00    0.00    0.00   77.27
07:28:27 AM    1   11.11    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   78.79
07:28:27 AM    2   12.24    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   79.59
07:28:27 AM    3   10.20    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   79.59
07:28:27 AM    4    5.10    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   84.69
07:28:27 AM    5    7.07    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   83.84
07:28:27 AM    6    7.14    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   84.69
07:28:27 AM    7    7.29    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   86.46

07:28:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:28:28 AM  all    8.97    0.00    8.71    0.00    0.00    0.00    0.00    0.00    0.00   82.31
07:28:28 AM    0   10.23    0.00   11.36    0.00    0.00    0.00    0.00    0.00    0.00   78.41
07:28:28 AM    1   11.22    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   79.59
07:28:28 AM    2   11.22    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   79.59
07:28:28 AM    3    9.47    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   82.11
07:28:28 AM    4    8.16    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   83.67
07:28:28 AM    5    7.22    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   84.54
07:28:28 AM    6    8.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
07:28:28 AM    7    6.32    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   87.37

07:28:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:28:29 AM  all    9.00    0.00    7.17    0.00    0.00    0.00    0.00    0.00    0.00   83.83
07:28:29 AM    0   12.64    0.00    6.90    0.00    0.00    0.00    0.00    0.00    0.00   80.46
07:28:29 AM    1   12.50    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   82.29
07:28:29 AM    2   10.53    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   83.16
07:28:29 AM    3   11.22    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   80.61
07:28:29 AM    4    6.12    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   85.71
07:28:29 AM    5    6.12    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   85.71
07:28:29 AM    6    5.15    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   86.60
07:28:29 AM    7    8.16    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   85.71

07:28:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
