Linux 6.1.141 (king) 	08/21/2026 	_aarch64_	(8 CPU)

07:28:26 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:28:27 AM  1000    286310         -   72.00   75.00    0.00    0.00  147.00     5  sustained_load_
07:28:27 AM  1000         -    286310    0.00    0.00    0.00    0.00    0.00     5  |__sustained_load_
07:28:27 AM  1000         -    286312    8.00   10.00    0.00    0.00   18.00     5  |__sustained_load_
07:28:27 AM  1000         -    286313    7.00    9.00    0.00    0.00   16.00     6  |__sustained_load_
07:28:27 AM  1000         -    286314   14.00    8.00    0.00    0.00   22.00     0  |__sustained_load_
07:28:27 AM  1000         -    286315    6.00   11.00    0.00    0.00   17.00     7  |__sustained_load_
07:28:27 AM  1000         -    286316    5.00   11.00    0.00    0.00   16.00     4  |__sustained_load_
07:28:27 AM  1000         -    286317   12.00   10.00    0.00    0.00   22.00     3  |__sustained_load_
07:28:27 AM  1000         -    286318   10.00    8.00    0.00    1.00   18.00     1  |__sustained_load_
07:28:27 AM  1000         -    286319    9.00    8.00    0.00    0.00   17.00     5  |__sustained_load_
07:28:28 AM  1000    286310         -   76.00   71.00    0.00    0.00  147.00     5  sustained_load_
07:28:28 AM  1000         -    286310    0.00    0.00    0.00    0.00    0.00     5  |__sustained_load_
07:28:28 AM  1000         -    286312   11.00    8.00    0.00    0.00   19.00     1  |__sustained_load_
07:28:28 AM  1000         -    286313    9.00    9.00    0.00    0.00   18.00     4  |__sustained_load_
07:28:28 AM  1000         -    286314   11.00   12.00    0.00    0.00   23.00     0  |__sustained_load_
07:28:28 AM  1000         -    286315    7.00    9.00    0.00    0.00   16.00     7  |__sustained_load_
07:28:28 AM  1000         -    286316    8.00    9.00    0.00    0.00   17.00     5  |__sustained_load_
07:28:28 AM  1000         -    286317   12.00    9.00    0.00    0.00   21.00     2  |__sustained_load_
07:28:28 AM  1000         -    286318   11.00    9.00    0.00    0.00   20.00     6  |__sustained_load_
07:28:28 AM  1000         -    286319    7.00    8.00    0.00    0.00   15.00     6  |__sustained_load_
07:28:29 AM  1000    286310         -   78.00   63.00    0.00    0.00  141.00     5  sustained_load_
07:28:29 AM  1000         -    286310    0.00    0.00    0.00    0.00    0.00     5  |__sustained_load_
07:28:29 AM  1000         -    286312   11.00    7.00    0.00    0.00   18.00     3  |__sustained_load_
07:28:29 AM  1000         -    286313    7.00    8.00    0.00    0.00   15.00     7  |__sustained_load_
07:28:29 AM  1000         -    286314    7.00    8.00    0.00    1.00   15.00     7  |__sustained_load_
07:28:29 AM  1000         -    286315   13.00    7.00    0.00    0.00   20.00     0  |__sustained_load_
07:28:29 AM  1000         -    286316    6.00    9.00    0.00    0.00   15.00     4  |__sustained_load_
07:28:29 AM  1000         -    286317    7.00    9.00    0.00    0.00   16.00     5  |__sustained_load_
07:28:29 AM  1000         -    286318   14.00    8.00    0.00    0.00   22.00     4  |__sustained_load_
