Linux 6.1.141 (king) 	08/21/2026 	_aarch64_	(8 CPU)

07:25:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:25:38 AM  all   27.34    0.00   18.88    0.00    0.00    8.85    0.00    0.00    0.00   44.92
07:25:38 AM    0    5.10    0.00    5.10    0.00    0.00   69.39    0.00    0.00    0.00   20.41
07:25:38 AM    1   27.27    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   60.61
07:25:38 AM    2   15.62    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   75.00
07:25:38 AM    3   20.83    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   72.92
07:25:38 AM    4   42.39    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   32.61
07:25:38 AM    5   36.08    0.00   31.96    0.00    0.00    0.00    0.00    0.00    0.00   31.96
07:25:38 AM    6   35.05    0.00   31.96    0.00    0.00    0.00    0.00    0.00    0.00   32.99
07:25:38 AM    7   37.63    0.00   30.11    0.00    0.00    0.00    0.00    0.00    0.00   32.26

07:25:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:25:39 AM  all   26.04    0.00   19.27    0.00    0.00    8.72    0.00    0.00    0.00   45.96
07:25:39 AM    0    4.08    0.00    7.14    0.00    0.00   68.37    0.00    0.00    0.00   20.41
07:25:39 AM    1   25.77    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   61.86
07:25:39 AM    2   20.00    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   71.58
07:25:39 AM    3   16.49    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   77.32
07:25:39 AM    4   36.46    0.00   34.38    0.00    0.00    0.00    0.00    0.00    0.00   29.17
07:25:39 AM    5   32.29    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00   40.62
07:25:39 AM    6   37.63    0.00   26.88    0.00    0.00    0.00    0.00    0.00    0.00   35.48
07:25:39 AM    7   36.46    0.00   32.29    0.00    0.00    0.00    0.00    0.00    0.00   31.25

07:25:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:25:40 AM  all   25.75    0.00   17.12    0.00    0.00    8.89    0.00    0.00    0.00   48.24
07:25:40 AM    0    3.12    0.00    5.21    0.00    0.00   70.83    0.00    0.00    0.00   20.83
07:25:40 AM    1   25.77    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   63.92
07:25:40 AM    2   25.00    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   64.58
07:25:40 AM    3   21.43    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   65.31
07:25:40 AM    4   30.43    0.00   28.26    0.00    0.00    0.00    0.00    0.00    0.00   41.30
07:25:40 AM    5   32.29    0.00   22.92    0.00    0.00    0.00    0.00    0.00    0.00   44.79
07:25:40 AM    6   34.02    0.00   23.71    0.00    0.00    0.00    0.00    0.00    0.00   42.27
07:25:40 AM    7   34.41    0.00   23.66    0.00    0.00    0.00    0.00    0.00    0.00   41.94

07:25:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:25:41 AM  all   23.97    0.00   16.49    0.00    0.00    8.12    0.00    0.00    0.00   51.42
07:25:41 AM    0    9.28    0.00    8.25    0.00    0.00   64.95    0.00    0.00    0.00   17.53
07:25:41 AM    1   24.49    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   59.18
07:25:41 AM    2   27.08    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   60.42
07:25:41 AM    3   26.26    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   57.58
07:25:41 AM    4   24.49    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   52.04
07:25:41 AM    5   26.04    0.00   18.75    0.00    0.00    0.00    0.00    0.00    0.00   55.21
07:25:41 AM    6   26.04    0.00   20.83    0.00    0.00    0.00    0.00    0.00    0.00   53.12
07:25:41 AM    7   28.12    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   56.25

07:25:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:25:42 AM  all   25.71    0.00   16.80    0.13    0.00    8.66    0.00    0.00    0.00   48.71
