Linux 6.1.141 (king) 	08/21/2026 	_aarch64_	(8 CPU)

07:25:37 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:25:38 AM  1000    243075         -  215.84  162.38    0.00    0.00  378.22     0  npuforge-node.s
07:25:38 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:25:38 AM  1000         -    243076   24.75   22.77    0.00    1.98   47.52     0  |__tokio-rt-worker
07:25:38 AM  1000         -    243077   30.69   17.82    0.00    2.97   48.51     5  |__tokio-rt-worker
07:25:38 AM  1000         -    243078   26.73   20.79    0.00    2.97   47.52     3  |__tokio-rt-worker
07:25:38 AM  1000         -    243079   24.75   20.79    0.00    3.96   45.54     4  |__tokio-rt-worker
07:25:38 AM  1000         -    243080   26.73   20.79    0.00    2.97   47.52     7  |__tokio-rt-worker
07:25:38 AM  1000         -    243081   25.74   22.77    0.00    3.96   48.51     6  |__tokio-rt-worker
07:25:38 AM  1000         -    243082   29.70   14.85    0.00    0.99   44.55     4  |__tokio-rt-worker
07:25:38 AM  1000         -    243083   25.74   22.77    0.00    1.98   48.51     5  |__tokio-rt-worker
07:25:39 AM  1000    243075         -  205.00  170.00    0.00    0.00  375.00     0  npuforge-node.s
07:25:39 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:25:39 AM  1000         -    243076   27.00   21.00    0.00    3.00   48.00     4  |__tokio-rt-worker
07:25:39 AM  1000         -    243077   28.00   22.00    0.00    2.00   50.00     4  |__tokio-rt-worker
07:25:39 AM  1000         -    243078   24.00   22.00    0.00    3.00   46.00     2  |__tokio-rt-worker
07:25:39 AM  1000         -    243079   25.00   19.00    0.00    4.00   44.00     5  |__tokio-rt-worker
07:25:39 AM  1000         -    243080   23.00   25.00    0.00    3.00   48.00     6  |__tokio-rt-worker
07:25:39 AM  1000         -    243081   26.00   19.00    0.00    2.00   45.00     3  |__tokio-rt-worker
07:25:39 AM  1000         -    243082   23.00   22.00    0.00    4.00   45.00     2  |__tokio-rt-worker
07:25:39 AM  1000         -    243083   29.00   19.00    0.00    4.00   48.00     2  |__tokio-rt-worker
07:25:40 AM  1000    243075         -  206.00  154.00    0.00    0.00  360.00     0  npuforge-node.s
07:25:40 AM  1000         -    243075    0.00    0.00    0.00    0.00    0.00     0  |__npuforge-node.s
07:25:40 AM  1000         -    243076   29.00   17.00    0.00    2.00   46.00     6  |__tokio-rt-worker
07:25:40 AM  1000         -    243077   27.00   18.00    0.00    2.00   45.00     6  |__tokio-rt-worker
07:25:40 AM  1000         -    243078   24.00   17.00    0.00    2.00   41.00     6  |__tokio-rt-worker
