% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.42   30.065238         619     48565      5164 futex
 30.76   24.717534         358     68924           ioctl
 12.18    9.783673         263     37157           epoll_pwait
 11.83    9.502695          69    136602        92 recvfrom
  7.36    5.913771          85     69245           writev
  0.44    0.353932          64      5524           write
  0.01    0.007512          65       115           read
  0.01    0.004411         147        30           statx
  0.00    0.003514         140        25           openat
  0.00    0.002926         117        25           close
------ ----------- ----------- --------- --------- ----------------
100.00   80.355206         219    366212      5256 total
