epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787288752 49.9 49.0 49.0 50.8 2208 950 5.254
1787288753 53.6 53.6 53.6 55.5 2208 950 5.235
1787288754 57.3 56.4 56.4 58.2 2208 950 5.240
1787288755 58.2 58.2 57.3 60.1 2208 950 5.186
1787288756 59.2 58.2 58.2 60.1 2208 950 5.215
1787288757 59.2 59.2 58.2 61.0 2208 950 5.225
1787288759 60.1 60.1 59.2 61.0 2208 950 5.230
1787288760 60.1 60.1 59.2 61.0 2208 950 5.215
1787288761 61.0 60.1 60.1 61.9 2208 950 5.254
1787288762 61.9 61.0 61.0 62.8 2208 950 5.240
1787288763 61.9 61.0 61.0 61.9 2208 950 5.269
1787288764 61.9 61.9 61.0 62.8 2208 950 5.273
1787288765 62.8 61.9 61.9 63.8 2208 950 5.196
1787288766 63.8 62.8 62.8 64.7 2208 950 5.211
1787288768 62.8 61.9 61.9 64.7 2208 950 5.206
1787288769 62.8 62.8 62.8 64.7 2208 950 5.235
1787288770 63.8 63.8 62.8 64.7 2208 950 5.220
1787288771 63.8 62.8 62.8 64.7 2208 950 5.206
1787288772 64.7 63.8 63.8 65.6 2208 950 5.235
1787288773 64.7 63.8 62.8 64.7 2208 950 5.225
1787288774 64.7 64.7 64.7 66.5 2208 950 5.230
1787288776 65.6 64.7 64.7 66.5 2208 950 5.240
1787288777 65.6 65.6 64.7 67.5 2208 950 5.273
1787288778 64.7 64.7 63.8 66.5 2208 950 5.215
1787288779 66.5 66.5 65.6 67.5 2208 950 5.201
1787288780 65.6 65.6 65.6 67.5 2208 950 5.230
1787288781 66.5 66.5 65.6 68.4 2208 950 5.273
1787288782 66.5 66.5 66.5 67.5 2208 950 5.201
1787288784 67.5 67.5 66.5 68.4 2208 950 5.254
1787288785 67.5 67.5 66.5 68.4 2208 950 5.215
1787288786 66.5 66.5 65.6 67.5 2208 950 5.244
1787288787 68.4 68.4 67.5 70.2 2208 950 5.244
1787288788 68.4 67.5 67.5 68.4 2208 950 5.191
1787288789 68.4 68.4 67.5 70.2 2208 950 5.201
1787288790 68.4 68.4 67.5 69.3 2208 950 5.230
1787288791 69.3 68.4 67.5 70.2 2208 950 5.254
1787288793 68.4 68.4 68.4 70.2 2208 950 5.206
1787288794 68.4 68.4 68.4 70.2 2208 950 5.254
1787288795 69.3 68.4 68.4 70.2 2208 950 5.225
1787288796 70.2 69.3 69.3 70.2 2208 950 5.259
1787288797 69.3 69.3 69.3 71.2 2208 950 5.215
1787288798 70.2 69.3 69.3 70.2 2208 950 5.182
1787288799 70.2 70.2 70.2 72.1 2208 950 5.196
1787288801 70.2 70.2 69.3 71.2 2208 950 5.249
1787288802 71.2 70.2 70.2 72.1 2208 950 5.225
1787288803 70.2 70.2 70.2 72.1 2208 950 5.264
1787288804 71.2 71.2 70.2 72.1 2208 950 5.240
1787288805 71.2 70.2 70.2 72.1 2208 950 5.206
1787288806 71.2 70.2 70.2 72.1 2208 950 5.215
1787288807 72.1 71.2 71.2 72.1 2208 950 5.206
1787288808 72.1 71.2 71.2 73.0 2208 950 5.206
1787288810 72.1 71.2 71.2 73.0 2208 950 5.172
1787288811 72.1 72.1 71.2 73.9 2208 950 5.201
1787288812 72.1 71.2 71.2 72.1 2208 950 5.215
1787288813 70.2 68.4 69.3 70.2 2208 950 5.273
1787288814 69.3 69.3 69.3 72.1 2208 950 5.211
1787288815 72.1 71.2 71.2 73.0 2208 950 5.225
1787288816 72.1 72.1 72.1 73.0 2208 950 5.240
1787288817 72.1 72.1 71.2 73.0 2208 950 5.220
1787288818 72.1 72.1 71.2 73.9 2208 950 5.240
1787288820 73.0 72.1 72.1 73.0 2208 950 5.201
1787288821 73.0 72.1 72.1 73.9 2208 950 5.225
1787288822 73.0 73.0 73.0 74.8 2208 950 5.201
1787288823 73.0 73.0 72.1 73.9 2208 950 5.230
1787288824 73.9 73.9 73.0 74.8 2208 950 5.191
1787288825 73.9 73.0 73.0 74.8 2208 950 5.211
1787288826 73.9 73.9 73.0 74.8 2208 950 5.201
1787288827 73.9 73.9 73.0 74.8 2208 950 5.206
1787288829 73.9 73.0 73.0 73.9 2208 950 5.211
1787288830 74.8 73.9 73.9 75.8 2208 950 5.215
1787288831 73.9 73.9 73.9 75.8 2208 950 5.211
1787288832 74.8 74.8 73.9 75.8 2208 950 5.177
1787288833 74.8 74.8 73.9 76.7 2208 950 5.240
1787288834 74.8 74.8 73.9 75.8 2208 950 5.215
1787288835 74.8 74.8 73.9 75.8 2208 950 5.220
1787288837 74.8 74.8 73.9 75.8 2208 950 5.254
1787288838 74.8 74.8 73.9 76.7 2208 950 5.244
1787288839 75.8 74.8 74.8 76.7 2208 950 5.225
1787288840 74.8 74.8 74.8 76.7 2208 950 5.254
1787288841 75.8 75.8 74.8 77.6 2208 950 5.215
1787288842 75.8 75.8 74.8 77.6 2208 950 5.191
1787288843 76.7 75.8 75.8 77.6 2208 950 5.211
1787288844 75.8 75.8 75.8 77.6 2208 950 5.225
1787288846 76.7 75.8 75.8 77.6 2208 950 5.249
1787288847 75.8 75.8 75.8 77.6 2208 950 5.191
1787288848 76.7 76.7 75.8 77.6 2208 950 5.172
1787288849 77.6 76.7 75.8 78.5 2208 950 5.215
1787288850 76.7 76.7 75.8 77.6 2208 950 5.196
1787288851 77.6 76.7 75.8 78.5 2208 950 5.235
1787288852 77.6 76.7 76.7 78.5 2208 950 5.177
1787288854 76.7 76.7 76.7 78.5 2208 950 5.235
1787288855 77.6 76.7 76.7 78.5 2208 950 5.211
1787288856 76.7 76.7 76.7 77.6 2208 950 5.254
1787288857 77.6 76.7 76.7 79.5 2208 950 5.220
1787288858 77.6 77.6 76.7 78.5 2208 950 5.230
1787288859 77.6 77.6 76.7 79.5 2208 950 5.230
1787288860 77.6 76.7 77.6 79.5 2208 950 5.201
1787288861 78.5 77.6 77.6 79.5 2208 950 5.225
1787288863 78.5 78.5 77.6 79.5 2208 950 5.215
1787288864 79.5 78.5 78.5 80.4 2208 950 5.254
1787288865 78.5 78.5 77.6 80.4 2208 950 5.254
1787288866 78.5 78.5 77.6 80.4 2208 950 5.244
1787288867 78.5 78.5 78.5 80.4 2208 950 5.235
1787288868 79.5 78.5 78.5 80.4 2208 950 5.215
1787288869 79.5 78.5 78.5 80.4 2208 950 5.220
1787288870 79.5 78.5 78.5 80.4 2208 950 5.191
1787288872 79.5 79.5 78.5 81.3 2208 950 5.235
1787288873 79.5 78.5 78.5 80.4 2208 950 5.254
1787288874 80.4 79.5 78.5 80.4 2208 950 5.264
1787288875 76.7 75.8 75.8 78.5 2208 950 5.230
1787288876 78.5 78.5 77.6 80.4 2208 950 5.269
