epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787288751 49.0 48.1 48.1 49.9 2208 950 5.249
1787288752 49.9 50.8 49.9 51.8 2208 950 5.264
1787288754 53.6 53.6 52.7 54.5 2208 950 5.230
1787288755 54.5 54.5 53.6 55.5 2208 950 5.177
1787288756 55.5 56.4 55.5 57.3 2208 950 5.196
1787288757 56.4 57.3 55.5 58.2 2208 950 5.196
1787288758 57.3 57.3 56.4 58.2 2208 950 5.148
1787288759 57.3 58.2 57.3 59.2 2208 950 5.215
1787288760 58.2 58.2 57.3 59.2 2208 950 5.162
1787288762 58.2 58.2 57.3 59.2 2208 950 5.206
1787288763 58.2 59.2 58.2 60.1 2208 950 5.191
1787288764 59.2 59.2 58.2 60.1 2208 950 5.211
1787288765 59.2 60.1 59.2 61.0 2208 950 5.220
1787288766 60.1 60.1 59.2 61.0 2208 950 5.206
1787288767 59.2 60.1 58.2 60.1 2208 950 5.201
1787288768 61.0 61.0 60.1 61.9 2208 950 5.215
1787288769 61.0 61.0 60.1 61.9 2208 950 5.182
1787288771 60.1 61.0 60.1 61.0 2208 950 5.235
1787288772 61.0 61.9 61.0 62.8 2208 950 5.191
1787288773 61.0 61.9 61.0 62.8 2208 950 5.196
1787288774 61.9 62.8 61.9 63.8 2208 950 5.240
1787288775 61.9 62.8 61.0 62.8 2208 950 5.211
1787288776 61.9 62.8 61.9 63.8 2208 950 5.196
1787288777 61.9 62.8 61.9 63.8 2208 950 5.230
1787288779 63.8 63.8 61.9 64.7 2208 950 5.133
1787288780 62.8 62.8 61.9 63.8 2208 950 5.235
1787288781 63.8 63.8 62.8 64.7 2208 950 5.196
1787288782 64.7 65.6 63.8 65.6 2208 950 5.211
1787288783 63.8 63.8 62.8 65.6 2208 950 5.211
1787288784 63.8 64.7 63.8 65.6 2208 950 5.138
1787288785 63.8 64.7 63.8 65.6 2208 950 5.206
1787288786 64.7 65.6 63.8 65.6 2208 950 5.143
1787288788 65.6 65.6 64.7 65.6 2208 950 5.211
1787288789 65.6 65.6 64.7 66.5 2208 950 5.172
1787288790 64.7 65.6 64.7 66.5 2208 950 5.201
1787288791 64.7 64.7 64.7 65.6 2208 950 5.186
1787288792 66.5 65.6 65.6 67.5 2208 950 5.244
1787288793 66.5 66.5 65.6 67.5 2208 950 5.225
1787288794 66.5 66.5 65.6 68.4 2208 950 5.201
1787288795 66.5 65.6 64.7 66.5 2208 950 5.153
1787288797 66.5 67.5 65.6 67.5 2208 950 5.201
1787288798 67.5 67.5 66.5 68.4 2208 950 5.206
1787288799 66.5 67.5 66.5 67.5 2208 950 5.249
1787288800 67.5 68.4 66.5 68.4 2208 950 5.225
1787288801 67.5 68.4 66.5 68.4 2208 950 5.186
1787288802 68.4 69.3 67.5 69.3 2208 950 5.177
1787288803 67.5 68.4 67.5 68.4 2208 950 5.201
1787288804 68.4 68.4 67.5 69.3 2208 950 5.162
1787288806 68.4 68.4 67.5 69.3 2208 950 5.215
1787288807 67.5 68.4 67.5 68.4 2208 950 5.230
1787288808 68.4 69.3 68.4 70.2 2208 950 5.215
1787288809 68.4 69.3 68.4 70.2 2208 950 5.230
1787288810 69.3 69.3 68.4 71.2 2208 950 5.220
1787288811 69.3 69.3 68.4 69.3 2208 950 5.186
1787288812 69.3 69.3 69.3 70.2 2208 950 5.172
1787288814 65.6 65.6 64.7 67.5 2208 950 5.225
1787288815 67.5 68.4 67.5 69.3 2208 950 5.211
1787288816 69.3 69.3 68.4 71.2 2208 950 5.196
1787288817 69.3 69.3 68.4 70.2 2208 950 5.172
1787288818 69.3 69.3 68.4 71.2 2208 950 5.235
1787288819 69.3 69.3 68.4 70.2 2208 950 5.196
