policy,round,throughput,p50_ms,p95_ms,p99_ms,error_rate,king_share,jack_share,queen_share,king_p50,jack_p50,queen_p50,max_soc_c
round-robin,1,355.7,78.54,238.28,308.20,0.0000,33.3,33.3,33.3,144.7,67.0,65.8,
least-queue,1,166.4,202.26,410.00,506.26,0.0000,34.6,32.9,32.5,202.0,208.6,197.2,
ect,1,155.5,225.86,404.96,495.32,0.0000,37.4,35.3,27.3,228.7,218.6,230.3,
least-queue,2,170.5,198.94,379.48,456.42,0.0000,38.0,31.7,30.2,209.2,194.7,192.7,
ect,2,159.8,219.00,394.19,475.29,0.0000,35.5,37.3,27.2,221.3,219.6,215.8,
round-robin,2,385.1,86.93,150.54,192.76,0.0000,33.3,33.3,33.3,88.7,86.7,85.5,
ect,3,160.4,212.10,403.55,486.03,0.0000,35.1,37.8,27.1,215.5,207.4,214.1,
round-robin,3,387.2,87.25,144.82,184.44,0.0000,33.3,33.3,33.3,89.7,83.1,89.2,
least-queue,3,169.1,201.97,391.69,475.38,0.0000,34.4,34.3,31.3,206.3,204.0,192.8,
round-robin,4,386.1,87.63,143.94,188.16,0.0000,33.3,33.3,33.3,86.5,87.8,88.7,
least-queue,4,170.4,198.82,384.96,479.14,0.0000,35.7,33.6,30.7,192.6,203.8,200.1,
ect,4,157.3,220.73,399.11,481.11,0.0000,32.5,35.4,32.0,211.0,222.6,228.6,
least-queue,5,172.7,197.18,383.90,468.11,0.0000,32.6,34.1,33.3,205.0,191.7,194.8,
ect,5,159.6,220.36,387.57,477.17,0.0000,33.4,35.8,30.9,222.6,220.0,217.5,
round-robin,5,385.2,86.97,149.49,195.48,0.0000,33.3,33.3,33.3,89.5,85.3,86.5,
