epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787275025 54.5 53.6 53.6 56.4 2208 950 5.249
1787275026 58.2 58.2 58.2 59.2 2208 950 5.244
1787275027 61.9 61.9 61.0 62.8 2208 950 5.206
1787275028 63.8 63.8 62.8 64.7 2208 950 5.201
1787275029 64.7 64.7 63.8 65.6 2208 950 5.225
1787275030 64.7 64.7 63.8 65.6 2208 950 5.196
1787275031 64.7 64.7 64.7 66.5 2208 950 5.206
1787275033 66.5 65.6 65.6 68.4 2208 950 5.215
1787275034 66.5 66.5 65.6 68.4 2208 950 5.244
1787275035 66.5 66.5 65.6 67.5 2208 950 5.235
1787275036 67.5 67.5 66.5 68.4 2208 950 5.220
1787275037 67.5 67.5 67.5 68.4 2208 950 5.215
1787275038 68.4 67.5 66.5 69.3 2208 950 5.211
1787275039 68.4 68.4 67.5 70.2 2208 950 5.215
1787275041 68.4 68.4 68.4 70.2 2208 950 5.293
1787275042 69.3 69.3 68.4 70.2 2208 950 5.249
1787275043 69.3 69.3 68.4 71.2 2208 950 5.244
1787275044 70.2 70.2 69.3 71.2 2208 950 5.249
1787275045 70.2 69.3 69.3 70.2 2208 950 5.215
1787275046 70.2 70.2 70.2 72.1 2208 950 5.244
1787275047 70.2 70.2 69.3 71.2 2208 950 5.215
1787275049 70.2 70.2 70.2 71.2 2208 950 5.220
1787275050 71.2 71.2 70.2 73.0 2208 950 5.240
1787275051 71.2 71.2 70.2 73.0 2208 950 5.254
1787275052 72.1 71.2 71.2 73.0 2208 950 5.249
1787275053 71.2 71.2 70.2 72.1 2208 950 5.235
1787275054 72.1 72.1 71.2 73.0 2208 950 5.240
1787275055 72.1 72.1 72.1 73.9 2208 950 5.249
1787275057 72.1 72.1 71.2 73.9 2208 950 5.167
1787275058 73.0 72.1 72.1 73.9 2208 950 5.206
1787275059 72.1 72.1 72.1 73.9 2208 950 5.240
1787275060 73.0 73.0 72.1 74.8 2208 950 5.186
1787275061 73.9 73.0 73.0 74.8 2208 950 5.249
1787275062 73.9 73.9 73.0 75.8 2208 950 5.211
1787275063 73.9 73.0 73.0 73.9 2208 950 5.225
1787275064 73.9 73.0 72.1 74.8 2208 950 5.235
1787275066 73.9 73.9 73.0 74.8 2208 950 5.240
1787275067 74.8 73.9 73.9 74.8 2208 950 5.225
1787275068 73.9 73.0 73.0 75.8 2208 950 5.254
1787275069 74.8 74.8 73.9 75.8 2208 950 5.244
1787275070 74.8 73.9 73.9 75.8 2208 950 5.293
1787275071 74.8 74.8 73.9 75.8 2208 950 5.215
1787275072 74.8 74.8 73.9 75.8 2208 950 5.244
1787275073 75.8 74.8 74.8 76.7 2208 950 5.206
1787275075 75.8 75.8 75.8 77.6 2208 950 5.244
1787275076 75.8 75.8 75.8 77.6 2208 950 5.220
1787275077 76.7 75.8 75.8 77.6 2208 950 5.249
1787275078 76.7 75.8 75.8 77.6 2208 950 5.235
1787275079 76.7 75.8 75.8 77.6 2208 950 5.235
1787275080 76.7 76.7 75.8 77.6 2208 950 5.254
1787275081 76.7 76.7 75.8 77.6 2208 950 5.211
1787275082 76.7 76.7 76.7 78.5 2208 950 5.230
1787275084 76.7 76.7 75.8 78.5 2208 950 5.225
1787275085 77.6 76.7 76.7 79.5 2208 950 5.201
1787275086 73.0 72.1 72.1 73.9 2208 950 5.317
1787275087 75.8 74.8 74.8 76.7 2208 950 5.235
1787275088 76.7 74.8 74.8 77.6 2208 950 5.215
1787275089 76.7 76.7 75.8 78.5 2208 950 5.240
1787275090 77.6 76.7 76.7 78.5 2208 950 5.215
1787275091 77.6 77.6 76.7 78.5 2208 950 5.249
1787275093 77.6 77.6 76.7 78.5 2208 950 5.211
1787275094 78.5 78.5 77.6 79.5 2208 950 5.196
1787275095 77.6 76.7 76.7 79.5 2208 950 5.269
1787275096 77.6 77.6 76.7 79.5 2208 950 5.211
1787275097 78.5 77.6 77.6 79.5 2208 950 5.196
1787275098 78.5 78.5 77.6 80.4 2208 950 5.211
1787275099 78.5 78.5 77.6 80.4 2208 950 5.206
1787275101 78.5 77.6 77.6 80.4 2208 950 5.278
1787275102 79.5 78.5 78.5 80.4 2208 950 5.244
1787275103 79.5 78.5 78.5 80.4 2208 950 5.211
1787275104 78.5 78.5 78.5 80.4 2208 950 5.220
1787275105 79.5 78.5 78.5 80.4 2208 950 5.235
1787275106 79.5 79.5 78.5 81.3 2208 950 5.172
1787275107 79.5 78.5 78.5 80.4 2208 950 5.249
1787275108 79.5 79.5 78.5 80.4 2208 950 5.235
1787275110 79.5 79.5 78.5 80.4 2208 950 5.211
1787275111 79.5 78.5 78.5 81.3 2208 950 5.215
1787275112 80.4 79.5 79.5 81.3 2208 950 5.230
1787275113 80.4 80.4 79.5 81.3 2208 950 5.215
1787275114 81.3 80.4 80.4 82.2 2208 950 5.230
1787275115 81.3 80.4 80.4 83.2 2208 950 5.225
1787275116 80.4 80.4 79.5 81.3 2208 950 5.249
1787275117 80.4 80.4 79.5 82.2 2208 950 5.254
1787275119 80.4 80.4 79.5 82.2 2208 950 5.182
1787275120 81.3 80.4 80.4 82.2 2208 950 5.230
1787275121 81.3 81.3 80.4 82.2 2208 950 5.230
1787275122 81.3 81.3 80.4 83.2 2208 950 5.235
1787275123 81.3 81.3 81.3 83.2 2208 950 5.206
1787275124 81.3 81.3 80.4 83.2 2208 950 5.235
1787275125 81.3 80.4 80.4 82.2 2208 950 5.244
1787275127 81.3 81.3 80.4 82.2 2208 950 5.215
1787275128 81.3 81.3 80.4 83.2 2208 950 5.225
1787275129 82.2 81.3 81.3 84.1 2208 950 5.206
1787275130 81.3 81.3 81.3 82.2 2208 950 5.220
1787275131 82.2 81.3 81.3 82.2 2208 950 5.244
1787275132 81.3 81.3 80.4 82.2 2208 950 5.273
1787275133 82.2 82.2 81.3 84.1 2208 950 5.235
1787275135 82.2 81.3 81.3 83.2 2208 950 5.211
1787275136 82.2 82.2 81.3 84.1 2208 950 5.215
1787275137 82.2 82.2 81.3 84.1 2208 950 5.206
1787275138 82.2 81.3 81.3 83.2 2208 950 5.191
1787275139 82.2 81.3 81.3 83.2 2208 950 5.206
1787275140 83.2 82.2 82.2 84.1 2208 950 5.215
1787275141 82.2 82.2 81.3 84.1 2208 950 5.201
1787275142 83.2 82.2 82.2 84.1 2208 950 5.215
1787275144 83.2 82.2 82.2 85.0 2208 950 5.225
1787275145 83.2 82.2 82.2 84.1 2208 950 5.206
1787275146 83.2 83.2 82.2 84.1 2208 950 5.264
1787275147 80.4 78.5 78.5 80.4 2208 950 5.278
1787275148 81.3 81.3 80.4 81.3 2208 950 5.196
1787275149 83.2 83.2 82.2 85.0 2208 950 5.220
1787275150 83.2 83.2 82.2 84.1 2208 950 5.225
1787275151 83.2 82.2 82.2 84.1 2208 950 5.220
1787275153 83.2 82.2 82.2 84.1 2208 950 5.220
1787275154 83.2 82.2 82.2 84.1 2208 950 5.196
1787275155 83.2 83.2 82.2 85.0 2208 950 5.235
1787275156 83.2 83.2 83.2 84.1 2208 950 5.235
1787275157 84.1 83.2 83.2 85.0 2208 950 5.283
1787275158 83.2 83.2 83.2 85.0 2208 950 5.215
1787275159 83.2 83.2 82.2 84.1 2208 950 5.235
1787275160 83.2 83.2 82.2 85.0 2208 950 5.211
1787275161 84.1 83.2 83.2 85.0 2208 950 5.172
1787275163 84.1 83.2 83.2 85.0 2208 950 5.240
1787275164 84.1 83.2 83.2 85.0 2208 950 5.259
1787275165 84.1 83.2 83.2 85.0 2208 950 5.220
1787275166 84.1 84.1 84.1 85.0 2208 950 5.211
1787275167 84.1 84.1 83.2 85.0 2208 950 5.230
1787275168 84.1 83.2 83.2 85.9 2016 950 5.230
1787275169 84.1 83.2 83.2 85.0 2016 950 5.240
1787275170 84.1 84.1 83.2 85.9 2016 950 5.220
1787275172 85.0 84.1 83.2 85.9 2016 950 5.177
1787275173 85.0 84.1 84.1 85.9 2016 950 5.206
1787275174 84.1 84.1 84.1 85.0 2016 950 5.196
1787275175 84.1 83.2 83.2 85.0 2208 950 5.249
1787275176 85.0 84.1 83.2 85.0 2016 950 5.254
1787275177 84.1 84.1 83.2 85.9 2208 950 5.215
1787275178 84.1 83.2 84.1 85.0 2208 950 5.254
1787275180 85.0 84.1 84.1 85.9 2016 950 5.211
1787275181 85.0 85.0 84.1 85.9 2016 950 5.225
1787275182 85.0 84.1 84.1 85.9 2016 950 5.230
1787275183 85.0 85.0 84.1 85.9 2016 950 5.225
1787275184 84.1 84.1 84.1 85.0 2016 950 5.206
1787275185 85.0 84.1 84.1 85.9 2016 950 5.273
1787275186 85.0 84.1 84.1 85.0 2016 950 5.201
1787275188 85.0 85.0 84.1 85.9 2016 950 5.230
1787275189 85.0 84.1 84.1 85.9 2016 950 5.215
1787275190 85.0 85.0 84.1 85.9 2016 950 5.201
1787275191 85.0 85.0 84.1 85.9 2016 950 5.167
1787275192 85.0 85.0 84.1 85.9 2016 950 5.269
1787275193 85.0 85.0 84.1 85.9 2016 950 5.215
1787275194 85.0 85.0 84.1 85.9 2016 950 5.259
1787275195 85.0 85.0 84.1 85.9 2016 950 5.240
1787275197 85.0 85.0 84.1 85.9 2016 950 5.220
1787275198 85.0 85.0 84.1 85.0 2016 950 5.264
1787275199 85.0 84.1 84.1 85.9 2016 950 5.278
1787275200 84.1 84.1 84.1 85.0 2208 950 5.240
1787275201 84.1 84.1 84.1 85.0 2016 950 5.254
1787275202 85.0 85.0 84.1 85.9 2016 950 5.244
1787275203 85.0 85.0 84.1 85.9 2016 950 5.215
1787275205 85.0 84.1 84.1 85.9 1800 950 5.215
1787275206 85.0 84.1 84.1 85.0 2016 950 5.172
