epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787275024 57.3 56.4 55.5 57.3 2208 950 5.235
1787275025 55.5 55.5 54.5 55.5 2208 950 5.254
1787275026 60.1 61.0 59.2 61.0 2208 950 5.240
1787275027 62.8 63.8 61.9 64.7 2208 950 5.249
1787275028 65.6 65.6 64.7 66.5 2208 950 5.201
1787275029 65.6 65.6 63.8 65.6 2208 950 5.249
1787275030 66.5 67.5 65.6 68.4 2208 950 5.148
1787275031 67.5 67.5 66.5 68.4 2208 950 5.215
1787275033 67.5 67.5 66.5 68.4 2208 950 5.235
1787275034 68.4 69.3 67.5 69.3 2208 950 5.206
1787275035 68.4 69.3 68.4 69.3 2208 950 5.225
1787275036 68.4 69.3 67.5 70.2 2208 950 5.206
1787275037 69.3 69.3 68.4 69.3 2208 950 5.148
1787275038 69.3 70.2 69.3 71.2 2208 950 5.215
1787275039 69.3 70.2 68.4 70.2 2208 950 5.269
1787275041 70.2 71.2 69.3 71.2 2208 950 5.215
1787275042 70.2 71.2 69.3 71.2 2208 950 5.215
1787275043 71.2 71.2 70.2 72.1 2208 950 5.244
1787275044 71.2 71.2 70.2 72.1 2208 950 5.215
1787275045 71.2 71.2 70.2 72.1 2208 950 5.182
1787275046 72.1 73.0 71.2 73.0 2208 950 5.201
1787275047 72.1 73.0 71.2 73.0 2208 950 5.244
1787275048 72.1 73.0 71.2 73.0 2208 950 5.143
1787275050 72.1 73.0 72.1 73.9 2208 950 5.244
1787275051 73.0 73.0 72.1 73.9 2208 950 5.244
1787275052 73.0 73.0 72.1 73.0 2208 950 5.182
1787275053 73.0 73.9 72.1 74.8 2208 950 5.240
1787275054 73.0 73.9 72.1 73.9 2208 950 5.172
1787275055 73.0 73.9 72.1 73.9 2208 950 5.215
1787275056 73.0 74.8 73.0 74.8 2208 950 5.191
1787275058 73.9 73.9 73.0 74.8 2208 950 5.191
1787275059 73.9 74.8 73.9 75.8 2208 950 5.215
1787275060 74.8 74.8 73.9 75.8 2208 950 5.196
1787275061 74.8 75.8 74.8 76.7 2208 950 5.182
1787275062 74.8 75.8 74.8 75.8 2208 950 5.186
1787275063 74.8 75.8 74.8 75.8 2208 950 5.215
1787275064 75.8 75.8 74.8 76.7 2208 950 5.220
1787275065 75.8 76.7 74.8 76.7 2208 950 5.186
1787275067 75.8 76.7 74.8 77.6 2208 950 5.196
1787275068 75.8 76.7 74.8 77.6 2208 950 5.235
1787275069 76.7 77.6 75.8 77.6 2208 950 5.259
1787275070 76.7 76.7 75.8 77.6 2208 950 5.191
1787275071 76.7 77.6 75.8 77.6 2208 950 5.211
1787275072 76.7 77.6 75.8 78.5 2208 950 5.191
1787275073 75.8 76.7 75.8 76.7 2208 950 5.235
1787275075 76.7 77.6 76.7 78.5 2208 950 5.235
1787275076 77.6 77.6 76.7 78.5 2208 950 5.162
1787275077 77.6 77.6 76.7 78.5 2208 950 5.191
1787275078 77.6 78.5 76.7 79.5 2208 950 5.172
1787275079 77.6 77.6 76.7 79.5 2208 950 5.249
1787275080 78.5 78.5 76.7 79.5 2208 950 5.201
1787275081 78.5 78.5 77.6 79.5 2208 950 5.215
1787275082 78.5 78.5 77.6 79.5 2208 950 5.196
1787275084 78.5 78.5 77.6 79.5 2208 950 5.186
1787275085 78.5 79.5 78.5 80.4 2208 950 5.230
1787275086 76.7 75.8 74.8 75.8 2208 950 5.288
1787275087 76.7 76.7 75.8 76.7 2208 950 5.172
1787275088 78.5 78.5 77.6 79.5 2208 950 5.172
1787275089 78.5 79.5 78.5 79.5 2208 950 5.254
1787275090 78.5 79.5 78.5 80.4 2208 950 5.182
1787275091 79.5 79.5 78.5 80.4 2208 950 5.225
1787275092 79.5 79.5 78.5 80.4 2208 950 5.162
1787275094 79.5 80.4 79.5 80.4 2208 950 5.167
1787275095 78.5 78.5 78.5 80.4 2208 950 5.215
1787275096 79.5 79.5 78.5 80.4 2208 950 5.201
1787275097 78.5 78.5 77.6 79.5 2208 950 5.172
1787275098 80.4 80.4 79.5 81.3 2208 950 5.167
1787275099 81.3 81.3 80.4 82.2 2208 950 5.196
1787275100 80.4 81.3 79.5 81.3 2208 950 5.211
1787275102 80.4 81.3 79.5 81.3 2208 950 5.162
1787275103 80.4 81.3 79.5 81.3 2208 950 5.206
1787275104 80.4 81.3 79.5 81.3 2208 950 5.220
1787275105 81.3 81.3 80.4 82.2 2208 950 5.240
1787275106 81.3 81.3 80.4 83.2 2208 950 5.196
1787275107 80.4 81.3 79.5 81.3 2208 950 5.206
1787275108 81.3 81.3 79.5 82.2 2208 950 5.220
1787275109 81.3 82.2 80.4 83.2 2208 950 5.186
1787275111 81.3 82.2 81.3 82.2 2208 950 5.196
1787275112 81.3 82.2 81.3 83.2 2208 950 5.225
1787275113 82.2 82.2 81.3 83.2 2208 950 5.215
1787275114 82.2 83.2 81.3 84.1 2208 950 5.196
1787275115 81.3 81.3 80.4 82.2 2208 950 5.191
1787275116 82.2 83.2 81.3 84.1 2208 950 5.196
1787275117 82.2 83.2 81.3 83.2 2208 950 5.220
1787275118 82.2 83.2 81.3 83.2 2208 950 5.201
1787275120 82.2 83.2 81.3 83.2 2208 950 5.162
1787275121 83.2 83.2 81.3 83.2 2208 950 5.196
1787275122 83.2 84.1 82.2 84.1 2208 950 5.196
1787275123 83.2 84.1 82.2 85.0 2208 950 5.230
1787275124 83.2 83.2 82.2 84.1 2208 950 5.191
1787275125 83.2 83.2 82.2 84.1 2208 950 5.215
