policy,round,throughput,p50_ms,p95_ms,p99_ms,error_rate,king_share,jack_share,queen_share,king_p50,jack_p50,queen_p50,max_soc_c,start_soc_c
round-robin,1,369.8,86.14,186.39,254.45,0.0000,33.3,33.3,33.3,109.4,76.8,79.5,79.461,82.23
least-queue,1,383.0,91.76,127.28,146.51,0.0000,32.7,33.6,33.6,93.5,90.4,91.1,79.461,82.23
ect,1,383.8,90.60,130.92,156.65,0.0000,32.6,33.6,33.8,90.5,90.6,90.7,79.461,82.23
least-queue,2,381.7,92.00,126.49,145.75,0.0000,32.5,33.7,33.8,94.3,90.8,90.7,79.461,81.307
ect,2,384.6,90.35,130.96,156.11,0.0000,32.3,33.8,33.8,91.1,90.0,89.9,79.461,82.23
round-robin,2,371.1,84.78,188.97,262.79,0.0000,33.3,33.3,33.3,112.3,78.0,74.4,79.461,82.23
ect,3,385.1,90.42,130.89,155.83,0.0000,32.8,33.1,34.1,89.6,90.9,90.8,79.461,82.23
round-robin,3,379.9,89.03,149.53,186.18,0.0000,33.3,33.3,33.3,99.8,93.3,75.5,78.538,82.23
least-queue,3,378.0,92.91,127.01,147.50,0.0000,33.1,33.1,33.8,93.9,93.9,91.0,79.461,82.23
round-robin,4,375.0,88.26,157.97,224.40,0.0000,33.3,33.3,33.3,91.1,93.6,80.9,78.538,81.307
least-queue,4,381.1,91.98,127.61,147.97,0.0000,33.4,32.9,33.7,91.6,93.0,91.5,78.538,81.307
ect,4,383.2,90.94,130.91,156.89,0.0000,33.4,32.8,33.8,90.5,91.4,90.8,78.538,81.307
