epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787278554 56.4 54.5 55.5 57.3 2208 950 5.293
1787278555 60.1 60.1 60.1 61.9 2208 950 5.244
1787278556 63.8 62.8 62.8 64.7 2208 950 5.191
1787278557 64.7 63.8 62.8 64.7 2208 950 5.240
1787278558 65.6 65.6 64.7 67.5 2208 950 5.273
1787278559 66.5 65.6 65.6 66.5 2208 950 5.249
1787278561 66.5 66.5 65.6 67.5 2208 950 5.182
1787278562 67.5 67.5 66.5 68.4 2208 950 5.220
1787278563 67.5 67.5 66.5 68.4 2208 950 5.259
1787278564 66.5 65.6 65.6 67.5 2208 950 5.235
1787278565 68.4 67.5 67.5 69.3 2208 950 5.269
1787278566 68.4 68.4 67.5 70.2 2208 950 5.240
1787278567 68.4 69.3 67.5 69.3 2208 950 5.235
1787278568 70.2 69.3 68.4 71.2 2208 950 5.244
1787278570 69.3 69.3 69.3 71.2 2208 950 5.215
1787278571 70.2 70.2 69.3 72.1 2208 950 5.220
1787278572 70.2 70.2 69.3 71.2 2208 950 5.269
1787278573 70.2 70.2 69.3 72.1 2208 950 5.235
1787278574 70.2 70.2 69.3 71.2 2208 950 5.186
1787278575 71.2 71.2 70.2 72.1 2208 950 5.249
1787278576 72.1 72.1 71.2 72.1 2208 950 5.254
1787278577 71.2 71.2 71.2 73.0 2208 950 5.215
1787278579 72.1 71.2 71.2 73.0 2208 950 5.230
1787278580 72.1 72.1 71.2 73.0 2208 950 5.182
1787278581 72.1 72.1 71.2 73.9 2208 950 5.269
1787278582 72.1 71.2 71.2 73.0 2208 950 5.235
1787278583 73.0 72.1 72.1 73.9 2208 950 5.167
1787278584 73.0 72.1 71.2 73.0 2208 950 5.254
1787278585 73.0 73.0 72.1 73.9 2208 950 5.206
1787278587 73.9 73.0 73.0 74.8 2208 950 5.220
1787278588 73.9 73.9 73.0 75.8 2208 950 5.211
1787278589 73.9 73.0 73.0 74.8 2208 950 5.206
1787278590 73.9 73.0 73.0 74.8 2208 950 5.215
1787278591 73.9 73.9 73.0 74.8 2208 950 5.244
1787278592 73.9 73.9 73.0 74.8 2208 950 5.206
1787278593 74.8 73.9 73.0 75.8 2208 950 5.225
1787278594 73.9 73.9 73.9 75.8 2208 950 5.206
1787278595 74.8 74.8 73.9 75.8 2208 950 5.225
1787278597 75.8 75.8 74.8 76.7 2208 950 5.211
1787278598 74.8 74.8 73.9 76.7 2208 950 5.249
1787278599 75.8 75.8 74.8 77.6 2208 950 5.235
1787278600 75.8 75.8 74.8 76.7 2208 950 5.186
1787278601 76.7 75.8 75.8 78.5 2208 950 5.264
1787278602 75.8 75.8 74.8 76.7 2208 950 5.220
1787278603 76.7 75.8 75.8 76.7 2208 950 5.244
