epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787278553 57.3 56.4 56.4 58.2 2208 950 5.254
1787278554 56.4 55.5 54.5 55.5 2208 950 5.307
1787278555 61.9 61.9 61.0 63.8 2208 950 5.157
1787278556 63.8 63.8 62.8 63.8 2208 950 5.235
1787278557 64.7 65.6 63.8 65.6 2208 950 5.215
1787278558 65.6 65.6 64.7 66.5 2208 950 5.220
1787278559 66.5 66.5 65.6 67.5 2208 950 5.206
1787278561 66.5 67.5 65.6 67.5 2208 950 5.196
1787278562 67.5 68.4 66.5 69.3 2208 950 5.220
1787278563 68.4 69.3 67.5 69.3 2208 950 5.201
1787278564 67.5 67.5 66.5 67.5 2208 950 5.230
1787278565 68.4 69.3 67.5 69.3 2208 950 5.211
1787278566 69.3 70.2 68.4 70.2 2208 950 5.235
1787278567 69.3 69.3 68.4 69.3 2208 950 5.225
1787278568 70.2 71.2 69.3 71.2 2208 950 5.225
1787278570 69.3 70.2 69.3 71.2 2208 950 5.157
1787278571 70.2 70.2 69.3 71.2 2208 950 5.196
1787278572 71.2 71.2 69.3 72.1 2208 950 5.211
1787278573 70.2 71.2 69.3 70.2 2208 950 5.177
1787278574 71.2 72.1 70.2 73.0 2208 950 5.157
1787278575 72.1 72.1 71.2 73.0 2208 950 5.225
1787278576 71.2 72.1 70.2 73.0 2208 950 5.177
1787278577 72.1 72.1 71.2 73.0 2208 950 5.196
1787278579 71.2 72.1 70.2 73.0 2208 950 5.186
1787278580 72.1 73.0 72.1 73.0 2208 950 5.254
1787278581 73.0 73.9 72.1 73.9 2208 950 5.196
1787278582 73.0 73.0 72.1 73.9 2208 950 5.191
1787278583 73.0 73.9 72.1 73.9 2208 950 5.211
1787278584 73.0 73.9 73.0 74.8 2208 950 5.220
1787278585 73.0 73.9 72.1 73.9 2208 950 5.254
1787278586 73.0 73.9 73.0 73.9 2208 950 5.186
1787278588 73.9 73.9 73.0 74.8 2208 950 5.191
1787278589 73.9 74.8 73.0 74.8 2208 950 5.225
1787278590 73.9 73.9 73.0 74.8 2208 950 5.177
1787278591 73.9 74.8 73.0 74.8 2208 950 5.230
1787278592 73.9 75.8 73.9 74.8 2208 950 5.215
