epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787278553 56.4 55.5 55.5 56.4 2208 950 5.293
1787278554 58.2 59.2 58.2 60.1 2208 950 5.215
1787278556 61.9 62.8 61.9 62.8 2208 950 5.235
1787278557 62.8 63.8 62.8 63.8 2208 950 5.225
1787278558 63.8 64.7 62.8 65.6 2208 950 5.269
1787278559 64.7 65.6 63.8 65.6 2208 950 5.196
1787278560 65.6 66.5 64.7 67.5 2208 950 5.240
1787278561 65.6 65.6 64.7 66.5 2208 950 5.244
1787278562 66.5 66.5 65.6 66.5 2208 950 5.201
1787278563 66.5 67.5 66.5 68.4 2208 950 5.235
1787278565 66.5 67.5 66.5 67.5 2208 950 5.220
1787278566 67.5 68.4 66.5 68.4 2208 950 5.206
1787278567 67.5 68.4 67.5 68.4 2208 950 5.191
1787278568 68.4 68.4 67.5 69.3 2208 950 5.201
1787278569 68.4 68.4 67.5 69.3 2208 950 5.220
1787278570 69.3 69.3 68.4 70.2 2208 950 5.215
1787278571 69.3 69.3 68.4 69.3 2208 950 5.230
1787278573 69.3 69.3 68.4 70.2 2208 950 5.148
1787278574 70.2 71.2 69.3 71.2 2208 950 5.211
1787278575 71.2 71.2 69.3 71.2 2208 950 5.206
1787278576 70.2 71.2 70.2 72.1 2208 950 5.196
1787278577 70.2 71.2 69.3 71.2 2208 950 5.254
1787278578 71.2 71.2 70.2 73.0 2208 950 5.259
1787278579 71.2 71.2 70.2 72.1 2208 950 5.220
1787278580 72.1 72.1 71.2 73.9 2208 950 5.249
1787278582 71.2 71.2 70.2 72.1 2208 950 5.211
1787278583 71.2 72.1 71.2 73.0 2208 950 5.196
1787278584 72.1 72.1 71.2 73.0 2208 950 5.235
1787278585 72.1 73.0 71.2 73.9 2208 950 5.240
1787278586 72.1 73.0 72.1 73.9 2208 950 5.230
1787278587 73.0 73.0 72.1 73.9 2208 950 5.206
1787278588 73.0 73.0 72.1 73.9 2208 950 5.211
1787278589 73.0 73.9 72.1 73.9 2208 950 5.206
1787278590 72.1 73.0 72.1 73.9 2208 950 5.235
1787278592 73.0 73.9 73.0 74.8 2208 950 5.249
1787278593 73.0 73.9 73.0 74.8 2208 950 5.201
1787278594 73.9 74.8 73.0 75.8 2208 950 5.235
1787278595 73.9 74.8 73.9 75.8 2208 950 5.230
1787278596 74.8 74.8 73.9 75.8 2208 950 5.215
1787278597 74.8 74.8 73.9 75.8 2208 950 5.249
1787278598 74.8 74.8 73.9 75.8 2208 950 5.191
1787278600 74.8 75.8 73.9 76.7 2208 950 5.230
1787278601 75.8 75.8 74.8 76.7 2208 950 5.240
1787278602 74.8 75.8 74.8 76.7 2208 950 5.206
1787278603 76.7 76.7 75.8 77.6 2208 950 5.186
1787278604 75.8 76.7 74.8 76.7 2208 950 5.220
1787278605 75.8 75.8 74.8 76.7 2208 950 5.240
1787278606 75.8 76.7 75.8 77.6 2208 950 5.201
