policy,round,throughput,p50_ms,p95_ms,p99_ms,error_rate,king_share,jack_share,queen_share,king_p50,jack_p50,queen_p50,max_soc_c,start_soc_c
round-robin,1,389.7,87.02,143.97,177.66,0.0000,33.3,33.3,33.3,90.1,84.7,86.7,48.076,50.845
least-queue,1,387.9,89.69,129.63,151.46,0.0000,33.4,33.4,33.3,89.8,89.3,90.0,47.153,50.845
ect,1,386.7,88.87,136.87,163.62,0.0000,33.1,33.5,33.4,88.9,88.3,89.5,53.615,51.769
least-queue,2,388.5,89.25,130.29,152.84,0.0000,33.2,33.3,33.5,89.8,89.6,88.5,49.923,51.769
ect,2,389.7,88.30,135.96,160.72,0.0000,33.2,33.4,33.4,87.8,88.7,88.6,49.922,52.692
round-robin,2,388.1,86.21,148.40,187.59,0.0000,33.3,33.3,33.3,86.2,85.4,87.3,49.922,52.692
ect,3,388.3,88.63,136.39,163.23,0.0000,33.1,33.2,33.7,88.4,88.8,88.7,48.999,53.615
round-robin,3,389.9,86.31,145.74,189.70,0.0000,33.3,33.3,33.3,82.7,86.6,90.2,48.999,52.692
least-queue,3,391.0,88.91,128.45,149.67,0.0000,33.4,33.2,33.4,88.6,89.3,88.8,49.922,53.615
round-robin,4,392.0,85.61,146.35,187.42,0.0000,33.3,33.3,33.3,86.3,87.6,83.6,49.922,52.692
least-queue,4,392.2,88.74,128.65,150.00,0.0000,33.4,33.4,33.2,88.8,88.3,89.0,49.922,52.692
ect,4,389.6,88.08,136.16,165.23,0.0000,33.3,33.3,33.4,87.6,88.1,88.6,49.922,52.692
