epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787285520 38.8 37.9 37.9 39.8 2208 950 5.298
1787285521 43.5 41.6 42.5 43.5 2208 950 5.191
1787285523 46.2 46.2 45.3 48.1 2208 950 5.206
1787285524 47.2 47.2 46.2 48.1 2208 950 5.211
1787285525 48.1 47.2 47.2 48.1 2208 950 5.235
1787285526 47.2 47.2 47.2 48.1 2208 950 5.244
1787285527 48.1 48.1 48.1 49.9 2208 950 5.206
1787285528 49.9 49.0 48.1 49.9 2208 950 5.215
1787285529 49.9 49.0 48.1 49.9 2208 950 5.206
1787285530 49.9 49.9 49.0 50.8 2208 950 5.215
1787285532 49.9 49.9 49.9 51.8 2208 950 5.302
1787285533 49.9 49.0 49.0 50.8 2208 950 5.215
1787285534 49.9 49.9 49.9 51.8 2208 950 5.249
1787285535 49.9 49.9 49.9 51.8 2208 950 5.235
1787285536 50.8 50.8 49.9 51.8 2208 950 5.211
1787285537 50.8 50.8 50.8 52.7 2208 950 5.230
1787285538 51.8 50.8 50.8 51.8 2208 950 5.186
1787285539 51.8 50.8 50.8 52.7 2208 950 5.240
1787285541 51.8 50.8 50.8 51.8 2208 950 5.278
1787285542 51.8 50.8 50.8 52.7 2208 950 5.182
1787285543 51.8 50.8 50.8 51.8 2208 950 5.215
1787285544 51.8 50.8 50.8 52.7 2208 950 5.244
1787285545 52.7 51.8 51.8 53.6 2208 950 5.244
1787285546 52.7 51.8 51.8 53.6 2208 950 5.220
1787285547 52.7 51.8 51.8 52.7 2208 950 5.162
1787285548 52.7 51.8 51.8 53.6 2208 950 5.244
1787285549 52.7 51.8 51.8 52.7 2208 950 5.157
1787285551 53.6 52.7 52.7 54.5 2208 950 5.244
1787285552 52.7 52.7 52.7 53.6 2208 950 5.196
1787285553 53.6 52.7 52.7 54.5 2208 950 5.215
1787285554 52.7 52.7 51.8 53.6 2208 950 5.167
1787285555 52.7 52.7 51.8 53.6 2208 950 5.182
1787285556 53.6 52.7 52.7 53.6 2208 950 5.235
1787285557 52.7 51.8 51.8 53.6 2208 950 5.230
1787285559 53.6 52.7 52.7 54.5 2208 950 5.240
1787285560 53.6 52.7 52.7 54.5 2208 950 5.230
1787285561 52.7 52.7 51.8 53.6 2208 950 5.196
1787285562 53.6 52.7 52.7 54.5 2208 950 5.196
1787285563 53.6 53.6 52.7 54.5 2208 950 5.235
1787285564 52.7 52.7 52.7 54.5 2208 950 5.259
1787285565 53.6 52.7 52.7 54.5 2208 950 5.206
1787285566 53.6 53.6 52.7 54.5 2208 950 5.196
1787285567 54.5 53.6 53.6 54.5 2208 950 5.162
1787285569 53.6 52.7 52.7 54.5 2208 950 5.225
1787285570 53.6 53.6 52.7 54.5 2208 950 5.206
1787285571 53.6 53.6 53.6 55.5 2208 950 5.191
1787285572 53.6 53.6 53.6 55.5 2208 950 5.215
1787285573 54.5 53.6 53.6 54.5 2208 950 5.191
1787285574 53.6 53.6 53.6 54.5 2208 950 5.254
1787285575 53.6 53.6 53.6 55.5 2208 950 5.191
1787285577 53.6 52.7 52.7 54.5 2208 950 5.235
1787285578 53.6 52.7 52.7 54.5 2208 950 5.186
1787285579 54.5 53.6 53.6 55.5 2208 950 5.235
1787285580 54.5 53.6 53.6 55.5 2208 950 5.249
1787285581 53.6 52.7 52.7 54.5 2208 950 5.249
1787285582 52.7 52.7 51.8 53.6 2208 950 5.230
1787285583 52.7 52.7 51.8 53.6 2208 950 5.211
1787285584 52.7 52.7 52.7 53.6 2208 950 5.264
1787285585 53.6 52.7 52.7 54.5 2208 950 5.215
1787285587 53.6 52.7 52.7 54.5 2208 950 5.153
1787285588 54.5 53.6 53.6 55.5 2208 950 5.244
1787285589 53.6 53.6 52.7 54.5 2208 950 5.225
1787285590 53.6 53.6 53.6 55.5 2208 950 5.215
1787285591 53.6 52.7 53.6 54.5 2208 950 5.230
1787285592 53.6 53.6 53.6 55.5 2208 950 5.254
1787285593 53.6 52.7 52.7 54.5 2208 950 5.138
1787285594 54.5 54.5 53.6 56.4 2208 950 5.177
1787285596 53.6 53.6 52.7 54.5 2208 950 5.230
1787285597 54.5 54.5 53.6 56.4 2208 950 5.191
1787285598 54.5 53.6 53.6 55.5 2208 950 5.196
1787285599 54.5 53.6 53.6 54.5 2208 950 5.201
1787285600 54.5 53.6 53.6 54.5 2208 950 5.206
1787285601 53.6 54.5 53.6 54.5 2208 950 5.206
1787285602 53.6 53.6 53.6 55.5 2208 950 5.283
1787285603 53.6 53.6 53.6 55.5 2208 950 5.186
