epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787285519 39.8 39.8 38.8 40.7 2208 950 5.322
1787285520 38.8 37.9 37.0 37.9 2208 950 5.278
1787285521 42.5 43.5 42.5 43.5 2208 950 5.186
1787285523 46.2 46.2 44.4 46.2 2208 950 5.220
1787285524 47.2 47.2 46.2 48.1 2208 950 5.230
1787285525 48.1 48.1 46.2 49.0 2208 950 5.220
1787285526 47.2 47.2 46.2 48.1 2208 950 5.259
1787285527 49.0 49.0 48.1 49.9 2208 950 5.225
1787285528 49.0 49.0 48.1 49.9 2208 950 5.196
1787285529 49.0 49.9 48.1 49.9 2208 950 5.235
1787285530 49.9 50.8 49.0 50.8 2208 950 5.211
1787285532 49.9 50.8 49.0 51.8 2208 950 5.211
1787285533 49.9 50.8 49.9 50.8 2208 950 5.215
1787285534 50.8 51.8 49.9 51.8 2208 950 5.225
1787285535 50.8 51.8 50.8 51.8 2208 950 5.220
1787285536 50.8 50.8 49.9 51.8 2208 950 5.201
1787285537 51.8 52.7 50.8 52.7 2208 950 5.215
1787285538 51.8 51.8 49.9 51.8 2208 950 5.230
1787285539 51.8 51.8 50.8 52.7 2208 950 5.249
1787285541 51.8 52.7 51.8 53.6 2208 950 5.201
1787285542 52.7 52.7 51.8 53.6 2208 950 5.206
1787285543 51.8 52.7 51.8 53.6 2208 950 5.211
1787285544 52.7 53.6 51.8 52.7 2208 950 5.211
1787285545 52.7 53.6 52.7 54.5 2208 950 5.206
1787285546 52.7 54.5 52.7 53.6 2208 950 5.167
1787285547 53.6 53.6 52.7 54.5 2208 950 5.215
1787285548 52.7 53.6 52.7 54.5 2208 950 5.206
1787285550 52.7 52.7 51.8 53.6 2208 950 5.186
1787285551 53.6 54.5 53.6 54.5 2208 950 5.225
1787285552 53.6 54.5 53.6 55.5 2208 950 5.211
1787285553 53.6 54.5 53.6 55.5 2208 950 5.167
1787285554 53.6 54.5 53.6 55.5 2208 950 5.220
1787285555 53.6 55.5 53.6 55.5 2208 950 5.182
1787285556 53.6 54.5 52.7 54.5 2208 950 5.215
1787285558 53.6 54.5 52.7 54.5 2208 950 5.206
1787285559 53.6 53.6 52.7 55.5 2208 950 5.254
1787285560 54.5 53.6 52.7 54.5 2208 950 5.206
1787285561 54.5 54.5 53.6 55.5 2208 950 5.273
1787285562 54.5 55.5 53.6 55.5 2208 950 5.177
1787285563 54.5 55.5 53.6 55.5 2208 950 5.230
1787285564 54.5 55.5 53.6 55.5 2208 950 5.244
1787285565 54.5 54.5 53.6 55.5 2208 950 5.211
1787285567 54.5 55.5 53.6 55.5 2208 950 5.177
1787285568 54.5 55.5 54.5 56.4 2208 950 5.196
