epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787285520 39.8 38.8 38.8 39.8 2208 950 5.293
1787285521 42.5 43.5 41.6 43.5 2208 950 5.259
1787285522 45.3 46.2 44.4 46.2 2208 950 5.230
1787285523 46.2 47.2 46.2 48.1 2208 950 5.240
1787285524 46.2 47.2 45.3 47.2 2208 950 5.225
1787285525 47.2 48.1 46.2 48.1 2208 950 5.201
1787285527 48.1 48.1 47.2 49.0 2208 950 5.196
1787285528 48.1 49.0 48.1 49.0 2208 950 5.201
1787285529 49.0 49.9 48.1 49.9 2208 950 5.220
1787285530 49.0 49.9 48.1 49.9 2208 950 5.220
1787285531 49.9 49.9 49.0 50.8 2208 950 5.196
1787285532 49.9 50.8 49.0 51.8 2208 950 5.269
1787285533 49.9 50.8 49.0 50.8 2208 950 5.211
1787285534 50.8 51.8 49.9 51.8 2208 950 5.153
1787285535 50.8 51.8 49.9 51.8 2208 950 5.201
1787285537 50.8 51.8 50.8 51.8 2208 950 5.215
1787285538 51.8 51.8 50.8 51.8 2208 950 5.201
1787285539 50.8 50.8 49.9 51.8 2208 950 5.211
1787285540 50.8 51.8 49.9 51.8 2208 950 5.211
1787285541 51.8 51.8 50.8 51.8 2208 950 5.196
1787285542 51.8 52.7 50.8 52.7 2208 950 5.230
1787285543 51.8 52.7 51.8 52.7 2208 950 5.201
1787285544 51.8 52.7 50.8 52.7 2208 950 5.177
1787285546 52.7 52.7 51.8 53.6 2208 950 5.215
1787285547 52.7 53.6 52.7 54.5 2208 950 5.230
1787285548 52.7 53.6 52.7 54.5 2208 950 5.196
1787285549 52.7 53.6 51.8 54.5 2208 950 5.235
1787285550 52.7 52.7 51.8 53.6 2208 950 5.206
1787285551 53.6 53.6 52.7 54.5 2208 950 5.157
1787285552 53.6 53.6 52.7 54.5 2208 950 5.201
1787285554 53.6 53.6 52.7 54.5 2208 950 5.230
1787285555 53.6 54.5 52.7 54.5 2208 950 5.215
1787285556 53.6 53.6 52.7 54.5 2208 950 5.215
1787285557 53.6 53.6 52.7 54.5 2208 950 5.240
1787285558 53.6 53.6 52.7 54.5 2208 950 5.186
