Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

08:19:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:38 AM  all   17.47    0.00   11.48    0.00    0.00    5.87    0.00    0.00    0.00   65.18
08:19:38 AM    0    9.38    0.00    6.25    0.00    0.00   47.92    0.00    0.00    0.00   36.46
08:19:38 AM    1   22.22    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   65.66
08:19:38 AM    2   21.65    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   63.92
08:19:38 AM    3   27.27    0.00   17.17    0.00    0.00    0.00    0.00    0.00    0.00   55.56
08:19:38 AM    4   14.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   71.00
08:19:38 AM    5   14.29    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   77.55
08:19:38 AM    6   15.79    0.00    9.47    0.00    0.00    0.00    0.00    0.00    0.00   74.74
08:19:38 AM    7   15.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00

08:19:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:39 AM  all   15.47    0.00   10.92    0.00    0.00    5.07    0.00    0.00    0.00   68.53
08:19:39 AM    0    9.78    0.00    9.78    0.00    0.00   42.39    0.00    0.00    0.00   38.04
08:19:39 AM    1   15.46    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   70.10
08:19:39 AM    2   21.43    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   69.39
08:19:39 AM    3   21.65    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   63.92
08:19:39 AM    4   15.62    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   71.88
08:19:39 AM    5   14.29    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   74.49
08:19:39 AM    6   13.83    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   79.79
08:19:39 AM    7   11.34    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   79.38

08:19:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:40 AM  all   17.63    0.00   11.20    0.00    0.00    6.05    0.00    0.00    0.00   65.12
08:19:40 AM    0   14.29    0.00    6.12    0.00    0.00   47.96    0.00    0.00    0.00   31.63
08:19:40 AM    1   24.21    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   63.16
08:19:40 AM    2   20.00    0.00   14.74    0.00    0.00    0.00    0.00    0.00    0.00   65.26
08:19:40 AM    3   22.22    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   67.68
08:19:40 AM    4   14.29    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   72.45
08:19:40 AM    5   18.37    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   71.43
08:19:40 AM    6   16.33    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   72.45
08:19:40 AM    7   11.46    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   77.08

08:19:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:41 AM  all   19.16    0.00   13.41    0.00    0.00    6.00    0.00    0.00    0.00   61.43
08:19:41 AM    0   12.63    0.00    8.42    0.00    0.00   49.47    0.00    0.00    0.00   29.47
08:19:41 AM    1   20.41    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   64.29
08:19:41 AM    2   20.41    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   61.22
08:19:41 AM    3   23.23    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   65.66
08:19:41 AM    4   19.19    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   64.65
08:19:41 AM    5   17.89    0.00   13.68    0.00    0.00    0.00    0.00    0.00    0.00   68.42
08:19:41 AM    6   18.18    0.00   15.15    0.00    0.00    0.00    0.00    0.00    0.00   66.67
08:19:41 AM    7   21.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   70.00

08:19:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:42 AM  all   18.17    0.00   12.81    0.00    0.00    7.06    0.00    0.00    0.00   61.96
08:19:42 AM    0   11.34    0.00    6.19    0.00    0.00   55.67    0.00    0.00    0.00   26.80
