Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

08:18:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:26 AM  all   18.10    0.00   10.40    0.00    0.00    6.29    0.00    0.00    0.00   65.21
08:18:26 AM    0   21.00    0.00   11.00    0.00    0.00   42.00    0.00    0.00    0.00   26.00
08:18:26 AM    1   21.28    0.00    8.51    0.00    0.00    0.00    0.00    0.00    0.00   70.21
08:18:26 AM    2   21.43    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   69.39
08:18:26 AM    3   21.21    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   70.71
08:18:26 AM    4   13.54    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   77.08
08:18:26 AM    5   15.15    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   72.73
08:18:26 AM    6   16.49    0.00   11.34    0.00    0.00    7.22    0.00    0.00    0.00   64.95
08:18:26 AM    7   14.58    0.00   13.54    0.00    0.00    0.00    0.00    0.00    0.00   71.88

08:18:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:27 AM  all   16.31    0.00   10.57    0.00    0.00    5.48    0.00    0.00    0.00   67.64
08:18:27 AM    0   15.46    0.00   11.34    0.00    0.00   36.08    0.00    0.00    0.00   37.11
08:18:27 AM    1   19.80    0.00   11.88    0.00    0.00    0.99    0.00    0.00    0.00   67.33
08:18:27 AM    2   20.62    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   70.10
08:18:27 AM    3   17.53    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   68.04
08:18:27 AM    4   16.16    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   73.74
08:18:27 AM    5   14.29    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   75.51
08:18:27 AM    6   10.42    0.00    8.33    0.00    0.00    7.29    0.00    0.00    0.00   73.96
08:18:27 AM    7   16.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00

08:18:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:28 AM  all   16.75    0.00   10.57    0.00    0.00    5.15    0.00    0.00    0.00   67.53
08:18:28 AM    0   16.67    0.00   10.42    0.00    0.00   34.38    0.00    0.00    0.00   38.54
08:18:28 AM    1   19.79    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   70.83
08:18:28 AM    2   19.79    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   72.92
08:18:28 AM    3   19.19    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   69.70
08:18:28 AM    4   15.31    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   73.47
08:18:28 AM    5   14.29    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   71.43
08:18:28 AM    6   15.46    0.00   11.34    0.00    0.00    7.22    0.00    0.00    0.00   65.98
08:18:28 AM    7   13.54    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   77.08

08:18:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:29 AM  all   17.62    0.00   10.34    0.00    0.00    5.75    0.00    0.00    0.00   66.28
08:18:29 AM    0   19.79    0.00    6.25    0.00    0.00   39.58    0.00    0.00    0.00   34.38
08:18:29 AM    1   24.24    0.00   13.13    0.00    0.00    0.00    0.00    0.00    0.00   62.63
08:18:29 AM    2   23.47    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   65.31
08:18:29 AM    3   18.37    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   71.43
08:18:29 AM    4   15.31    0.00   10.20    0.00    0.00    0.00    0.00    0.00    0.00   74.49
08:18:29 AM    5   13.13    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   76.77
08:18:29 AM    6   12.50    0.00   11.46    0.00    0.00    7.29    0.00    0.00    0.00   68.75
08:18:29 AM    7   14.14    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   75.76

08:18:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:30 AM  all   18.31    0.00   11.65    0.13    0.00    6.66    0.00    0.00    0.00   63.25
08:18:30 AM    0   12.87    0.00   13.86    0.00    0.00   45.54    0.00    0.00    0.00   27.72
08:18:30 AM    1   25.77    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   64.95
08:18:30 AM    2   19.59    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   68.04
08:18:30 AM    3   26.04    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   66.67
08:18:30 AM    4   15.62    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   71.88
08:18:30 AM    5   14.43    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   71.13
08:18:30 AM    6   18.37    0.00   12.24    0.00    0.00    6.12    0.00    0.00    0.00   63.27
08:18:30 AM    7   14.14    0.00   11.11    1.01    0.00    0.00    0.00    0.00    0.00   73.74

08:18:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:31 AM  all   18.63    0.00   13.43    0.00    0.00    6.46    0.00    0.00    0.00   61.47
08:18:31 AM    0   16.49    0.00   13.40    0.00    0.00   42.27    0.00    0.00    0.00   27.84
08:18:31 AM    1   23.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
08:18:31 AM    2   26.73    0.00   16.83    0.00    0.00    0.00    0.00    0.00    0.00   56.44
08:18:31 AM    3   22.92    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   66.67
08:18:31 AM    4   17.17    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   71.72
08:18:31 AM    5   16.16    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   71.72
08:18:31 AM    6   13.00    0.00   13.00    0.00    0.00   10.00    0.00    0.00    0.00   64.00
08:18:31 AM    7   13.40    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   69.07

08:18:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:18:32 AM  all   18.67    0.00   11.64    0.00    0.00    6.65    0.00    0.00    0.00   63.04
08:18:32 AM    0   16.16    0.00    8.08    0.00    0.00   45.45    0.00    0.00    0.00   30.30
08:18:32 AM    1   16.84    0.00   13.68    0.00    0.00    0.00    0.00    0.00    0.00   69.47
08:18:32 AM    2   26.80    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   67.01
08:18:32 AM    3   24.49    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   63.27
