conns,concurrency,rep,throughput,p50_ms,p95_ms,p99_ms,max_ms,net_to_node_ms,node_queue_ms,error_rate
1,8,1,112.4,68.38,100.64,115.67,146.73,17.66,0.020,0.0000
1,12,1,114.0,102.88,148.52,167.15,212.81,33.05,0.020,0.0000
1,16,1,115.6,136.64,190.34,217.67,256.55,49.41,0.020,0.0000
1,20,1,114.8,171.36,236.76,274.72,349.25,66.54,0.020,0.0000
1,24,1,115.9,202.13,286.80,326.23,436.22,82.71,0.020,0.0000
1,24,2,116.7,200.83,285.06,332.20,477.73,81.74,0.020,0.0000
1,20,2,115.0,171.11,239.47,272.00,347.77,66.71,0.020,0.0000
1,16,2,115.5,137.09,190.01,212.69,262.42,49.68,0.020,0.0000
1,12,2,115.3,101.80,146.59,166.44,203.42,32.75,0.020,0.0000
1,8,2,111.1,69.21,103.29,119.97,170.06,18.15,0.020,0.0000
1,8,3,112.7,68.55,99.93,115.42,148.12,17.89,0.021,0.0000
1,12,3,115.2,101.52,147.60,168.11,206.99,32.77,0.020,0.0000
1,16,3,114.1,138.67,194.01,217.33,316.04,50.15,0.020,0.0000
1,20,3,114.8,171.24,241.45,275.51,353.96,66.70,0.020,0.0000
1,24,3,115.2,204.09,288.57,332.00,426.00,83.69,0.020,0.0000
2,8,1,122.1,63.46,91.97,106.36,145.47,13.65,0.024,0.0000
2,12,1,136.4,85.65,119.94,135.61,187.69,22.39,0.023,0.0000
2,16,1,135.9,113.28,181.29,213.34,265.60,35.85,0.023,0.0000
2,20,1,136.1,141.15,240.78,282.87,386.69,49.68,0.023,0.0000
2,24,1,133.1,174.63,306.04,354.93,459.93,66.55,0.022,0.0000
4,8,1,111.9,69.16,104.35,121.39,157.95,15.76,0.022,0.0000
4,12,1,138.6,83.24,119.52,142.56,211.61,20.78,0.024,0.0000
4,16,1,139.5,99.40,207.33,255.19,333.44,28.40,0.023,0.0000
4,20,1,138.6,115.70,302.44,373.36,546.99,36.86,0.023,0.0000
4,24,1,139.0,128.99,406.57,505.71,645.31,42.99,0.023,0.0000
4,24,2,139.9,135.92,377.32,467.83,595.49,46.49,0.023,0.0000
4,20,2,138.6,115.86,309.45,386.50,479.83,37.01,0.023,0.0000
4,16,2,138.5,99.84,209.26,260.47,399.04,28.73,0.023,0.0000
4,12,2,136.3,84.15,124.83,149.96,204.18,21.48,0.023,0.0000
4,8,2,110.2,70.42,106.01,122.89,155.22,16.27,0.022,0.0000
2,24,2,135.2,171.29,305.23,365.66,478.59,64.79,0.023,0.0000
2,20,2,134.4,144.29,252.19,289.55,415.92,51.44,0.023,0.0000
2,16,2,136.4,113.46,177.00,209.04,302.50,36.16,0.023,0.0000
2,12,2,136.1,86.00,120.52,140.07,191.34,23.03,0.024,0.0000
2,8,2,119.0,65.23,95.38,111.27,145.01,14.36,0.023,0.0000
2,8,3,120.2,64.22,94.41,110.07,141.97,14.00,0.023,0.0000
2,12,3,136.7,85.61,118.84,136.63,170.73,22.51,0.024,0.0000
2,16,3,136.2,113.23,177.67,208.59,293.49,36.11,0.023,0.0000
2,20,3,134.8,143.33,243.26,287.20,369.76,51.25,0.023,0.0000
2,24,3,133.8,173.26,311.72,363.14,483.21,65.33,0.023,0.0000
4,8,3,111.0,70.00,104.56,121.14,168.49,15.86,0.022,0.0000
4,12,3,139.3,82.67,119.28,144.61,211.90,20.44,0.024,0.0000
4,16,3,138.3,99.50,213.42,262.82,403.38,28.69,0.023,0.0000
4,20,3,138.2,118.18,306.40,368.82,481.08,37.77,0.023,0.0000
4,24,3,138.3,138.12,392.99,484.29,799.18,47.65,0.023,0.0000
