nodes,concurrency,rep,conns_per_node,conns_total,observed_nodes,throughput,p50_ms,p95_ms,p99_ms,max_ms,error_rate,balance_pp
1,8,1,2,2,1,119.9,64.15,95.23,110.34,128.55,0.0000,0.00
1,12,1,2,2,1,136.1,85.99,121.30,142.72,182.68,0.0000,0.00
1,16,1,2,2,1,136.5,113.73,177.94,206.83,269.22,0.0000,0.00
1,20,1,2,2,1,135.0,142.51,240.38,279.68,375.38,0.0000,0.00
1,20,2,2,2,1,134.1,142.84,246.06,288.53,383.57,0.0000,0.00
1,16,2,2,2,1,136.8,113.85,174.21,207.17,283.33,0.0000,0.00
1,12,2,2,2,1,135.6,86.19,121.18,140.77,202.77,0.0000,0.00
1,8,2,2,2,1,119.9,64.41,94.73,108.66,130.31,0.0000,0.00
1,8,3,2,2,1,121.1,63.67,94.15,108.25,159.08,0.0000,0.00
1,12,3,2,2,1,137.0,85.38,118.79,136.47,204.15,0.0000,0.00
1,16,3,2,2,1,136.0,113.96,174.71,206.91,265.05,0.0000,0.00
1,20,3,2,2,1,135.2,142.14,246.95,287.56,366.94,0.0000,0.00
