nodes,concurrency,rep,conns_per_node,conns_total,observed_nodes,throughput,p50_ms,p95_ms,p99_ms,max_ms,error_rate,balance_pp
1,8,1,2,2,1,120.1,64.08,95.25,110.55,144.11,0.0000,0.00
1,12,1,2,2,1,135.9,86.13,119.49,140.11,200.11,0.0000,0.00
1,16,1,2,2,1,137.2,112.57,177.62,208.54,301.43,0.0000,0.00
1,20,1,2,2,1,134.5,143.52,247.26,289.83,432.69,0.0000,0.00
2,16,1,2,4,2,240.2,63.55,95.04,110.38,176.69,0.0000,0.01
2,24,1,2,4,2,262.3,86.45,142.55,173.75,239.89,0.0000,0.01
2,32,1,2,4,2,261.4,104.62,239.80,310.13,489.59,0.0000,0.01
2,40,1,2,4,2,259.4,110.73,360.24,454.02,611.52,0.0000,0.01
3,24,1,2,6,3,353.5,63.87,98.28,116.58,198.32,0.0000,0.00
3,36,1,2,6,3,389.3,86.31,147.25,193.75,379.39,0.0000,0.00
3,48,1,2,6,3,385.8,96.48,283.18,364.89,581.95,0.0000,0.00
3,60,1,2,6,3,383.1,110.10,398.80,544.16,956.61,0.0000,0.00
2,40,2,2,4,2,262.3,114.43,346.98,434.63,620.79,0.0000,0.00
2,32,2,2,4,2,264.1,104.02,234.70,295.51,386.72,0.0000,0.01
2,24,2,2,4,2,263.6,86.31,140.23,173.17,303.97,0.0000,0.01
2,16,2,2,4,2,240.1,63.62,95.69,114.39,154.22,0.0000,0.01
3,60,2,2,6,3,389.1,110.87,379.75,507.74,735.50,0.0000,0.00
3,48,2,2,6,3,382.7,95.00,296.26,379.64,597.12,0.0000,0.00
3,36,2,2,6,3,385.2,85.84,154.61,211.53,352.74,0.0000,0.00
3,24,2,2,6,3,354.9,63.78,98.22,116.42,159.06,0.0000,0.00
1,20,2,2,2,1,135.7,141.53,242.69,280.38,389.18,0.0000,0.00
1,16,2,2,2,1,137.3,112.34,175.47,207.73,278.23,0.0000,0.00
1,12,2,2,2,1,135.5,86.20,121.10,140.10,196.41,0.0000,0.00
1,8,2,2,2,1,119.7,64.52,94.79,112.31,155.27,0.0000,0.00
3,24,3,2,6,3,354.6,63.77,98.44,115.26,185.14,0.0000,0.00
3,36,3,2,6,3,387.2,86.14,151.43,199.54,310.88,0.0000,0.00
3,48,3,2,6,3,386.6,96.22,286.69,381.96,593.74,0.0000,0.00
3,60,3,2,6,3,385.2,100.25,443.26,569.25,859.48,0.0000,0.00
1,8,3,2,2,1,120.8,64.04,92.80,108.02,134.91,0.0000,0.00
1,12,3,2,2,1,135.1,86.37,121.38,142.70,190.48,0.0000,0.00
1,16,3,2,2,1,137.6,112.51,174.19,204.56,276.19,0.0000,0.00
1,20,3,2,2,1,134.4,144.35,245.10,287.60,375.58,0.0000,0.00
2,16,3,2,4,2,239.4,63.65,95.88,113.36,196.43,0.0000,0.00
2,24,3,2,4,2,263.9,86.06,139.32,171.24,294.45,0.0000,0.00
2,32,3,2,4,2,262.1,104.03,236.49,293.10,435.80,0.0000,0.00
2,40,3,2,4,2,260.1,118.02,341.83,426.27,627.75,0.0000,0.01
