Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

03:21:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:19 PM  all   22.75    0.00   17.35    0.00    0.00    8.87    0.00    0.00    0.00   51.03
03:21:19 PM    0    3.92    0.00    6.86    0.00    0.00   67.65    0.00    0.00    0.00   21.57
03:21:19 PM    1   24.49    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   58.16
03:21:19 PM    2   23.96    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   65.62
03:21:19 PM    3   22.22    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   63.64
03:21:19 PM    4   28.57    0.00   27.55    0.00    0.00    0.00    0.00    0.00    0.00   43.88
03:21:19 PM    5   29.17    0.00   21.88    0.00    0.00    0.00    0.00    0.00    0.00   48.96
03:21:19 PM    6   24.21    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   52.63
03:21:19 PM    7   26.60    0.00   18.09    0.00    0.00    0.00    0.00    0.00    0.00   55.32

03:21:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:20 PM  all   21.77    0.00   15.24    0.00    0.00    9.09    0.00    0.00    0.00   53.91
03:21:20 PM    0    3.96    0.00    3.96    0.00    0.00   70.30    0.00    0.00    0.00   21.78
03:21:20 PM    1   25.51    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   60.20
03:21:20 PM    2   26.04    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   62.50
03:21:20 PM    3   25.77    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   63.92
03:21:20 PM    4   22.45    0.00   26.53    0.00    0.00    0.00    0.00    0.00    0.00   51.02
03:21:20 PM    5   28.28    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   53.54
03:21:20 PM    6   24.49    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   57.14
03:21:20 PM    7   18.09    0.00   19.15    0.00    0.00    0.00    0.00    0.00    0.00   62.77

03:21:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
