Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

03:24:44 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:24:45 PM  1000     63624         -  194.00  141.00    0.00    0.00  335.00     6  npuforge-node.s
03:24:45 PM  1000         -     63624    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:24:45 PM  1000         -     63625   25.00   19.00    0.00    2.00   44.00     4  |__tokio-rt-worker
03:24:45 PM  1000         -     63626   29.00   16.00    0.00    1.00   45.00     4  |__tokio-rt-worker
03:24:45 PM  1000         -     63627   21.00   20.00    0.00    1.00   41.00     6  |__tokio-rt-worker
03:24:45 PM  1000         -     63628   25.00   17.00    0.00    1.00   42.00     7  |__tokio-rt-worker
03:24:45 PM  1000         -     63629   24.00   19.00    0.00    2.00   43.00     7  |__tokio-rt-worker
03:24:45 PM  1000         -     63630   24.00   16.00    0.00    2.00   40.00     4  |__tokio-rt-worker
03:24:45 PM  1000         -     63631   24.00   18.00    0.00    2.00   42.00     1  |__tokio-rt-worker
03:24:45 PM  1000         -     63632   22.00   17.00    0.00    1.00   39.00     7  |__tokio-rt-worker
03:24:46 PM  1000     63624         -  168.00  140.00    0.00    0.00  308.00     6  npuforge-node.s
03:24:46 PM  1000         -     63624    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:24:46 PM  1000         -     63625   21.00   20.00    0.00    1.00   41.00     6  |__tokio-rt-worker
03:24:46 PM  1000         -     63626   25.00   19.00    0.00    1.00   44.00     1  |__tokio-rt-worker
03:24:46 PM  1000         -     63627   20.00   15.00    0.00    1.00   35.00     6  |__tokio-rt-worker
03:24:46 PM  1000         -     63628   20.00   21.00    0.00    1.00   41.00     7  |__tokio-rt-worker
03:24:46 PM  1000         -     63629   20.00   19.00    0.00    1.00   39.00     2  |__tokio-rt-worker
03:24:46 PM  1000         -     63630   20.00   16.00    0.00    1.00   36.00     3  |__tokio-rt-worker
03:24:46 PM  1000         -     63631   18.00   17.00    0.00    1.00   35.00     6  |__tokio-rt-worker
03:24:46 PM  1000         -     63632   23.00   13.00    0.00    1.00   36.00     7  |__tokio-rt-worker
03:24:47 PM  1000     63624         -  172.00  144.00    0.00    0.00  316.00     6  npuforge-node.s
03:24:47 PM  1000         -     63624    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:24:47 PM  1000         -     63625   20.00   14.00    0.00    0.00   34.00     6  |__tokio-rt-worker
03:24:47 PM  1000         -     63626   20.00   22.00    0.00    1.00   42.00     3  |__tokio-rt-worker
03:24:47 PM  1000         -     63627   20.00   17.00    0.00    1.00   37.00     6  |__tokio-rt-worker
03:24:47 PM  1000         -     63628   22.00   19.00    0.00    2.00   41.00     6  |__tokio-rt-worker
03:24:47 PM  1000         -     63629   24.00   15.00    0.00    1.00   39.00     1  |__tokio-rt-worker
03:24:47 PM  1000         -     63630   24.00   21.00    0.00    1.00   45.00     4  |__tokio-rt-worker
03:24:47 PM  1000         -     63631   22.00   21.00    0.00    1.00   43.00     7  |__tokio-rt-worker
03:24:47 PM  1000         -     63632   21.00   16.00    0.00    1.00   37.00     5  |__tokio-rt-worker
03:24:48 PM  1000     63624         -  190.00  155.00    0.00    0.00  345.00     6  npuforge-node.s
03:24:48 PM  1000         -     63624    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:24:48 PM  1000         -     63625   24.00   18.00    0.00    2.00   42.00     0  |__tokio-rt-worker
03:24:48 PM  1000         -     63626   27.00   19.00    0.00    2.00   46.00     4  |__tokio-rt-worker
03:24:48 PM  1000         -     63627   22.00   19.00    0.00    2.00   41.00     6  |__tokio-rt-worker
03:24:48 PM  1000         -     63628   22.00   16.00    0.00    3.00   38.00     1  |__tokio-rt-worker
03:24:48 PM  1000         -     63629   23.00   19.00    0.00    2.00   42.00     4  |__tokio-rt-worker
03:24:48 PM  1000         -     63630   20.00   26.00    0.00    2.00   46.00     7  |__tokio-rt-worker
03:24:48 PM  1000         -     63631   28.00   19.00    0.00    2.00   47.00     3  |__tokio-rt-worker
03:24:48 PM  1000         -     63632   23.00   18.00    0.00    3.00   41.00     4  |__tokio-rt-worker
03:24:49 PM  1000     63624         -  170.00  153.00    0.00    0.00  323.00     6  npuforge-node.s
03:24:49 PM  1000         -     63624    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:24:49 PM  1000         -     63625   20.00   21.00    0.00    1.00   41.00     7  |__tokio-rt-worker
03:24:49 PM  1000         -     63626   23.00   18.00    0.00    0.00   41.00     6  |__tokio-rt-worker
03:24:49 PM  1000         -     63627   22.00   18.00    0.00    1.00   40.00     4  |__tokio-rt-worker
03:24:49 PM  1000         -     63628   25.00   18.00    0.00    1.00   43.00     3  |__tokio-rt-worker
03:24:49 PM  1000         -     63629   19.00   19.00    0.00    2.00   38.00     3  |__tokio-rt-worker
03:24:49 PM  1000         -     63630   21.00   21.00    0.00    1.00   42.00     1  |__tokio-rt-worker
03:24:49 PM  1000         -     63631   17.00   21.00    0.00    1.00   38.00     0  |__tokio-rt-worker
03:24:49 PM  1000         -     63632   21.00   17.00    0.00    1.00   38.00     7  |__tokio-rt-worker
03:24:50 PM  1000     63624         -  166.00  128.00    0.00    0.00  294.00     6  npuforge-node.s
03:24:50 PM  1000         -     63624    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:24:50 PM  1000         -     63625   23.00   15.00    0.00    1.00   38.00     5  |__tokio-rt-worker
03:24:50 PM  1000         -     63626   17.00   21.00    0.00    2.00   38.00     7  |__tokio-rt-worker
03:24:50 PM  1000         -     63627   19.00   13.00    0.00    2.00   32.00     7  |__tokio-rt-worker
03:24:50 PM  1000         -     63628   21.00   14.00    0.00    1.00   35.00     0  |__tokio-rt-worker
03:24:50 PM  1000         -     63629   22.00   14.00    0.00    0.00   36.00     1  |__tokio-rt-worker
03:24:50 PM  1000         -     63630   23.00   18.00    0.00    2.00   41.00     3  |__tokio-rt-worker
03:24:50 PM  1000         -     63631   19.00   20.00    0.00    1.00   39.00     2  |__tokio-rt-worker
03:24:50 PM  1000         -     63632   23.00   14.00    0.00    1.00   37.00     7  |__tokio-rt-worker
03:24:51 PM  1000     63624         -  185.00  155.00    0.00    0.00  340.00     6  npuforge-node.s
03:24:51 PM  1000         -     63624    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:24:51 PM  1000         -     63625   23.00   19.00    0.00    2.00   42.00     2  |__tokio-rt-worker
03:24:51 PM  1000         -     63626   22.00   22.00    0.00    2.00   44.00     1  |__tokio-rt-worker
03:24:51 PM  1000         -     63627   25.00   18.00    0.00    1.00   43.00     5  |__tokio-rt-worker
03:24:51 PM  1000         -     63628   24.00   17.00    0.00    2.00   41.00     4  |__tokio-rt-worker
