epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787240438 41.6 39.8 40.7 42.5 2208 950 5.322
1787240439 40.7 39.8 39.8 40.7 2208 950 5.298
1787240440 40.7 38.8 38.8 40.7 2208 950 5.273
1787240441 40.7 38.8 38.8 39.8 2208 950 5.249
1787240442 39.8 38.8 38.8 40.7 2208 950 5.249
1787240444 39.8 38.8 38.8 39.8 2208 950 5.244
1787240445 46.2 45.3 45.3 46.2 2208 950 5.196
1787240446 48.1 47.2 47.2 49.0 2208 950 5.215
1787240447 49.9 49.0 49.0 50.8 2208 950 5.244
1787240448 50.8 49.9 49.9 50.8 2208 950 5.269
1787240449 50.8 50.8 50.8 51.8 2208 950 5.220
1787240450 51.8 50.8 50.8 52.7 2208 950 5.230
1787240451 51.8 51.8 51.8 52.7 2208 950 5.264
1787240452 52.7 51.8 51.8 53.6 2208 950 5.240
1787240454 52.7 51.8 51.8 53.6 2208 950 5.225
1787240455 53.6 52.7 51.8 54.5 2208 950 5.230
1787240456 52.7 52.7 51.8 53.6 2208 950 5.215
1787240457 53.6 53.6 52.7 55.5 2208 950 5.215
1787240458 54.5 53.6 53.6 55.5 2208 950 5.269
1787240459 54.5 53.6 53.6 54.5 2208 950 5.201
1787240460 54.5 54.5 53.6 55.5 2208 950 5.196
1787240461 54.5 54.5 53.6 55.5 2208 950 5.206
1787240463 53.6 53.6 53.6 55.5 2208 950 5.254
1787240464 54.5 54.5 53.6 55.5 2208 950 5.235
1787240465 55.5 54.5 54.5 56.4 2208 950 5.230
1787240466 55.5 54.5 54.5 56.4 2208 950 5.196
1787240467 55.5 54.5 54.5 56.4 2208 950 5.191
1787240468 55.5 55.5 54.5 57.3 2208 950 5.240
1787240469 56.4 56.4 55.5 57.3 2208 950 5.244
1787240470 56.4 56.4 55.5 57.3 2208 950 5.196
1787240472 56.4 55.5 55.5 57.3 2208 950 5.196
1787240473 56.4 55.5 55.5 57.3 2208 950 5.249
1787240474 56.4 55.5 55.5 57.3 2208 950 5.273
1787240475 57.3 56.4 55.5 58.2 2208 950 5.225
1787240476 57.3 56.4 56.4 59.2 2208 950 5.191
1787240477 56.4 56.4 56.4 57.3 2208 950 5.211
1787240478 57.3 57.3 56.4 58.2 2208 950 5.215
1787240480 57.3 57.3 56.4 58.2 2208 950 5.230
1787240481 57.3 57.3 56.4 58.2 2208 950 5.249
1787240482 57.3 56.4 56.4 58.2 2208 950 5.225
1787240483 57.3 57.3 57.3 59.2 2208 950 5.283
1787240484 56.4 56.4 55.5 57.3 2208 950 5.254
1787240485 56.4 56.4 56.4 57.3 2208 950 5.220
1787240486 58.2 57.3 56.4 59.2 2208 950 5.220
1787240487 57.3 57.3 56.4 59.2 2208 950 5.269
1787240489 57.3 57.3 56.4 59.2 2208 950 5.259
1787240490 58.2 57.3 57.3 60.1 2208 950 5.225
1787240491 58.2 57.3 57.3 59.2 2208 950 5.235
1787240492 58.2 57.3 57.3 59.2 2208 950 5.230
1787240493 58.2 58.2 57.3 59.2 2208 950 5.249
1787240494 58.2 58.2 57.3 59.2 2208 950 5.196
1787240495 58.2 57.3 57.3 59.2 2208 950 5.235
1787240496 58.2 58.2 57.3 60.1 2208 950 5.230
1787240498 58.2 57.3 57.3 58.2 2208 950 5.235
1787240499 58.2 57.3 57.3 59.2 2208 950 5.206
1787240500 58.2 57.3 57.3 59.2 2208 950 5.240
1787240501 58.2 58.2 57.3 59.2 2208 950 5.254
