epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787240437 41.6 40.7 40.7 42.5 2208 950 5.302
1787240438 40.7 39.8 39.8 40.7 2208 950 5.230
1787240439 39.8 39.8 38.8 39.8 2208 950 5.278
1787240441 39.8 38.8 38.8 39.8 2208 950 5.307
1787240442 38.8 38.8 38.8 38.8 2208 950 5.302
1787240443 38.8 38.8 37.9 38.8 2208 950 5.298
1787240444 40.7 40.7 39.8 41.6 2208 950 5.220
1787240445 46.2 46.2 45.3 47.2 2208 950 5.220
1787240446 48.1 49.0 47.2 49.0 2208 950 5.177
1787240447 48.1 49.0 48.1 49.9 2208 950 5.235
1787240448 49.9 50.8 49.0 50.8 2208 950 5.201
1787240449 49.9 50.8 49.9 51.8 2208 950 5.191
1787240450 51.8 51.8 49.9 51.8 2208 950 5.201
1787240452 50.8 51.8 50.8 52.7 2208 950 5.254
1787240453 50.8 51.8 50.8 52.7 2208 950 5.172
1787240454 52.7 53.6 51.8 53.6 2208 950 5.191
1787240455 52.7 53.6 52.7 53.6 2208 950 5.196
1787240456 52.7 52.7 51.8 53.6 2208 950 5.206
1787240457 52.7 52.7 51.8 53.6 2208 950 5.235
1787240458 53.6 53.6 52.7 54.5 2208 950 5.215
1787240460 53.6 54.5 53.6 55.5 2208 950 5.201
1787240461 54.5 54.5 53.6 55.5 2208 950 5.211
1787240462 53.6 53.6 52.7 54.5 2208 950 5.220
1787240463 53.6 54.5 53.6 55.5 2208 950 5.191
1787240464 54.5 55.5 53.6 55.5 2208 950 5.196
1787240465 54.5 55.5 53.6 55.5 2208 950 5.244
1787240466 55.5 55.5 54.5 56.4 2208 950 5.157
1787240467 55.5 56.4 54.5 57.3 2208 950 5.196
1787240469 55.5 56.4 54.5 57.3 2208 950 5.206
1787240470 55.5 56.4 54.5 57.3 2208 950 5.215
1787240471 56.4 57.3 54.5 56.4 2208 950 5.206
1787240472 56.4 56.4 55.5 57.3 2208 950 5.259
1787240473 55.5 56.4 55.5 57.3 2208 950 5.235
1787240474 56.4 56.4 55.5 57.3 2208 950 5.206
1787240475 56.4 56.4 55.5 57.3 2208 950 5.230
1787240476 56.4 56.4 55.5 57.3 2208 950 5.211
1787240478 56.4 56.4 55.5 56.4 2208 950 5.215
1787240479 57.3 58.2 56.4 59.2 2208 950 5.220
1787240480 57.3 58.2 56.4 58.2 2208 950 5.230
1787240481 56.4 57.3 56.4 58.2 2208 950 5.235
1787240482 57.3 58.2 56.4 58.2 2208 950 5.215
1787240483 56.4 57.3 55.5 58.2 2208 950 5.249
1787240484 56.4 57.3 56.4 58.2 2208 950 5.235
1787240486 56.4 57.3 56.4 58.2 2208 950 5.143
1787240487 57.3 58.2 56.4 59.2 2208 950 5.240
1787240488 56.4 56.4 56.4 58.2 2208 950 5.206
1787240489 57.3 57.3 56.4 58.2 2208 950 5.215
1787240490 56.4 57.3 56.4 57.3 2208 950 5.225
1787240491 58.2 58.2 56.4 59.2 2208 950 5.167
1787240492 57.3 58.2 56.4 59.2 2208 950 5.182
1787240493 57.3 57.3 56.4 58.2 2208 950 5.138
1787240495 57.3 58.2 57.3 59.2 2208 950 5.201
1787240496 57.3 58.2 57.3 59.2 2208 950 5.206
1787240497 58.2 58.2 57.3 58.2 2208 950 5.172
1787240498 58.2 59.2 57.3 59.2 2208 950 5.157
1787240499 57.3 58.2 56.4 58.2 2208 950 5.215
1787240500 57.3 58.2 56.4 58.2 2208 950 5.220
1787240501 58.2 59.2 57.3 59.2 2208 950 5.225
1787240503 58.2 58.2 57.3 59.2 2208 950 5.162
1787240504 57.3 58.2 56.4 58.2 2208 950 5.177
1787240505 52.7 51.8 51.8 52.7 2208 950 5.317
1787240506 49.0 49.0 49.0 49.9 2208 950 5.298
1787240507 51.8 52.7 50.8 52.7 2208 950 5.215
1787240508 55.5 56.4 54.5 57.3 2208 950 5.211
1787240509 56.4 57.3 55.5 57.3 2208 950 5.269
1787240510 56.4 57.3 56.4 57.3 2208 950 5.211
1787240511 57.3 58.2 57.3 59.2 2208 950 5.196
1787240513 56.4 57.3 56.4 58.2 2208 950 5.269
1787240514 57.3 58.2 56.4 58.2 2208 950 5.191
1787240515 58.2 58.2 57.3 59.2 2208 950 5.182
1787240516 58.2 58.2 57.3 59.2 2208 950 5.201
1787240517 58.2 59.2 57.3 59.2 2208 950 5.196
1787240518 58.2 58.2 57.3 59.2 2208 950 5.196
1787240519 58.2 58.2 57.3 59.2 2208 950 5.153
1787240520 58.2 58.2 57.3 59.2 2208 950 5.177
1787240522 58.2 59.2 57.3 59.2 2208 950 5.215
1787240523 58.2 58.2 57.3 59.2 2208 950 5.215
1787240524 58.2 59.2 57.3 59.2 2208 950 5.196
1787240525 58.2 59.2 57.3 60.1 2208 950 5.215
1787240526 58.2 59.2 57.3 59.2 2208 950 5.249
1787240527 58.2 58.2 57.3 59.2 2208 950 5.215
1787240528 58.2 59.2 58.2 60.1 2208 950 5.230
1787240529 58.2 59.2 57.3 59.2 2208 950 5.215
1787240531 58.2 59.2 58.2 60.1 2208 950 5.235
1787240532 58.2 58.2 57.3 59.2 2208 950 5.182
1787240533 59.2 59.2 58.2 60.1 2208 950 5.225
1787240534 58.2 58.2 57.3 59.2 2208 950 5.186
1787240535 58.2 58.2 57.3 59.2 2208 950 5.230
1787240536 59.2 60.1 58.2 61.0 2208 950 5.230
1787240537 59.2 59.2 58.2 60.1 2208 950 5.206
1787240539 58.2 58.2 57.3 59.2 2208 950 5.211
1787240540 59.2 60.1 58.2 60.1 2208 950 5.230
1787240541 58.2 59.2 57.3 60.1 2208 950 5.182
1787240542 58.2 59.2 58.2 59.2 2208 950 5.240
1787240543 58.2 59.2 58.2 59.2 2208 950 5.225
1787240544 58.2 59.2 58.2 59.2 2208 950 5.201
1787240545 58.2 59.2 58.2 60.1 2208 950 5.201
1787240546 59.2 59.2 58.2 60.1 2208 950 5.288
1787240548 59.2 60.1 58.2 60.1 2208 950 5.186
1787240549 58.2 59.2 58.2 60.1 2208 950 5.196
1787240550 59.2 60.1 58.2 60.1 2208 950 5.191
1787240551 58.2 59.2 58.2 59.2 2208 950 5.225
1787240552 59.2 60.1 59.2 60.1 2208 950 5.220
1787240553 59.2 60.1 58.2 60.1 2208 950 5.177
1787240554 59.2 59.2 58.2 60.1 2208 950 5.196
1787240556 59.2 60.1 59.2 60.1 2208 950 5.215
1787240557 58.2 59.2 58.2 59.2 2208 950 5.225
1787240558 59.2 59.2 58.2 60.1 2208 950 5.220
1787240559 59.2 59.2 58.2 60.1 2208 950 5.186
1787240560 59.2 59.2 58.2 59.2 2208 950 5.196
1787240561 58.2 59.2 58.2 60.1 2208 950 5.206
1787240562 59.2 60.1 58.2 61.0 2208 950 5.225
1787240563 59.2 60.1 58.2 60.1 2208 950 5.211
1787240565 60.1 60.1 59.2 60.1 2208 950 5.225
1787240566 59.2 59.2 58.2 60.1 2208 950 5.244
1787240567 59.2 60.1 58.2 61.0 2208 950 5.201
1787240568 52.7 52.7 51.8 53.6 2208 950 5.244
1787240569 56.4 56.4 55.5 58.2 2208 950 5.215
1787240570 58.2 58.2 57.3 59.2 2208 950 5.182
1787240571 58.2 59.2 58.2 60.1 2208 950 5.230
1787240572 58.2 59.2 58.2 59.2 2208 950 5.162
1787240574 59.2 59.2 58.2 61.0 2208 950 5.196
1787240575 59.2 59.2 58.2 59.2 2208 950 5.201
1787240576 58.2 59.2 58.2 60.1 2208 950 5.167
1787240577 58.2 59.2 57.3 59.2 2208 950 5.211
1787240578 59.2 60.1 58.2 60.1 2208 950 5.196
1787240579 59.2 59.2 58.2 60.1 2208 950 5.215
1787240580 59.2 59.2 58.2 59.2 2208 950 5.230
1787240581 59.2 59.2 58.2 60.1 2208 950 5.244
1787240583 59.2 58.2 58.2 59.2 2208 950 5.235
1787240584 59.2 60.1 58.2 60.1 2208 950 5.167
1787240585 59.2 59.2 58.2 60.1 2208 950 5.215
1787240586 58.2 59.2 58.2 60.1 2208 950 5.177
1787240587 58.2 59.2 58.2 60.1 2208 950 5.244
1787240588 58.2 58.2 57.3 59.2 2208 950 5.215
1787240589 59.2 60.1 58.2 60.1 2208 950 5.244
1787240590 59.2 60.1 59.2 60.1 2208 950 5.225
1787240592 60.1 60.1 59.2 61.0 2208 950 5.182
1787240593 59.2 59.2 58.2 60.1 2208 950 5.201
1787240594 59.2 60.1 58.2 60.1 2208 950 5.191
1787240595 59.2 60.1 58.2 60.1 2208 950 5.148
1787240596 59.2 60.1 59.2 61.0 2208 950 5.182
1787240597 58.2 59.2 58.2 59.2 2208 950 5.230
1787240598 59.2 60.1 58.2 60.1 2208 950 5.244
1787240600 58.2 59.2 58.2 60.1 2208 950 5.206
1787240601 59.2 59.2 58.2 60.1 2208 950 5.206
1787240602 59.2 60.1 58.2 60.1 2208 950 5.220
1787240603 59.2 60.1 58.2 60.1 2208 950 5.235
1787240604 59.2 60.1 58.2 60.1 2208 950 5.206
1787240605 59.2 60.1 59.2 61.0 2208 950 5.206
1787240606 59.2 60.1 58.2 61.0 2208 950 5.148
1787240607 59.2 60.1 58.2 60.1 2208 950 5.225
1787240609 59.2 60.1 58.2 61.0 2208 950 5.235
1787240610 59.2 59.2 58.2 60.1 2208 950 5.215
1787240611 59.2 60.1 59.2 60.1 2208 950 5.206
1787240612 60.1 61.0 59.2 61.0 2208 950 5.191
1787240613 59.2 60.1 58.2 60.1 2208 950 5.211
1787240614 59.2 60.1 59.2 60.1 2208 950 5.201
1787240615 59.2 60.1 58.2 61.0 2208 950 5.240
1787240617 60.1 60.1 59.2 61.0 2208 950 5.191
1787240618 59.2 60.1 58.2 60.1 2208 950 5.220
1787240619 59.2 60.1 59.2 61.0 2208 950 5.244
1787240620 59.2 60.1 59.2 61.0 2208 950 5.220
1787240621 59.2 60.1 58.2 60.1 2208 950 5.254
1787240622 59.2 60.1 59.2 60.1 2208 950 5.211
1787240623 60.1 60.1 59.2 61.0 2208 950 5.225
1787240624 60.1 60.1 59.2 61.0 2208 950 5.186
1787240626 60.1 60.1 58.2 60.1 2208 950 5.186
1787240627 60.1 61.0 59.2 61.0 2208 950 5.157
1787240628 59.2 60.1 58.2 60.1 2208 950 5.215
1787240629 59.2 60.1 59.2 60.1 2208 950 5.235
1787240630 51.8 51.8 51.8 53.6 2208 950 5.182
1787240631 57.3 57.3 56.4 58.2 2208 950 5.230
1787240632 58.2 58.2 57.3 59.2 2208 950 5.186
1787240633 59.2 60.1 58.2 60.1 2208 950 5.201
1787240635 58.2 59.2 57.3 59.2 2208 950 5.254
1787240636 58.2 59.2 58.2 59.2 2208 950 5.230
1787240637 59.2 60.1 58.2 60.1 2208 950 5.225
1787240638 59.2 60.1 59.2 60.1 2208 950 5.196
1787240639 59.2 60.1 58.2 60.1 2208 950 5.220
1787240640 59.2 60.1 58.2 60.1 2208 950 5.167
1787240641 59.2 59.2 58.2 60.1 2208 950 5.220
1787240642 59.2 59.2 58.2 60.1 2208 950 5.196
1787240643 60.1 60.1 59.2 61.9 2208 950 5.244
1787240645 59.2 59.2 58.2 60.1 2208 950 5.206
1787240646 58.2 59.2 58.2 60.1 2208 950 5.269
1787240647 59.2 60.1 58.2 60.1 2208 950 5.235
1787240648 59.2 60.1 59.2 60.1 2208 950 5.215
1787240649 60.1 60.1 59.2 61.0 2208 950 5.186
1787240650 60.1 60.1 59.2 61.0 2208 950 5.269
1787240651 59.2 60.1 59.2 60.1 2208 950 5.230
1787240652 59.2 59.2 58.2 60.1 2208 950 5.196
