epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787240438 40.7 40.7 40.7 41.6 2208 950 5.254
1787240439 39.8 39.8 38.8 39.8 2208 950 5.249
1787240440 39.8 38.8 38.8 39.8 2208 950 5.288
1787240441 39.8 38.8 37.9 39.8 2208 950 5.293
1787240442 38.8 38.8 37.9 39.8 2208 950 5.278
1787240443 38.8 37.9 37.9 38.8 2208 950 5.322
1787240444 44.4 45.3 43.5 44.4 2208 950 5.244
1787240445 46.2 47.2 46.2 48.1 2208 950 5.177
1787240446 47.2 48.1 47.2 48.1 2208 950 5.235
1787240447 48.1 49.0 48.1 49.9 2208 950 5.293
1787240449 49.0 49.9 48.1 49.9 2208 950 5.264
1787240450 49.9 50.8 49.0 50.8 2208 950 5.215
1787240451 49.9 50.8 49.9 51.8 2208 950 5.220
1787240452 50.8 51.8 49.9 51.8 2208 950 5.220
1787240453 50.8 50.8 49.9 51.8 2208 950 5.240
1787240454 50.8 51.8 50.8 51.8 2208 950 5.317
1787240455 52.7 52.7 51.8 52.7 2208 950 5.235
1787240457 51.8 52.7 51.8 53.6 2208 950 5.269
1787240458 52.7 52.7 51.8 53.6 2208 950 5.206
1787240459 53.6 53.6 51.8 53.6 2208 950 5.235
1787240460 51.8 52.7 51.8 52.7 2208 950 5.264
1787240461 53.6 53.6 52.7 54.5 2208 950 5.293
1787240462 52.7 53.6 51.8 53.6 2208 950 5.273
1787240463 53.6 54.5 52.7 54.5 2208 950 5.230
1787240464 53.6 54.5 52.7 54.5 2208 950 5.235
1787240466 53.6 54.5 52.7 55.5 2208 950 5.225
1787240467 54.5 54.5 53.6 55.5 2208 950 5.240
1787240468 54.5 54.5 53.6 55.5 2208 950 5.269
1787240469 54.5 54.5 53.6 55.5 2208 950 5.230
1787240470 54.5 54.5 53.6 55.5 2208 950 5.215
1787240471 54.5 54.5 53.6 55.5 2208 950 5.235
1787240472 54.5 55.5 53.6 55.5 2208 950 5.235
1787240473 55.5 55.5 54.5 56.4 2208 950 5.240
1787240475 54.5 54.5 53.6 55.5 2208 950 5.254
1787240476 54.5 55.5 54.5 55.5 2208 950 5.269
1787240477 55.5 56.4 54.5 56.4 2208 950 5.259
1787240478 55.5 55.5 54.5 56.4 2208 950 5.240
1787240479 55.5 55.5 54.5 56.4 2208 950 5.211
1787240480 55.5 56.4 54.5 57.3 2208 950 5.254
1787240481 55.5 55.5 54.5 56.4 2208 950 5.264
1787240483 55.5 54.5 54.5 55.5 2208 950 5.220
1787240484 55.5 55.5 54.5 56.4 2208 950 5.206
1787240485 55.5 55.5 54.5 56.4 2208 950 5.196
1787240486 55.5 56.4 55.5 57.3 2208 950 5.220
1787240487 55.5 55.5 54.5 56.4 2208 950 5.235
1787240488 54.5 55.5 54.5 56.4 2208 950 5.220
1787240489 55.5 56.4 54.5 56.4 2208 950 5.211
1787240490 55.5 55.5 54.5 56.4 2208 950 5.215
1787240491 56.4 56.4 55.5 57.3 2208 950 5.240
1787240493 55.5 56.4 55.5 57.3 2208 950 5.283
1787240494 56.4 56.4 55.5 56.4 2208 950 5.249
1787240495 56.4 56.4 55.5 57.3 2208 950 5.230
1787240496 56.4 56.4 55.5 57.3 2208 950 5.186
1787240497 56.4 56.4 55.5 57.3 2208 950 5.225
1787240498 56.4 57.3 55.5 57.3 2208 950 5.249
1787240499 55.5 56.4 55.5 57.3 2208 950 5.244
1787240500 55.5 56.4 55.5 56.4 2208 950 5.244
1787240502 56.4 57.3 55.5 58.2 2208 950 5.249
1787240503 55.5 56.4 55.5 57.3 2208 950 5.293
1787240504 56.4 56.4 55.5 57.3 2208 950 5.235
1787240505 50.8 49.9 49.9 50.8 2208 950 5.322
1787240506 49.0 48.1 48.1 49.0 2208 950 5.269
1787240507 51.8 51.8 50.8 52.7 2208 950 5.235
1787240508 53.6 54.5 52.7 54.5 2208 950 5.206
1787240509 54.5 54.5 53.6 55.5 2208 950 5.235
1787240510 55.5 55.5 54.5 56.4 2208 950 5.283
1787240512 56.4 56.4 55.5 57.3 2208 950 5.211
1787240513 55.5 56.4 54.5 56.4 2208 950 5.269
1787240514 56.4 56.4 55.5 57.3 2208 950 5.235
1787240515 56.4 56.4 55.5 57.3 2208 950 5.273
1787240516 55.5 56.4 55.5 57.3 2208 950 5.235
1787240517 55.5 56.4 55.5 57.3 2208 950 5.230
1787240518 55.5 55.5 55.5 56.4 2208 950 5.278
1787240519 56.4 57.3 55.5 57.3 2208 950 5.225
1787240521 57.3 57.3 55.5 57.3 2208 950 5.220
1787240522 56.4 57.3 56.4 58.2 2208 950 5.206
1787240523 55.5 57.3 55.5 57.3 2208 950 5.225
1787240524 56.4 57.3 55.5 57.3 2208 950 5.240
1787240525 56.4 57.3 55.5 57.3 2208 950 5.244
1787240526 56.4 57.3 55.5 57.3 2208 950 5.244
1787240527 56.4 57.3 55.5 57.3 2208 950 5.191
1787240529 56.4 57.3 56.4 58.2 2208 950 5.196
1787240530 56.4 57.3 55.5 57.3 2208 950 5.278
1787240531 56.4 57.3 55.5 58.2 2208 950 5.273
1787240532 57.3 57.3 56.4 59.2 2208 950 5.220
1787240533 57.3 57.3 56.4 59.2 2208 950 5.269
1787240534 57.3 57.3 55.5 58.2 2208 950 5.230
1787240535 56.4 57.3 56.4 57.3 2208 950 5.240
1787240536 57.3 58.2 56.4 58.2 2208 950 5.182
1787240538 57.3 57.3 56.4 58.2 2208 950 5.244
1787240539 57.3 58.2 56.4 58.2 2208 950 5.215
1787240540 57.3 57.3 56.4 58.2 2208 950 5.302
1787240541 57.3 57.3 56.4 58.2 2208 950 5.191
1787240542 56.4 57.3 56.4 57.3 2208 950 5.230
1787240543 56.4 57.3 56.4 58.2 2208 950 5.273
1787240544 57.3 57.3 56.4 58.2 2208 950 5.249
1787240545 57.3 58.2 56.4 58.2 2208 950 5.211
1787240547 57.3 58.2 57.3 58.2 2208 950 5.211
1787240548 56.4 57.3 55.5 58.2 2208 950 5.244
1787240549 58.2 58.2 57.3 59.2 2208 950 5.211
1787240550 57.3 57.3 56.4 58.2 2208 950 5.254
1787240551 57.3 58.2 57.3 59.2 2208 950 5.230
1787240552 57.3 58.2 57.3 59.2 2208 950 5.249
1787240553 58.2 58.2 57.3 59.2 2208 950 5.211
1787240555 58.2 58.2 57.3 58.2 2208 950 5.201
1787240556 57.3 58.2 57.3 59.2 2208 950 5.220
1787240557 57.3 58.2 56.4 58.2 2208 950 5.230
1787240558 57.3 58.2 57.3 59.2 2208 950 5.273
1787240559 57.3 58.2 57.3 59.2 2208 950 5.254
1787240560 57.3 57.3 56.4 58.2 2208 950 5.211
1787240561 57.3 57.3 56.4 58.2 2208 950 5.269
1787240562 57.3 58.2 57.3 59.2 2208 950 5.191
1787240564 57.3 58.2 57.3 59.2 2208 950 5.196
1787240565 57.3 58.2 57.3 59.2 2208 950 5.206
1787240566 57.3 58.2 56.4 59.2 2208 950 5.244
1787240567 57.3 57.3 56.4 59.2 2208 950 5.298
1787240568 50.8 50.8 49.9 50.8 2208 950 5.293
1787240569 55.5 55.5 54.5 55.5 2208 950 5.196
1787240570 56.4 56.4 55.5 56.4 2208 950 5.240
1787240571 57.3 57.3 56.4 58.2 2208 950 5.230
1787240573 57.3 57.3 56.4 58.2 2208 950 5.240
1787240574 57.3 57.3 56.4 58.2 2208 950 5.211
1787240575 56.4 57.3 56.4 58.2 2208 950 5.211
1787240576 56.4 57.3 55.5 57.3 2208 950 5.230
1787240577 57.3 57.3 56.4 58.2 2208 950 5.225
1787240578 57.3 57.3 56.4 59.2 2208 950 5.196
1787240579 57.3 58.2 56.4 58.2 2208 950 5.230
1787240580 57.3 57.3 55.5 58.2 2208 950 5.206
1787240582 57.3 58.2 56.4 58.2 2208 950 5.254
1787240583 57.3 57.3 56.4 58.2 2208 950 5.235
1787240584 56.4 57.3 56.4 57.3 2208 950 5.182
1787240585 57.3 58.2 56.4 58.2 2208 950 5.215
1787240586 57.3 58.2 56.4 58.2 2208 950 5.211
1787240587 57.3 57.3 56.4 58.2 2208 950 5.206
1787240588 57.3 57.3 56.4 58.2 2208 950 5.254
1787240589 57.3 58.2 56.4 58.2 2208 950 5.211
1787240591 57.3 58.2 56.4 59.2 2208 950 5.264
1787240592 56.4 57.3 55.5 58.2 2208 950 5.240
1787240593 57.3 57.3 56.4 58.2 2208 950 5.269
1787240594 57.3 57.3 56.4 59.2 2208 950 5.220
1787240595 57.3 58.2 56.4 58.2 2208 950 5.273
1787240596 57.3 58.2 57.3 59.2 2208 950 5.201
1787240597 57.3 58.2 56.4 58.2 2208 950 5.249
1787240598 57.3 58.2 57.3 59.2 2208 950 5.235
1787240600 57.3 58.2 56.4 59.2 2208 950 5.244
1787240601 57.3 58.2 57.3 58.2 2208 950 5.215
1787240602 57.3 58.2 56.4 58.2 2208 950 5.244
1787240603 56.4 57.3 56.4 59.2 2208 950 5.196
1787240604 57.3 58.2 57.3 58.2 2208 950 5.191
1787240605 57.3 58.2 56.4 58.2 2208 950 5.211
1787240606 57.3 58.2 57.3 59.2 2208 950 5.201
1787240607 58.2 58.2 57.3 59.2 2208 950 5.186
1787240609 57.3 58.2 56.4 58.2 2208 950 5.225
1787240610 57.3 58.2 57.3 59.2 2208 950 5.206
1787240611 58.2 58.2 57.3 59.2 2208 950 5.244
1787240612 58.2 58.2 57.3 58.2 2208 950 5.244
1787240613 57.3 58.2 57.3 59.2 2208 950 5.254
1787240614 57.3 58.2 57.3 59.2 2208 950 5.240
1787240615 57.3 58.2 57.3 59.2 2208 950 5.249
1787240616 58.2 59.2 57.3 59.2 2208 950 5.235
1787240618 58.2 58.2 57.3 59.2 2208 950 5.220
1787240619 57.3 58.2 56.4 58.2 2208 950 5.254
1787240620 57.3 58.2 56.4 59.2 2208 950 5.206
1787240621 57.3 57.3 56.4 59.2 2208 950 5.235
1787240622 57.3 57.3 56.4 58.2 2208 950 5.235
1787240623 58.2 58.2 57.3 59.2 2208 950 5.249
1787240624 58.2 59.2 57.3 59.2 2208 950 5.278
1787240625 58.2 58.2 57.3 59.2 2208 950 5.298
1787240627 58.2 58.2 57.3 59.2 2208 950 5.186
1787240628 57.3 57.3 56.4 58.2 2208 950 5.196
1787240629 58.2 58.2 57.3 59.2 2208 950 5.264
1787240630 50.8 50.8 49.9 52.7 2208 950 5.230
1787240631 56.4 56.4 55.5 57.3 2208 950 5.215
1787240632 56.4 57.3 55.5 56.4 2208 950 5.240
1787240633 57.3 58.2 56.4 57.3 2208 950 5.220
1787240634 56.4 57.3 55.5 57.3 2208 950 5.240
1787240636 57.3 57.3 56.4 58.2 2208 950 5.235
1787240637 57.3 57.3 56.4 58.2 2208 950 5.235
1787240638 57.3 57.3 56.4 57.3 2208 950 5.215
1787240639 57.3 57.3 56.4 58.2 2208 950 5.201
1787240640 57.3 57.3 56.4 58.2 2208 950 5.240
1787240641 57.3 57.3 56.4 58.2 2208 950 5.264
1787240642 57.3 58.2 56.4 59.2 2208 950 5.235
1787240643 58.2 58.2 57.3 59.2 2208 950 5.254
1787240645 57.3 57.3 56.4 58.2 2208 950 5.186
1787240646 57.3 58.2 56.4 58.2 2208 950 5.201
1787240647 56.4 56.4 55.5 58.2 2208 950 5.211
1787240648 57.3 58.2 57.3 59.2 2208 950 5.235
1787240649 58.2 58.2 57.3 58.2 2208 950 5.235
1787240650 58.2 58.2 57.3 59.2 2208 950 5.230
1787240651 56.4 57.3 56.4 57.3 2208 950 5.211
1787240653 57.3 57.3 57.3 59.2 2208 950 5.235
1787240654 57.3 58.2 56.4 59.2 2208 950 5.269
1787240655 57.3 57.3 56.4 58.2 2208 950 5.211
1787240656 58.2 58.2 57.3 58.2 2208 950 5.235
1787240657 57.3 57.3 56.4 58.2 2208 950 5.225
1787240658 57.3 58.2 57.3 59.2 2208 950 5.264
1787240659 57.3 57.3 56.4 58.2 2208 950 5.230
1787240660 58.2 58.2 57.3 58.2 2208 950 5.211
1787240662 57.3 57.3 56.4 59.2 2208 950 5.235
1787240663 57.3 58.2 56.4 58.2 2208 950 5.259
1787240664 57.3 57.3 56.4 57.3 2208 950 5.215
1787240665 58.2 58.2 57.3 59.2 2208 950 5.244
1787240666 57.3 58.2 57.3 59.2 2208 950 5.259
1787240667 58.2 58.2 57.3 59.2 2208 950 5.196
1787240668 58.2 58.2 57.3 59.2 2208 950 5.235
1787240669 57.3 58.2 57.3 59.2 2208 950 5.259
1787240671 58.2 58.2 57.3 59.2 2208 950 5.249
1787240672 58.2 58.2 57.3 59.2 2208 950 5.249
1787240673 57.3 58.2 57.3 58.2 2208 950 5.230
1787240674 58.2 58.2 57.3 59.2 2208 950 5.225
1787240675 57.3 57.3 57.3 58.2 2208 950 5.230
1787240676 57.3 58.2 56.4 58.2 2208 950 5.273
1787240677 58.2 58.2 57.3 59.2 2208 950 5.225
1787240678 57.3 57.3 57.3 58.2 2208 950 5.249
1787240680 57.3 58.2 56.4 58.2 2208 950 5.244
1787240681 57.3 58.2 56.4 58.2 2208 950 5.211
1787240682 57.3 58.2 56.4 58.2 2208 950 5.273
1787240683 57.3 57.3 56.4 58.2 2208 950 5.264
1787240684 58.2 58.2 57.3 59.2 2208 950 5.220
1787240685 58.2 59.2 57.3 59.2 2208 950 5.206
1787240686 57.3 57.3 56.4 58.2 2208 950 5.249
1787240687 58.2 58.2 56.4 58.2 2208 950 5.215
1787240689 58.2 58.2 57.3 59.2 2208 950 5.235
1787240690 58.2 58.2 57.3 59.2 2208 950 5.230
1787240691 53.6 53.6 52.7 53.6 2208 950 5.312
1787240692 52.7 52.7 51.8 53.6 2208 950 5.215
1787240693 55.5 55.5 54.5 57.3 2208 950 5.225
1787240694 56.4 57.3 56.4 57.3 2208 950 5.235
1787240695 56.4 57.3 55.5 58.2 2208 950 5.249
1787240696 56.4 57.3 56.4 58.2 2208 950 5.235
1787240697 56.4 57.3 56.4 58.2 2208 950 5.215
1787240699 57.3 57.3 56.4 58.2 2208 950 5.230
1787240700 57.3 58.2 57.3 58.2 2208 950 5.211
1787240701 57.3 58.2 56.4 58.2 2208 950 5.269
1787240702 57.3 58.2 57.3 59.2 2208 950 5.220
1787240703 56.4 57.3 56.4 57.3 2208 950 5.201
1787240704 58.2 58.2 57.3 58.2 2208 950 5.215
1787240705 58.2 58.2 57.3 59.2 2208 950 5.235
1787240706 57.3 57.3 56.4 58.2 2208 950 5.191
1787240708 57.3 58.2 57.3 59.2 2208 950 5.235
1787240709 57.3 58.2 57.3 58.2 2208 950 5.249
1787240710 58.2 58.2 57.3 59.2 2208 950 5.249
1787240711 58.2 58.2 57.3 59.2 2208 950 5.225
1787240712 58.2 58.2 57.3 59.2 2208 950 5.225
1787240713 58.2 58.2 57.3 59.2 2208 950 5.215
1787240714 58.2 59.2 57.3 59.2 2208 950 5.240
1787240715 57.3 58.2 56.4 58.2 2208 950 5.235
1787240717 57.3 58.2 57.3 59.2 2208 950 5.230
1787240718 57.3 57.3 56.4 59.2 2208 950 5.230
1787240719 57.3 57.3 56.4 57.3 2208 950 5.196
1787240720 57.3 58.2 56.4 59.2 2208 950 5.230
1787240721 57.3 57.3 56.4 58.2 2208 950 5.196
1787240722 58.2 58.2 57.3 59.2 2208 950 5.215
1787240723 58.2 59.2 57.3 59.2 2208 950 5.215
1787240724 58.2 58.2 57.3 59.2 2208 950 5.235
1787240726 57.3 58.2 56.4 58.2 2208 950 5.273
1787240727 57.3 58.2 57.3 59.2 2208 950 5.230
1787240728 57.3 57.3 56.4 58.2 2208 950 5.240
1787240729 57.3 58.2 57.3 59.2 2208 950 5.273
1787240730 58.2 58.2 57.3 59.2 2208 950 5.235
1787240731 58.2 58.2 56.4 59.2 2208 950 5.211
1787240732 58.2 58.2 57.3 59.2 2208 950 5.235
1787240733 57.3 58.2 56.4 58.2 2208 950 5.264
1787240734 57.3 57.3 56.4 58.2 2208 950 5.201
1787240736 58.2 58.2 57.3 59.2 2208 950 5.201
1787240737 57.3 58.2 57.3 59.2 2208 950 5.206
1787240738 57.3 58.2 57.3 59.2 2208 950 5.235
1787240739 58.2 58.2 57.3 59.2 2208 950 5.264
1787240740 57.3 58.2 56.4 59.2 2208 950 5.230
1787240741 58.2 59.2 57.3 59.2 2208 950 5.269
1787240742 58.2 59.2 57.3 59.2 2208 950 5.235
1787240744 57.3 58.2 56.4 59.2 2208 950 5.201
1787240745 58.2 58.2 57.3 60.1 2208 950 5.201
1787240746 58.2 58.2 57.3 58.2 2208 950 5.215
1787240747 57.3 57.3 56.4 58.2 2208 950 5.264
1787240748 58.2 58.2 57.3 59.2 2208 950 5.206
1787240749 58.2 58.2 57.3 58.2 2208 950 5.244
1787240750 57.3 58.2 57.3 58.2 2208 950 5.235
1787240751 57.3 57.3 56.4 59.2 2208 950 5.249
1787240753 52.7 52.7 51.8 53.6 2208 950 5.283
1787240754 50.8 49.9 49.9 50.8 2208 950 5.322
1787240755 49.9 49.9 49.0 50.8 2208 950 5.278
1787240756 54.5 54.5 53.6 55.5 2208 950 5.157
1787240757 55.5 55.5 54.5 56.4 2208 950 5.206
1787240758 55.5 55.5 55.5 57.3 2208 950 5.206
1787240759 56.4 56.4 55.5 57.3 2208 950 5.206
1787240760 56.4 56.4 55.5 57.3 2208 950 5.249
1787240762 56.4 56.4 55.5 57.3 2208 950 5.249
1787240763 56.4 56.4 55.5 57.3 2208 950 5.249
1787240764 56.4 57.3 55.5 58.2 2208 950 5.273
1787240765 57.3 57.3 56.4 58.2 2208 950 5.211
1787240766 56.4 57.3 56.4 58.2 2208 950 5.196
1787240767 56.4 57.3 56.4 58.2 2208 950 5.230
1787240768 56.4 57.3 56.4 58.2 2208 950 5.230
1787240769 56.4 57.3 55.5 58.2 2208 950 5.215
1787240771 57.3 58.2 57.3 59.2 2208 950 5.206
1787240772 58.2 58.2 57.3 59.2 2208 950 5.225
1787240773 57.3 58.2 57.3 59.2 2208 950 5.254
1787240774 57.3 58.2 57.3 59.2 2208 950 5.240
1787240775 56.4 57.3 56.4 58.2 2208 950 5.273
1787240776 57.3 58.2 56.4 58.2 2208 950 5.273
1787240777 57.3 58.2 56.4 59.2 2208 950 5.225
1787240778 57.3 57.3 56.4 58.2 2208 950 5.235
1787240780 56.4 57.3 56.4 57.3 2208 950 5.249
1787240781 57.3 57.3 56.4 57.3 2208 950 5.177
1787240782 56.4 57.3 56.4 58.2 2208 950 5.211
1787240783 57.3 57.3 56.4 58.2 2208 950 5.235
1787240784 57.3 58.2 56.4 59.2 2208 950 5.211
1787240785 57.3 57.3 56.4 59.2 2208 950 5.215
1787240786 57.3 58.2 57.3 58.2 2208 950 5.244
1787240787 57.3 58.2 56.4 58.2 2208 950 5.235
1787240789 57.3 57.3 56.4 58.2 2208 950 5.273
1787240790 57.3 57.3 56.4 58.2 2208 950 5.230
1787240791 57.3 59.2 57.3 58.2 2208 950 5.254
1787240792 57.3 58.2 56.4 58.2 2208 950 5.235
1787240793 57.3 58.2 57.3 59.2 2208 950 5.201
1787240794 58.2 58.2 57.3 59.2 2208 950 5.220
1787240795 57.3 58.2 57.3 59.2 2208 950 5.220
1787240796 57.3 57.3 56.4 58.2 2208 950 5.240
1787240798 57.3 58.2 57.3 59.2 2208 950 5.264
1787240799 57.3 57.3 56.4 58.2 2208 950 5.254
1787240800 57.3 57.3 56.4 58.2 2208 950 5.225
1787240801 58.2 58.2 57.3 59.2 2208 950 5.264
1787240802 58.2 59.2 57.3 59.2 2208 950 5.240
1787240803 57.3 58.2 57.3 59.2 2208 950 5.196
1787240804 57.3 57.3 56.4 58.2 2208 950 5.191
1787240805 57.3 58.2 57.3 58.2 2208 950 5.220
1787240806 58.2 58.2 57.3 59.2 2208 950 5.240
1787240808 58.2 58.2 57.3 59.2 2208 950 5.215
1787240809 57.3 58.2 57.3 59.2 2208 950 5.264
1787240810 57.3 58.2 56.4 59.2 2208 950 5.220
1787240811 58.2 58.2 57.3 59.2 2208 950 5.249
1787240812 58.2 58.2 57.3 59.2 2208 950 5.220
1787240813 57.3 58.2 57.3 59.2 2208 950 5.230
1787240814 57.3 57.3 56.4 58.2 2208 950 5.220
1787240816 54.5 53.6 53.6 54.5 2208 950 5.244
1787240817 54.5 54.5 53.6 55.5 2208 950 5.215
1787240818 56.4 57.3 55.5 57.3 2208 950 5.235
1787240819 56.4 57.3 55.5 57.3 2208 950 5.235
1787240820 57.3 57.3 56.4 57.3 2208 950 5.215
1787240821 57.3 57.3 56.4 58.2 2208 950 5.269
1787240822 56.4 57.3 55.5 57.3 2208 950 5.186
1787240823 57.3 58.2 56.4 58.2 2208 950 5.235
1787240825 57.3 58.2 57.3 59.2 2208 950 5.182
1787240826 57.3 57.3 56.4 57.3 2208 950 5.201
1787240827 57.3 58.2 56.4 59.2 2208 950 5.259
1787240828 57.3 58.2 56.4 58.2 2208 950 5.269
1787240829 58.2 58.2 56.4 58.2 2208 950 5.191
1787240830 58.2 58.2 57.3 59.2 2208 950 5.230
1787240831 57.3 58.2 56.4 58.2 2208 950 5.244
1787240832 57.3 58.2 56.4 58.2 2208 950 5.249
1787240834 58.2 58.2 57.3 59.2 2208 950 5.215
1787240835 57.3 58.2 56.4 58.2 2208 950 5.259
1787240836 57.3 58.2 57.3 59.2 2208 950 5.177
1787240837 57.3 58.2 56.4 59.2 2208 950 5.259
1787240838 58.2 59.2 57.3 59.2 2208 950 5.215
1787240839 57.3 58.2 56.4 58.2 2208 950 5.230
1787240840 57.3 58.2 57.3 59.2 2208 950 5.215
1787240841 57.3 57.3 57.3 59.2 2208 950 5.254
1787240843 58.2 59.2 57.3 59.2 2208 950 5.244
1787240844 57.3 58.2 57.3 59.2 2208 950 5.230
1787240845 57.3 58.2 57.3 59.2 2208 950 5.215
1787240846 57.3 58.2 56.4 58.2 2208 950 5.215
1787240847 57.3 58.2 56.4 57.3 2208 950 5.259
1787240848 57.3 57.3 56.4 58.2 2208 950 5.235
1787240849 57.3 57.3 56.4 58.2 2208 950 5.259
1787240850 57.3 58.2 57.3 59.2 2208 950 5.240
1787240852 57.3 58.2 56.4 58.2 2208 950 5.244
