run,epoch,elapsed_s,throughput,p50_ms,p95_ms,p99_ms,error_rate,balance_pp
1,1787240504,62,387.7,86.54,147.27,192.97,0.0000,0.00
2,1787240567,125,385.7,86.70,150.61,194.83,0.0000,0.00
3,1787240629,187,386.1,86.40,151.51,193.50,0.0000,0.00
4,1787240691,248,385.2,87.00,149.94,192.48,0.0000,0.00
5,1787240752,310,385.8,86.97,149.26,196.64,0.0000,0.00
6,1787240815,373,385.2,86.80,151.20,197.04,0.0000,0.00
7,1787240877,435,382.8,87.37,151.39,197.67,0.0000,0.00
8,1787240939,496,382.3,86.05,160.06,209.70,0.0000,0.00
9,1787241000,558,383.5,86.68,154.67,203.13,0.0000,0.00
10,1787241062,620,382.5,87.50,151.46,188.39,0.0000,0.00
11,1787241125,683,382.5,86.45,156.84,207.82,0.0000,0.00
12,1787241187,745,382.9,86.93,155.98,203.34,0.0000,0.00
13,1787241249,806,380.5,87.91,153.23,195.44,0.0000,0.00
14,1787241310,868,381.4,86.44,159.37,209.49,0.0000,0.00
15,1787241372,930,381.7,86.04,161.26,215.00,0.0000,0.00
16,1787241435,993,381.8,86.46,157.11,205.53,0.0000,0.00
17,1787241497,1054,381.8,86.92,155.21,195.97,0.0000,0.00
18,1787241558,1116,381.6,88.07,150.62,199.20,0.0000,0.00
19,1787241620,1178,382.2,86.80,156.87,201.75,0.0000,0.00
20,1787241682,1239,380.2,86.97,157.71,205.83,0.0000,0.00
21,1787241745,1303,381.4,86.81,156.81,202.70,0.0000,0.00
22,1787241807,1364,381.8,87.09,154.34,202.20,0.0000,0.00
23,1787241868,1426,381.2,87.50,154.16,200.21,0.0000,0.00
24,1787241930,1488,379.2,86.88,160.42,209.61,0.0000,0.00
25,1787241992,1549,382.3,87.59,152.49,192.92,0.0000,0.00
26,1787242055,1612,382.2,87.09,154.10,198.36,0.0000,0.00
27,1787242116,1674,379.9,87.79,153.82,202.09,0.0000,0.00
28,1787242178,1736,381.6,86.96,156.15,203.83,0.0000,0.00
29,1787242240,1797,375.8,87.08,163.84,211.93,0.0000,0.00
30,1787242301,1859,377.3,88.16,157.29,207.16,0.0000,0.00
