epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787271112 49.0 48.1 48.1 49.9 2208 950 5.278
1787271113 48.1 47.2 46.2 48.1 2208 950 5.288
1787271114 47.2 47.2 46.2 47.2 2208 950 5.269
1787271115 47.2 46.2 45.3 47.2 2208 950 5.215
1787271116 47.2 46.2 45.3 47.2 2208 950 5.293
1787271117 46.2 46.2 45.3 46.2 2208 950 5.244
1787271118 46.2 46.2 45.3 48.1 2208 950 5.254
1787271119 54.5 54.5 53.6 55.5 2208 950 5.191
1787271121 56.4 56.4 55.5 57.3 2208 950 5.225
1787271122 56.4 58.2 56.4 58.2 2208 950 5.206
1787271123 58.2 59.2 57.3 59.2 2208 950 5.220
1787271124 60.1 60.1 58.2 60.1 2208 950 5.220
1787271125 60.1 60.1 59.2 61.0 2208 950 5.215
1787271126 61.0 61.9 60.1 61.9 2208 950 5.211
1787271127 61.0 61.9 60.1 61.9 2208 950 5.186
1787271129 61.0 61.9 61.0 62.8 2208 950 5.215
1787271130 61.9 62.8 61.0 62.8 2208 950 5.259
1787271131 61.9 62.8 61.9 62.8 2208 950 5.211
1787271132 62.8 63.8 61.9 63.8 2208 950 5.196
1787271133 62.8 63.8 61.9 63.8 2208 950 5.191
1787271134 63.8 64.7 62.8 64.7 2208 950 5.206
1787271135 63.8 64.7 62.8 64.7 2208 950 5.225
1787271136 64.7 65.6 63.8 66.5 2208 950 5.244
1787271138 64.7 64.7 63.8 65.6 2208 950 5.196
1787271139 64.7 64.7 63.8 64.7 2208 950 5.220
1787271140 65.6 65.6 64.7 66.5 2208 950 5.220
1787271141 64.7 65.6 64.7 66.5 2208 950 5.196
1787271142 64.7 65.6 63.8 65.6 2208 950 5.235
1787271143 65.6 66.5 64.7 66.5 2208 950 5.259
1787271144 65.6 66.5 65.6 67.5 2208 950 5.211
1787271145 66.5 67.5 66.5 68.4 2208 950 5.230
1787271147 66.5 66.5 65.6 66.5 2208 950 5.264
1787271148 67.5 67.5 66.5 68.4 2208 950 5.182
1787271149 67.5 68.4 66.5 69.3 2208 950 5.215
1787271150 67.5 67.5 66.5 68.4 2208 950 5.225
1787271151 68.4 69.3 67.5 69.3 2208 950 5.182
1787271152 67.5 68.4 67.5 68.4 2208 950 5.206
1787271153 68.4 69.3 67.5 69.3 2208 950 5.264
1787271154 68.4 68.4 67.5 69.3 2208 950 5.196
1787271156 69.3 70.2 68.4 70.2 2208 950 5.196
1787271157 69.3 70.2 68.4 70.2 2208 950 5.215
1787271158 69.3 69.3 68.4 70.2 2208 950 5.196
1787271159 69.3 69.3 68.4 70.2 2208 950 5.177
1787271160 69.3 70.2 69.3 71.2 2208 950 5.167
1787271161 69.3 70.2 68.4 70.2 2208 950 5.235
1787271162 70.2 71.2 69.3 71.2 2208 950 5.220
1787271164 70.2 71.2 69.3 71.2 2208 950 5.196
1787271165 71.2 71.2 70.2 72.1 2208 950 5.215
1787271166 71.2 71.2 70.2 72.1 2208 950 5.153
1787271167 71.2 71.2 70.2 73.0 2208 950 5.211
1787271168 71.2 71.2 70.2 72.1 2208 950 5.196
1787271169 71.2 72.1 71.2 72.1 2208 950 5.240
1787271170 71.2 72.1 71.2 73.0 2208 950 5.167
1787271171 72.1 73.0 71.2 73.9 2208 950 5.215
1787271173 72.1 73.0 71.2 73.0 2208 950 5.211
1787271174 72.1 73.0 71.2 73.0 2208 950 5.186
1787271175 72.1 73.0 71.2 73.9 2208 950 5.157
1787271176 72.1 72.1 71.2 73.0 2208 950 5.211
1787271177 73.0 73.0 72.1 73.9 2208 950 5.225
1787271178 73.0 73.0 72.1 73.9 2208 950 5.196
1787271179 67.5 66.5 66.5 67.5 2208 950 5.235
1787271180 64.7 63.8 63.8 64.7 2208 950 5.293
1787271182 63.8 63.8 62.8 65.6 2208 950 5.298
1787271183 62.8 61.9 61.0 62.8 2208 950 5.269
1787271184 67.5 67.5 66.5 67.5 2208 950 5.153
1787271185 70.2 71.2 69.3 72.1 2208 950 5.215
1787271186 71.2 71.2 69.3 72.1 2208 950 5.182
1787271187 71.2 72.1 71.2 73.0 2208 950 5.196
1787271188 72.1 72.1 71.2 73.0 2208 950 5.211
1787271189 73.0 73.0 72.1 73.9 2208 950 5.211
1787271190 72.1 73.0 71.2 73.0 2208 950 5.211
1787271192 73.0 73.9 72.1 74.8 2208 950 5.230
1787271193 73.0 73.9 72.1 73.9 2208 950 5.230
1787271194 73.0 73.9 73.0 74.8 2208 950 5.211
1787271195 73.9 73.9 73.0 74.8 2208 950 5.196
1787271196 73.9 74.8 73.0 75.8 2208 950 5.196
1787271197 73.0 73.9 72.1 74.8 2208 950 5.215
1787271198 74.8 74.8 73.9 75.8 2208 950 5.220
1787271199 73.9 73.9 73.0 75.8 2208 950 5.244
1787271201 74.8 74.8 73.9 74.8 2208 950 5.211
1787271202 73.9 75.8 73.9 74.8 2208 950 5.148
1787271203 75.8 75.8 73.9 76.7 2208 950 5.167
1787271204 74.8 75.8 74.8 75.8 2208 950 5.244
1787271205 75.8 75.8 74.8 76.7 2208 950 5.206
1787271206 75.8 76.7 74.8 77.6 2208 950 5.177
1787271207 75.8 76.7 74.8 77.6 2208 950 5.191
1787271209 76.7 76.7 74.8 76.7 2208 950 5.254
1787271210 76.7 76.7 75.8 78.5 2208 950 5.215
1787271211 76.7 76.7 75.8 77.6 2208 950 5.186
1787271212 76.7 77.6 75.8 78.5 2208 950 5.211
1787271213 76.7 76.7 75.8 77.6 2208 950 5.225
1787271214 76.7 77.6 75.8 78.5 2208 950 5.182
1787271215 76.7 77.6 76.7 78.5 2208 950 5.191
1787271216 76.7 77.6 76.7 77.6 2208 950 5.191
1787271218 77.6 77.6 76.7 78.5 2208 950 5.244
1787271219 77.6 78.5 76.7 79.5 2208 950 5.182
1787271220 76.7 77.6 76.7 78.5 2208 950 5.206
1787271221 77.6 78.5 76.7 78.5 2208 950 5.196
1787271222 77.6 78.5 76.7 78.5 2208 950 5.225
1787271223 78.5 78.5 77.6 79.5 2208 950 5.269
1787271224 77.6 78.5 76.7 79.5 2208 950 5.196
1787271226 77.6 78.5 77.6 79.5 2208 950 5.235
1787271227 78.5 78.5 76.7 79.5 2208 950 5.186
1787271228 78.5 78.5 77.6 79.5 2208 950 5.211
1787271229 78.5 79.5 77.6 79.5 2208 950 5.206
1787271230 79.5 79.5 77.6 80.4 2208 950 5.215
1787271231 78.5 78.5 77.6 80.4 2208 950 5.191
1787271232 79.5 79.5 78.5 80.4 2208 950 5.215
1787271234 78.5 79.5 78.5 79.5 2208 950 5.254
1787271235 79.5 79.5 78.5 80.4 2208 950 5.177
1787271236 79.5 80.4 79.5 81.3 2208 950 5.201
1787271237 78.5 79.5 78.5 80.4 2208 950 5.215
1787271238 78.5 78.5 77.6 79.5 2208 950 5.206
1787271239 79.5 80.4 79.5 81.3 2208 950 5.235
1787271240 80.4 80.4 79.5 81.3 2208 950 5.182
1787271242 79.5 80.4 78.5 80.4 2208 950 5.172
1787271243 79.5 80.4 78.5 81.3 2208 950 5.215
1787271244 75.8 75.8 74.8 76.7 2208 950 5.244
1787271245 72.1 71.2 71.2 72.1 2208 950 5.244
1787271246 70.2 70.2 69.3 70.2 2208 950 5.293
1787271247 76.7 77.6 75.8 78.5 2208 950 5.240
1787271248 77.6 77.6 76.7 79.5 2208 950 5.186
1787271249 77.6 78.5 77.6 79.5 2208 950 5.186
1787271250 79.5 79.5 78.5 80.4 2208 950 5.186
1787271252 78.5 78.5 77.6 79.5 2208 950 5.162
1787271253 78.5 79.5 78.5 80.4 2208 950 5.177
1787271254 79.5 80.4 78.5 81.3 2208 950 5.230
1787271255 80.4 80.4 79.5 81.3 2208 950 5.230
1787271256 80.4 80.4 79.5 81.3 2208 950 5.215
1787271257 79.5 80.4 78.5 80.4 2208 950 5.269
1787271258 80.4 81.3 79.5 82.2 2208 950 5.196
1787271259 80.4 80.4 79.5 81.3 2208 950 5.186
1787271261 80.4 80.4 79.5 81.3 2208 950 5.206
1787271262 80.4 81.3 80.4 82.2 2208 950 5.177
1787271263 81.3 81.3 80.4 82.2 2208 950 5.148
1787271264 80.4 81.3 80.4 82.2 2208 950 5.215
