epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1787271112 48.1 47.2 47.2 48.1 2208 950 5.269
1787271113 47.2 46.2 46.2 47.2 2208 950 5.264
1787271114 46.2 46.2 45.3 46.2 2208 950 5.269
1787271115 46.2 46.2 45.3 46.2 2208 950 5.317
1787271117 46.2 46.2 45.3 46.2 2208 950 5.264
1787271118 46.2 45.3 45.3 46.2 2208 950 5.307
1787271119 50.8 51.8 49.9 51.8 2208 950 5.278
1787271120 53.6 54.5 53.6 55.5 2208 950 5.298
1787271121 54.5 55.5 54.5 56.4 2208 950 5.254
1787271122 55.5 56.4 55.5 57.3 2208 950 5.206
1787271123 57.3 57.3 56.4 58.2 2208 950 5.259
1787271124 57.3 58.2 57.3 59.2 2208 950 5.177
1787271125 59.2 59.2 58.2 60.1 2208 950 5.254
1787271127 59.2 59.2 58.2 60.1 2208 950 5.206
1787271128 60.1 60.1 59.2 60.1 2208 950 5.254
1787271129 60.1 60.1 59.2 61.0 2208 950 5.230
1787271130 60.1 61.0 60.1 61.0 2208 950 5.240
1787271131 61.0 61.0 60.1 61.0 2208 950 5.201
1787271132 61.9 61.9 61.0 62.8 2208 950 5.211
1787271133 61.9 61.9 61.0 62.8 2208 950 5.196
1787271135 61.9 61.9 61.0 63.8 2208 950 5.211
1787271136 61.9 62.8 61.0 62.8 2208 950 5.249
1787271137 62.8 62.8 61.9 64.7 2208 950 5.225
1787271138 61.9 62.8 61.9 62.8 2208 950 5.240
1787271139 62.8 63.8 62.8 64.7 2208 950 5.249
1787271140 63.8 64.7 62.8 64.7 2208 950 5.230
1787271141 63.8 63.8 62.8 64.7 2208 950 5.220
1787271142 63.8 64.7 62.8 64.7 2208 950 5.235
1787271144 63.8 64.7 63.8 65.6 2208 950 5.244
1787271145 64.7 64.7 63.8 65.6 2208 950 5.177
1787271146 64.7 65.6 63.8 65.6 2208 950 5.225
1787271147 65.6 65.6 64.7 67.5 2208 950 5.196
1787271148 64.7 64.7 63.8 65.6 2208 950 5.182
1787271149 65.6 66.5 65.6 66.5 2208 950 5.225
1787271150 65.6 66.5 65.6 66.5 2208 950 5.220
1787271151 66.5 66.5 64.7 66.5 2208 950 5.235
1787271152 66.5 67.5 65.6 68.4 2208 950 5.249
1787271154 66.5 66.5 65.6 67.5 2208 950 5.211
1787271155 67.5 66.5 65.6 68.4 2208 950 5.230
1787271156 67.5 67.5 66.5 68.4 2208 950 5.211
1787271157 67.5 67.5 66.5 68.4 2208 950 5.206
1787271158 67.5 68.4 66.5 68.4 2208 950 5.273
1787271159 68.4 68.4 67.5 69.3 2208 950 5.244
1787271160 68.4 68.4 67.5 69.3 2208 950 5.215
1787271162 68.4 68.4 67.5 69.3 2208 950 5.254
1787271163 68.4 68.4 68.4 70.2 2208 950 5.215
1787271164 68.4 68.4 67.5 69.3 2208 950 5.240
1787271165 68.4 69.3 68.4 69.3 2208 950 5.215
1787271166 68.4 69.3 68.4 69.3 2208 950 5.211
1787271167 69.3 69.3 68.4 71.2 2208 950 5.196
1787271168 69.3 70.2 69.3 70.2 2208 950 5.220
1787271169 69.3 69.3 68.4 70.2 2208 950 5.269
1787271171 69.3 70.2 68.4 70.2 2208 950 5.225
1787271172 70.2 70.2 69.3 71.2 2208 950 5.225
1787271173 69.3 70.2 69.3 71.2 2208 950 5.230
1787271174 70.2 70.2 69.3 72.1 2208 950 5.186
1787271175 70.2 71.2 70.2 71.2 2208 950 5.201
1787271176 70.2 71.2 69.3 71.2 2208 950 5.206
1787271177 70.2 71.2 70.2 72.1 2208 950 5.249
