run,epoch,elapsed_s,throughput,p50_ms,p95_ms,p99_ms,error_rate,balance_pp,observed_nodes,max_npu_c
1,1787271179,62,389.4,86.97,142.97,182.89,0.0000,0.00,3,0.0
2,1787271244,127,388.4,86.35,146.65,182.17,0.0000,0.00,3,0.0
3,1787271307,190,382.4,87.66,151.21,194.98,0.0000,0.00,3,0.0
4,1787271370,253,381.5,88.29,149.29,185.51,0.0000,0.00,3,0.0
5,1787271433,316,380.9,89.60,146.23,176.24,0.0000,0.00,3,0.0
6,1787271498,381,374.4,89.09,156.10,203.51,0.0000,0.00,3,0.0
7,1787271561,444,371.5,88.91,164.80,223.24,0.0000,0.00,3,0.0
8,1787271624,507,366.8,88.00,179.89,237.56,0.0000,0.00,3,0.0
9,1787271687,570,365.8,85.61,187.01,243.09,0.0000,0.00,3,0.0
10,1787271750,634,359.7,81.08,217.16,278.21,0.0000,0.00,3,0.0
11,1787271815,698,363.8,84.19,201.87,269.73,0.0000,0.00,3,0.0
12,1787271878,762,361.1,84.60,204.57,267.40,0.0000,0.00,3,0.0
13,1787271942,825,358.4,86.00,207.53,275.65,0.0000,0.00,3,0.0
14,1787272005,888,351.2,81.83,231.63,298.97,0.0000,0.00,3,0.0
15,1787272068,951,356.2,82.74,217.30,278.86,0.0000,0.00,3,0.0
16,1787272133,1016,359.5,85.12,216.65,283.79,0.0000,0.00,3,0.0
17,1787272196,1079,353.6,81.88,225.94,287.12,0.0000,0.00,3,0.0
18,1787272260,1143,357.9,83.23,219.28,285.63,0.0000,0.00,3,0.0
19,1787272323,1206,351.1,79.31,241.23,311.77,0.0000,0.00,3,0.0
20,1787272386,1269,355.8,81.92,234.00,304.69,0.0000,0.00,3,0.0
21,1787272451,1334,352.8,82.37,224.62,284.07,0.0000,0.00,3,0.0
22,1787272514,1397,351.1,82.66,235.61,310.38,0.0000,0.00,3,0.0
23,1787272577,1460,345.3,79.05,255.76,333.14,0.0000,0.00,3,0.0
24,1787272640,1523,344.1,78.26,259.66,329.56,0.0000,0.00,3,0.0
25,1787272703,1587,342.1,77.58,253.44,329.05,0.0000,0.00,3,0.0
26,1787272768,1651,346.9,81.84,246.15,323.48,0.0000,0.00,3,0.0
27,1787272831,1714,343.1,75.30,266.08,337.20,0.0000,0.00,3,0.0
28,1787272894,1777,341.7,75.85,277.01,347.15,0.0000,0.00,3,0.0
29,1787272957,1841,343.8,78.59,254.15,325.97,0.0000,0.00,3,0.0
30,1787273021,1904,343.5,77.61,256.81,335.15,0.0000,0.00,3,0.0
