epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1786412929 37.9 37.0 37.0 37.9 1008 950 5.307
1786412930 37.9 36.1 37.0 37.0 1008 950 5.264
1786412932 37.9 36.1 37.0 37.0 408 950 5.312
1786412933 37.9 36.1 37.0 37.9 408 950 5.269
1786412934 37.9 36.1 37.0 37.9 1800 950 5.225
1786412935 46.2 47.2 45.3 47.2 1800 950 5.143
1786412936 49.0 50.8 48.1 49.0 1608 950 5.157
1786412937 50.8 52.7 49.9 52.7 2208 950 5.215
1786412938 52.7 54.5 51.8 54.5 2208 950 5.196
1786412939 52.7 53.6 51.8 52.7 1008 950 5.143
1786412940 54.5 56.4 53.6 55.5 2208 950 5.215
1786412941 55.5 56.4 53.6 57.3 1608 950 5.230
1786412943 55.5 57.3 54.5 55.5 2208 950 5.148
1786412944 56.4 56.4 54.5 56.4 2208 950 5.235
1786412945 55.5 56.4 54.5 57.3 2208 950 5.196
1786412946 56.4 57.3 55.5 56.4 1008 950 5.201
1786412947 59.2 61.0 57.3 61.0 2208 950 5.206
1786412948 58.2 57.3 56.4 59.2 1008 950 5.162
1786412949 58.2 57.3 56.4 58.2 1008 950 5.211
1786412950 58.2 59.2 57.3 57.3 2016 950 5.177
1786412951 59.2 61.0 58.2 60.1 2208 950 5.148
1786412952 59.2 61.0 58.2 61.0 2208 950 5.177
1786412953 61.0 61.9 59.2 61.0 2208 950 5.157
1786412954 60.1 61.0 59.2 61.9 2208 950 5.249
1786412956 60.1 61.0 59.2 60.1 1608 950 5.211
1786412957 61.0 61.9 59.2 60.1 408 950 5.206
1786412958 61.0 61.9 60.1 61.9 1416 950 5.104
1786412959 61.0 62.8 60.1 61.0 2208 950 5.254
1786412960 61.9 62.8 61.0 62.8 2208 950 5.215
1786412961 61.9 61.9 61.0 62.8 2016 950 5.230
1786412962 61.9 61.9 60.1 63.8 2208 950 5.172
1786412963 61.9 61.9 61.0 62.8 408 950 5.196
1786412964 63.8 64.7 62.8 63.8 2208 950 5.254
1786412965 63.8 65.6 62.8 65.6 2208 950 5.182
1786412967 62.8 62.8 61.0 64.7 2208 950 5.186
1786412968 61.9 64.7 61.9 64.7 2208 950 5.186
1786412969 62.8 64.7 61.9 64.7 2208 950 5.157
1786412970 63.8 64.7 62.8 63.8 408 950 5.114
1786412971 64.7 65.6 62.8 65.6 2208 950 5.186
1786412972 63.8 65.6 62.8 64.7 2208 950 5.191
1786412973 63.8 63.8 61.9 63.8 2208 950 5.235
1786412974 63.8 63.8 62.8 63.8 1416 950 5.143
1786412975 63.8 63.8 62.8 63.8 1608 950 5.099
1786412976 65.6 66.5 63.8 65.6 1608 950 5.182
1786412977 64.7 66.5 63.8 66.5 2208 950 5.215
1786412979 63.8 64.7 62.8 64.7 2208 950 5.162
1786412980 64.7 65.6 62.8 66.5 1800 950 5.254
1786412981 64.7 65.6 62.8 63.8 2208 950 5.230
1786412982 64.7 66.5 63.8 65.6 1800 950 5.196
1786412983 64.7 65.6 63.8 64.7 2016 950 5.138
1786412984 65.6 66.5 64.7 67.5 1008 950 5.138
1786412985 65.6 66.5 64.7 65.6 1008 950 5.133
1786412986 64.7 66.5 63.8 65.6 2208 950 5.177
1786412987 64.7 65.6 63.8 64.7 408 950 5.128
1786412988 65.6 66.5 64.7 65.6 1608 950 5.196
1786412989 65.6 66.5 64.7 65.6 1008 950 5.220
1786412991 65.6 66.5 64.7 66.5 2016 950 5.201
1786412992 66.5 69.3 65.6 67.5 2208 950 5.128
1786412993 65.6 67.5 64.7 65.6 2016 950 5.153
1786412994 66.5 66.5 64.7 65.6 1800 950 5.148
1786412995 65.6 67.5 64.7 66.5 2208 950 5.206
1786412996 66.5 67.5 65.6 68.4 2208 950 5.177
1786412997 68.4 70.2 66.5 69.3 2208 950 5.124
1786412998 66.5 66.5 65.6 68.4 1008 950 5.244
1786412999 67.5 68.4 65.6 66.5 1608 950 5.119
1786413000 67.5 67.5 66.5 68.4 1800 950 5.191
1786413001 67.5 67.5 66.5 66.5 2208 950 5.186
1786413002 67.5 69.3 66.5 68.4 2016 950 5.240
1786413004 66.5 67.5 65.6 65.6 1416 950 5.172
1786413005 67.5 68.4 66.5 69.3 2208 950 5.182
1786413006 66.5 68.4 65.6 68.4 2208 950 5.244
1786413007 67.5 68.4 66.5 67.5 1416 950 5.196
1786413008 68.4 70.2 66.5 69.3 2208 950 5.167
1786413009 67.5 67.5 66.5 69.3 2016 950 5.206
1786413010 66.5 66.5 65.6 68.4 1008 950 5.128
1786413011 69.3 70.2 67.5 68.4 2208 950 5.196
1786413012 67.5 68.4 66.5 68.4 1608 950 5.157
1786413013 67.5 68.4 66.5 66.5 1608 950 5.211
1786413014 67.5 70.2 66.5 69.3 1608 950 5.124
1786413016 67.5 68.4 66.5 67.5 1608 950 5.201
1786413017 68.4 69.3 66.5 68.4 1008 950 5.182
1786413018 68.4 70.2 67.5 70.2 2208 950 5.162
1786413019 68.4 68.4 66.5 69.3 1608 950 5.259
1786413020 68.4 68.4 66.5 69.3 2016 950 5.273
1786413021 67.5 68.4 66.5 68.4 1008 950 5.138
1786413022 68.4 69.3 67.5 70.2 2208 950 5.215
1786413023 69.3 68.4 67.5 69.3 2208 950 5.124
1786413024 68.4 69.3 66.5 70.2 2016 950 5.273
1786413025 68.4 69.3 66.5 70.2 2208 950 5.244
1786413026 68.4 68.4 67.5 70.2 2208 950 5.153
1786413028 68.4 68.4 67.5 68.4 1608 950 5.182
1786413029 68.4 70.2 67.5 70.2 2208 950 5.196
1786413030 69.3 69.3 67.5 71.2 1800 950 5.201
1786413031 68.4 68.4 66.5 70.2 1008 950 5.182
1786413032 68.4 68.4 67.5 70.2 1608 950 5.167
1786413033 68.4 69.3 67.5 70.2 2208 950 5.215
1786413034 68.4 70.2 67.5 69.3 2208 950 5.206
1786413035 68.4 70.2 66.5 69.3 2016 950 5.206
