epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1786412928 37.0 37.0 36.1 37.9 1608 950 5.230
1786412929 37.0 37.0 36.1 37.0 1800 950 5.264
1786412930 37.0 37.0 36.1 37.0 1416 950 5.254
1786412931 37.0 37.0 36.1 37.0 1416 950 5.331
1786412932 37.0 37.0 36.1 37.0 1008 950 5.278
1786412933 37.9 37.0 37.0 38.8 2208 950 5.288
1786412934 46.2 48.1 45.3 46.2 1800 950 5.148
1786412935 49.9 52.7 49.0 51.8 2208 950 5.235
1786412936 51.8 54.5 50.8 53.6 1416 950 5.191
1786412937 52.7 55.5 51.8 53.6 2208 950 5.157
1786412938 52.7 54.5 51.8 53.6 1800 950 5.157
1786412940 54.5 56.4 52.7 55.5 1800 950 5.240
1786412941 55.5 58.2 54.5 57.3 2208 950 5.157
1786412942 55.5 57.3 54.5 55.5 2208 950 5.196
1786412943 56.4 58.2 55.5 56.4 1416 950 5.157
1786412944 56.4 58.2 55.5 58.2 2208 950 5.220
1786412945 58.2 61.0 57.3 59.2 2208 950 5.220
1786412946 58.2 60.1 57.3 58.2 1800 950 5.157
1786412947 58.2 60.1 57.3 60.1 2208 950 5.172
1786412948 59.2 61.0 57.3 60.1 1416 950 5.215
1786412949 58.2 60.1 57.3 60.1 1800 950 5.225
1786412950 60.1 61.0 58.2 60.1 2208 950 5.153
1786412952 60.1 61.0 58.2 60.1 1008 950 5.133
1786412953 59.2 62.8 58.2 59.2 2208 950 5.148
1786412954 60.1 62.8 58.2 61.9 2208 950 5.249
1786412955 60.1 61.0 59.2 60.1 1800 950 5.177
1786412956 61.9 62.8 60.1 61.0 2208 950 5.206
1786412957 61.9 62.8 60.1 62.8 1800 950 5.225
1786412958 61.9 63.8 61.0 62.8 2208 950 5.215
1786412959 62.8 64.7 61.0 61.9 2208 950 5.167
1786412960 61.0 61.9 60.1 61.9 1800 950 5.201
1786412961 62.8 65.6 61.9 64.7 2208 950 5.211
1786412962 61.9 63.8 61.0 61.9 1416 950 5.196
1786412963 62.8 64.7 61.9 62.8 1008 950 5.273
1786412965 63.8 64.7 61.9 64.7 2208 950 5.206
1786412966 63.8 65.6 62.8 64.7 2016 950 5.124
1786412967 63.8 66.5 62.8 64.7 2208 950 5.201
1786412968 62.8 63.8 61.9 63.8 1800 950 5.201
1786412969 63.8 65.6 61.9 64.7 2208 950 5.148
1786412970 63.8 64.7 61.9 63.8 1608 950 5.206
1786412971 63.8 65.6 62.8 62.8 1416 950 5.182
1786412972 63.8 64.7 61.9 63.8 1008 950 5.128
1786412973 64.7 66.5 63.8 64.7 1800 950 5.167
1786412974 64.7 66.5 63.8 65.6 2016 950 5.109
1786412975 65.6 68.4 64.7 67.5 2208 950 5.215
1786412977 64.7 66.5 63.8 65.6 2208 950 5.138
1786412978 64.7 66.5 63.8 64.7 2208 950 5.186
1786412979 64.7 66.5 63.8 64.7 1416 950 5.206
1786412980 66.5 68.4 65.6 66.5 1608 950 5.191
1786412981 65.6 69.3 64.7 66.5 1608 950 5.206
1786412982 65.6 66.5 64.7 65.6 1416 950 5.182
1786412983 66.5 68.4 65.6 67.5 1416 950 5.148
1786412984 65.6 68.4 64.7 65.6 2208 950 5.157
1786412985 65.6 67.5 64.7 65.6 1608 950 5.201
1786412986 65.6 67.5 64.7 67.5 2016 950 5.157
1786412987 66.5 68.4 64.7 67.5 2208 950 5.182
1786412989 65.6 66.5 64.7 65.6 1008 950 5.215
1786412990 66.5 69.3 64.7 66.5 2208 950 5.167
1786412991 66.5 69.3 65.6 67.5 2208 950 5.215
1786412992 66.5 68.4 65.6 68.4 2208 950 5.157
1786412993 65.6 68.4 65.6 65.6 2208 950 5.167
1786412994 66.5 67.5 64.7 66.5 1800 950 5.240
1786412995 66.5 68.4 65.6 67.5 2208 950 5.104
1786412996 66.5 68.4 65.6 65.6 1416 950 5.201
1786412997 66.5 69.3 65.6 68.4 2208 950 5.138
1786412998 66.5 70.2 65.6 67.5 2208 950 5.090
1786412999 66.5 69.3 65.6 66.5 2208 950 5.235
1786413001 66.5 67.5 64.7 67.5 2208 950 5.177
1786413002 66.5 68.4 65.6 65.6 1008 950 5.244
1786413003 67.5 69.3 65.6 67.5 1416 950 5.186
1786413004 66.5 68.4 65.6 69.3 2208 950 5.293
1786413005 68.4 69.3 66.5 69.3 2208 950 5.225
1786413006 67.5 69.3 66.5 67.5 1416 950 5.157
1786413007 68.4 70.2 67.5 69.3 2016 950 5.230
1786413008 68.4 70.2 66.5 67.5 1800 950 5.157
1786413009 68.4 71.2 67.5 68.4 1416 950 5.148
1786413010 67.5 70.2 66.5 69.3 2208 950 5.177
1786413011 67.5 68.4 65.6 66.5 2208 950 5.230
1786413013 67.5 69.3 66.5 69.3 1800 950 5.133
1786413014 68.4 70.2 66.5 67.5 1608 950 5.215
1786413015 68.4 70.2 67.5 70.2 2208 950 5.162
1786413016 67.5 68.4 66.5 67.5 1608 950 5.138
1786413017 67.5 70.2 66.5 67.5 2208 950 5.162
1786413018 67.5 68.4 65.6 67.5 2208 950 5.235
1786413019 68.4 70.2 67.5 67.5 1416 950 5.196
1786413020 68.4 71.2 67.5 70.2 1800 950 5.244
1786413021 69.3 71.2 67.5 70.2 2208 950 5.191
1786413022 68.4 71.2 67.5 69.3 2208 950 5.133
1786413023 68.4 69.3 67.5 69.3 1608 950 5.220
1786413025 68.4 70.2 67.5 68.4 2208 950 5.162
1786413026 68.4 69.3 67.5 69.3 1608 950 5.196
1786413027 68.4 70.2 67.5 68.4 1608 950 5.225
1786413028 68.4 70.2 67.5 69.3 2208 950 5.128
1786413029 69.3 71.2 68.4 68.4 1608 950 5.201
1786413030 69.3 71.2 68.4 70.2 2208 950 5.201
1786413031 68.4 69.3 66.5 70.2 1008 950 5.254
1786413032 68.4 70.2 67.5 68.4 2208 950 5.080
