epoch soc_c npu_c ddr_c bigcore_c cpu_mhz npu_mhz volt_v
1786412929 36.1 35.2 35.2 36.1 1008 950 5.273
1786412930 35.2 35.2 34.2 35.2 1800 950 5.351
1786412931 36.1 35.2 34.2 35.2 1008 950 5.254
1786412932 35.2 35.2 34.2 36.1 1416 950 5.264
1786412933 36.1 35.2 34.2 36.1 1608 950 5.269
1786412934 43.5 45.3 42.5 45.3 2208 950 5.172
1786412935 46.2 48.1 45.3 47.2 2208 950 5.196
1786412936 48.1 49.0 47.2 49.9 2016 950 5.225
1786412938 50.8 52.7 49.0 51.8 2208 950 5.206
1786412939 50.8 51.8 49.0 50.8 1608 950 5.201
1786412940 50.8 51.8 49.9 51.8 2208 950 5.225
1786412941 52.7 53.6 50.8 51.8 1416 950 5.254
1786412942 51.8 53.6 50.8 50.8 2208 950 5.235
1786412943 52.7 55.5 51.8 54.5 2208 950 5.215
1786412944 52.7 54.5 51.8 52.7 2208 950 5.172
1786412945 53.6 55.5 52.7 54.5 2208 950 5.269
1786412946 53.6 56.4 52.7 54.5 2208 950 5.215
1786412947 54.5 55.5 52.7 54.5 2016 950 5.186
1786412948 54.5 56.4 53.6 55.5 2208 950 5.191
1786412950 56.4 58.2 55.5 55.5 1608 950 5.138
1786412951 55.5 55.5 54.5 58.2 2208 950 5.240
1786412952 56.4 58.2 55.5 56.4 2208 950 5.230
1786412953 56.4 58.2 55.5 56.4 2208 950 5.191
1786412954 57.3 58.2 56.4 56.4 1008 950 5.133
1786412955 58.2 60.1 56.4 58.2 2208 950 5.259
1786412956 57.3 57.3 56.4 58.2 1608 950 5.278
1786412957 56.4 58.2 56.4 56.4 1800 950 5.215
1786412958 57.3 59.2 56.4 56.4 1800 950 5.206
1786412959 58.2 61.0 56.4 58.2 2208 950 5.133
1786412960 58.2 60.1 56.4 58.2 2208 950 5.157
1786412961 58.2 60.1 57.3 59.2 2208 950 5.225
1786412963 59.2 61.0 58.2 61.0 2208 950 5.182
1786412964 58.2 60.1 57.3 59.2 2208 950 5.196
1786412965 58.2 60.1 57.3 57.3 1608 950 5.215
1786412966 58.2 61.9 57.3 60.1 2208 950 5.230
1786412967 59.2 59.2 57.3 59.2 1416 950 5.172
1786412968 58.2 59.2 57.3 59.2 2208 950 5.162
1786412969 59.2 61.9 58.2 60.1 1800 950 5.235
1786412970 59.2 60.1 58.2 61.9 2208 950 5.269
1786412971 59.2 60.1 58.2 61.0 2208 950 5.182
1786412972 59.2 61.0 58.2 60.1 1800 950 5.206
1786412973 60.1 61.9 59.2 61.0 2208 950 5.254
1786412975 60.1 60.1 58.2 61.0 1800 950 5.211
1786412976 60.1 62.8 59.2 61.9 2208 950 5.215
1786412977 60.1 61.9 59.2 62.8 2208 950 5.264
1786412978 61.0 63.8 60.1 62.8 2016 950 5.235
1786412979 60.1 61.0 59.2 61.0 408 950 5.211
1786412980 61.0 61.9 59.2 61.9 1416 950 5.211
1786412981 60.1 61.0 59.2 61.0 2208 950 5.201
1786412982 60.1 61.0 59.2 61.9 2208 950 5.196
1786412983 61.0 63.8 60.1 61.9 2016 950 5.220
1786412984 61.0 62.8 60.1 61.9 2208 950 5.215
1786412985 61.0 62.8 60.1 61.9 2208 950 5.259
1786412986 61.0 62.8 60.1 61.0 1416 950 5.220
1786412988 61.9 62.8 61.0 62.8 1008 950 5.235
1786412989 61.0 61.9 60.1 61.9 408 950 5.278
1786412990 61.0 61.0 60.1 62.8 2208 950 5.240
1786412991 61.0 61.9 60.1 61.9 1008 950 5.220
1786412992 61.0 61.9 60.1 61.9 1800 950 5.211
1786412993 62.8 64.7 61.9 64.7 1608 950 5.215
1786412994 61.0 62.8 60.1 61.0 1416 950 5.182
1786412995 61.9 62.8 60.1 61.0 1608 950 5.240
1786412996 62.8 64.7 61.9 64.7 1800 950 5.225
1786412997 61.9 63.8 61.0 61.9 1608 950 5.269
1786412998 62.8 65.6 61.0 64.7 2208 950 5.220
1786413000 62.8 65.6 62.8 62.8 2208 950 5.186
1786413001 62.8 65.6 61.9 64.7 2208 950 5.215
1786413002 62.8 64.7 61.9 62.8 2016 950 5.162
1786413003 62.8 64.7 61.9 61.9 1608 950 5.191
1786413004 62.8 65.6 61.9 62.8 2208 950 5.206
1786413005 62.8 62.8 61.0 63.8 2016 950 5.211
1786413006 62.8 63.8 61.0 62.8 1416 950 5.206
1786413007 62.8 63.8 61.9 62.8 1608 950 5.269
1786413008 61.9 63.8 61.0 61.9 2208 950 5.196
1786413009 62.8 64.7 61.9 63.8 2208 950 5.235
1786413010 62.8 64.7 61.9 62.8 2208 950 5.177
1786413012 63.8 64.7 61.9 65.6 1608 950 5.215
1786413013 61.9 63.8 61.0 63.8 2208 950 5.240
1786413014 63.8 64.7 61.9 65.6 2208 950 5.254
1786413015 62.8 63.8 61.0 63.8 2208 950 5.249
1786413016 62.8 64.7 61.9 64.7 2208 950 5.273
1786413017 62.8 64.7 61.9 65.6 2208 950 5.230
1786413018 62.8 63.8 61.9 62.8 1008 950 5.283
1786413019 62.8 63.8 61.9 62.8 408 950 5.172
1786413020 63.8 65.6 62.8 63.8 2208 950 5.215
1786413021 62.8 65.6 61.9 63.8 2208 950 5.211
1786413022 63.8 65.6 61.9 65.6 2208 950 5.220
1786413024 62.8 64.7 61.9 63.8 1008 950 5.196
1786413025 63.8 65.6 62.8 62.8 1416 950 5.259
1786413026 62.8 65.6 62.8 62.8 1008 950 5.196
1786413027 63.8 64.7 62.8 64.7 1008 950 5.206
1786413028 63.8 65.6 62.8 63.8 2208 950 5.206
1786413029 62.8 65.6 61.9 63.8 2208 950 5.186
1786413030 63.8 64.7 62.8 63.8 1008 950 5.206
1786413031 63.8 63.8 61.9 65.6 2016 950 5.264
1786413032 63.8 64.7 62.8 64.7 2016 950 5.211
1786413033 63.8 65.6 62.8 63.8 2208 950 5.206
1786413034 63.8 65.6 62.8 64.7 2208 950 5.162
1786413036 63.8 64.7 62.8 64.7 1008 950 5.211
1786413037 64.7 67.5 63.8 65.6 2208 950 5.244
1786413038 63.8 65.6 62.8 63.8 2208 950 5.211
1786413039 63.8 66.5 62.8 66.5 2208 950 5.186
1786413040 63.8 65.6 62.8 65.6 2208 950 5.206
1786413041 63.8 64.7 62.8 64.7 1608 950 5.269
1786413042 63.8 65.6 62.8 62.8 1608 950 5.206
1786413043 63.8 64.7 62.8 63.8 408 950 5.249
1786413044 62.8 65.6 61.9 62.8 2208 950 5.201
1786413045 63.8 66.5 62.8 64.7 2208 950 5.206
1786413046 64.7 67.5 63.8 65.6 2208 950 5.201
1786413048 63.8 64.7 62.8 63.8 1008 950 5.206
1786413049 63.8 65.6 62.8 63.8 1008 950 5.211
1786413050 63.8 63.8 61.9 65.6 1608 950 5.278
1786413051 63.8 64.7 62.8 64.7 1416 950 5.201
1786413052 64.7 66.5 63.8 63.8 2208 950 5.186
1786413053 63.8 66.5 62.8 66.5 2208 950 5.215
1786413054 63.8 65.6 62.8 64.7 2208 950 5.278
1786413055 64.7 67.5 63.8 64.7 2208 950 5.235
1786413056 64.7 65.6 62.8 65.6 2208 950 5.235
1786413057 64.7 64.7 62.8 65.6 2208 950 5.240
1786413058 65.6 67.5 64.7 65.6 2016 950 5.211
1786413059 64.7 66.5 63.8 66.5 1800 950 5.201
1786413061 63.8 66.5 63.8 63.8 2016 950 5.206
1786413062 65.6 67.5 63.8 67.5 2208 950 5.196
1786413063 65.6 66.5 64.7 67.5 1608 950 5.240
1786413064 65.6 67.5 64.7 65.6 1008 950 5.269
1786413065 64.7 66.5 63.8 66.5 2208 950 5.167
1786413066 64.7 64.7 63.8 65.6 1608 950 5.249
1786413067 65.6 67.5 64.7 65.6 1008 950 5.206
1786413068 63.8 65.6 63.8 64.7 1008 950 5.211
1786413069 64.7 66.5 63.8 63.8 1800 950 5.211
1786413070 65.6 66.5 63.8 67.5 1416 950 5.201
1786413071 65.6 67.5 64.7 66.5 1608 950 5.259
1786413073 64.7 65.6 63.8 65.6 2208 950 5.206
1786413074 63.8 64.7 62.8 65.6 1800 950 5.196
1786413075 64.7 66.5 63.8 64.7 2208 950 5.230
1786413076 64.7 67.5 63.8 66.5 2208 950 5.162
1786413077 64.7 65.6 63.8 66.5 2208 950 5.191
1786413078 64.7 67.5 63.8 66.5 1800 950 5.215
1786413079 63.8 65.6 62.8 64.7 1008 950 5.264
1786413080 65.6 66.5 63.8 64.7 2208 950 5.254
