Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

08:01:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:01:22 AM  all   15.82    0.00   10.51    0.00    0.00    5.45    0.00    0.00    0.00   68.22
08:01:22 AM    0    9.47    0.00   10.53    0.00    0.00   44.21    0.00    0.00    0.00   35.79
08:01:22 AM    1   15.62    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   68.75
08:01:22 AM    2   22.68    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   65.98
08:01:22 AM    3   19.79    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   71.88
08:01:22 AM    4   15.62    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   75.00
08:01:22 AM    5   17.53    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   74.23
08:01:22 AM    6   13.27    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   74.49
08:01:22 AM    7   12.50    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   79.17

08:01:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:01:23 AM  all   15.91    0.00   11.77    0.00    0.00    5.56    0.00    0.00    0.00   66.75
08:01:23 AM    0    9.68    0.00    7.53    0.00    0.00   46.24    0.00    0.00    0.00   36.56
08:01:23 AM    1   21.88    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   65.62
08:01:23 AM    2   17.71    0.00   14.58    0.00    0.00    0.00    0.00    0.00    0.00   67.71
08:01:23 AM    3   20.62    0.00   16.49    0.00    0.00    0.00    0.00    0.00    0.00   62.89
08:01:23 AM    4   13.54    0.00   13.54    0.00    0.00    0.00    0.00    0.00    0.00   72.92
08:01:23 AM    5   14.43    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   75.26
08:01:23 AM    6   15.31    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   77.55
08:01:23 AM    7   14.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00

08:01:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:01:24 AM  all   16.88    0.00   12.17    0.00    0.00    6.02    0.00    0.00    0.00   64.92
08:01:24 AM    0    6.59    0.00    6.59    0.00    0.00   50.55    0.00    0.00    0.00   36.26
08:01:24 AM    1   24.74    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   63.92
08:01:24 AM    2   20.83    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   66.67
08:01:24 AM    3   20.83    0.00   13.54    0.00    0.00    0.00    0.00    0.00    0.00   65.62
08:01:24 AM    4   14.74    0.00   15.79    0.00    0.00    0.00    0.00    0.00    0.00   69.47
08:01:24 AM    5   16.84    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   70.53
08:01:24 AM    6   13.68    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   74.74
