Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

08:01:21 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:01:22 AM  1000     13704         -  125.74   99.01    0.00    0.00  224.75     5  npuforge-node
08:01:22 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:01:22 AM  1000         -     13705   11.88   11.88    0.00    0.99   23.76     1  |__tokio-rt-worker
08:01:22 AM  1000         -     13706   12.87   14.85    0.00    0.99   27.72     2  |__tokio-rt-worker
08:01:22 AM  1000         -     13707   16.83   14.85    0.00    0.99   31.68     6  |__tokio-rt-worker
08:01:22 AM  1000         -     13708   15.84    9.90    0.00    0.99   25.74     6  |__tokio-rt-worker
08:01:22 AM  1000         -     13709   17.82    8.91    0.00    0.99   26.73     0  |__tokio-rt-worker
08:01:22 AM  1000         -     13710   13.86    7.92    0.00    0.99   21.78     3  |__tokio-rt-worker
08:01:22 AM  1000         -     13711   18.81   13.86    0.00    0.99   32.67     4  |__tokio-rt-worker
08:01:22 AM  1000         -     13712   16.83   16.83    0.00    0.99   33.66     0  |__tokio-rt-worker
08:01:23 AM  1000     13704         -  131.00  106.00    0.00    0.00  237.00     5  npuforge-node
08:01:23 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:01:23 AM  1000         -     13705   18.00   14.00    0.00    0.00   32.00     7  |__tokio-rt-worker
08:01:23 AM  1000         -     13706   16.00   15.00    0.00    1.00   31.00     4  |__tokio-rt-worker
08:01:23 AM  1000         -     13707   16.00   17.00    0.00    1.00   33.00     6  |__tokio-rt-worker
08:01:23 AM  1000         -     13708   15.00   11.00    0.00    0.00   26.00     5  |__tokio-rt-worker
08:01:23 AM  1000         -     13709   16.00   18.00    0.00    1.00   34.00     2  |__tokio-rt-worker
08:01:23 AM  1000         -     13710   13.00   11.00    0.00    0.00   24.00     4  |__tokio-rt-worker
08:01:23 AM  1000         -     13711   17.00   13.00    0.00    1.00   30.00     7  |__tokio-rt-worker
08:01:23 AM  1000         -     13712   19.00    8.00    0.00    0.00   27.00     3  |__tokio-rt-worker
08:01:24 AM  1000     13704         -  137.00  114.00    0.00    0.00  251.00     5  npuforge-node
08:01:24 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:01:24 AM  1000         -     13705   16.00   12.00    0.00    1.00   28.00     4  |__tokio-rt-worker
08:01:24 AM  1000         -     13706   22.00   16.00    0.00    0.00   38.00     2  |__tokio-rt-worker
08:01:24 AM  1000         -     13707   18.00   11.00    0.00    1.00   29.00     3  |__tokio-rt-worker
08:01:24 AM  1000         -     13708   18.00   19.00    0.00    1.00   37.00     0  |__tokio-rt-worker
08:01:24 AM  1000         -     13709   14.00   14.00    0.00    0.00   28.00     1  |__tokio-rt-worker
08:01:24 AM  1000         -     13710   16.00   12.00    0.00    1.00   28.00     6  |__tokio-rt-worker
08:01:24 AM  1000         -     13711   18.00   16.00    0.00    1.00   34.00     5  |__tokio-rt-worker
08:01:24 AM  1000         -     13712   17.00   12.00    0.00    1.00   29.00     3  |__tokio-rt-worker
08:01:25 AM  1000     13704         -  146.00  114.00    0.00    0.00  260.00     5  npuforge-node
08:01:25 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:01:25 AM  1000         -     13705   16.00   11.00    0.00    1.00   27.00     7  |__tokio-rt-worker
08:01:25 AM  1000         -     13706   19.00   13.00    0.00    1.00   32.00     5  |__tokio-rt-worker
