Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

08:00:15 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:00:16 AM  1000     13704         -    0.00    0.00    0.00    0.00    0.00     5  npuforge-node
08:00:16 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:00:16 AM  1000         -     13705    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
08:00:16 AM  1000         -     13706    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:16 AM  1000         -     13707    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:16 AM  1000         -     13708    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
08:00:16 AM  1000         -     13709    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:16 AM  1000         -     13710    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:16 AM  1000         -     13711    0.00    0.00    0.00    0.00    0.00     5  |__tokio-rt-worker
08:00:16 AM  1000         -     13712    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
08:00:17 AM  1000     13704         -    0.00    0.00    0.00    0.00    0.00     5  npuforge-node
08:00:17 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:00:17 AM  1000         -     13705    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
08:00:17 AM  1000         -     13706    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:17 AM  1000         -     13707    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:17 AM  1000         -     13708    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
08:00:17 AM  1000         -     13709    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:17 AM  1000         -     13710    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:17 AM  1000         -     13711    0.00    0.00    0.00    0.00    0.00     5  |__tokio-rt-worker
08:00:17 AM  1000         -     13712    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
08:00:18 AM  1000     13704         -    0.00    0.00    0.00    0.00    0.00     5  npuforge-node
08:00:18 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:00:18 AM  1000         -     13705    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
08:00:18 AM  1000         -     13706    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:18 AM  1000         -     13707    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:18 AM  1000         -     13708    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
08:00:18 AM  1000         -     13709    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:18 AM  1000         -     13710    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:18 AM  1000         -     13711    0.00    0.00    0.00    0.00    0.00     5  |__tokio-rt-worker
08:00:18 AM  1000         -     13712    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
08:00:19 AM  1000     13704         -    0.00    0.00    0.00    0.00    0.00     5  npuforge-node
08:00:19 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:00:19 AM  1000         -     13705    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
08:00:19 AM  1000         -     13706    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:19 AM  1000         -     13707    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:19 AM  1000         -     13708    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
08:00:19 AM  1000         -     13709    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:19 AM  1000         -     13710    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:19 AM  1000         -     13711    0.00    0.00    0.00    0.00    0.00     5  |__tokio-rt-worker
08:00:19 AM  1000         -     13712    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
08:00:20 AM  1000     13704         -    1.00    0.00    0.00    0.00    1.00     5  npuforge-node
08:00:20 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:00:20 AM  1000         -     13705    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
08:00:20 AM  1000         -     13706    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:20 AM  1000         -     13707    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:20 AM  1000         -     13708    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
08:00:20 AM  1000         -     13709    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:20 AM  1000         -     13710    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:20 AM  1000         -     13711    0.00    0.00    0.00    0.00    0.00     5  |__tokio-rt-worker
08:00:20 AM  1000         -     13712    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
08:00:21 AM  1000     13704         -    0.00    0.00    0.00    0.00    0.00     5  npuforge-node
08:00:21 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:00:21 AM  1000         -     13705    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
08:00:21 AM  1000         -     13706    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:21 AM  1000         -     13707    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:21 AM  1000         -     13708    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
08:00:21 AM  1000         -     13709    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:21 AM  1000         -     13710    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:21 AM  1000         -     13711    0.00    0.00    0.00    0.00    0.00     5  |__tokio-rt-worker
08:00:21 AM  1000         -     13712    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
08:00:22 AM  1000     13704         -    0.00    0.00    0.00    0.00    0.00     5  npuforge-node
08:00:22 AM  1000         -     13704    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node
08:00:22 AM  1000         -     13705    0.00    0.00    0.00    0.00    0.00     7  |__tokio-rt-worker
08:00:22 AM  1000         -     13706    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:22 AM  1000         -     13707    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:22 AM  1000         -     13708    0.00    0.00    0.00    0.00    0.00     0  |__tokio-rt-worker
08:00:22 AM  1000         -     13709    0.00    0.00    0.00    0.00    0.00     2  |__tokio-rt-worker
08:00:22 AM  1000         -     13710    0.00    0.00    0.00    0.00    0.00     1  |__tokio-rt-worker
08:00:22 AM  1000         -     13711    0.00    0.00    0.00    0.00    0.00     5  |__tokio-rt-worker
08:00:22 AM  1000         -     13712    0.00    0.00    0.00    0.00    0.00     6  |__tokio-rt-worker
