Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

08:08:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:08:59 AM  all    9.27    0.00    7.70    0.00    0.00    0.00    0.00    0.00    0.00   83.03
08:08:59 AM    0   13.48    0.00    8.99    0.00    0.00    0.00    0.00    0.00    0.00   77.53
08:08:59 AM    1    9.38    0.00    9.38    0.00    0.00    0.00    0.00    0.00    0.00   81.25
08:08:59 AM    2   11.46    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   82.29
08:08:59 AM    3   12.37    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   80.41
08:08:59 AM    4    6.19    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   85.57
08:08:59 AM    5    8.25    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   85.57
08:08:59 AM    6    7.22    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   85.57
08:08:59 AM    7    6.19    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   85.57

08:08:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:09:00 AM  all   10.00    0.00    7.01    0.00    0.00    0.00    0.00    0.00    0.00   82.99
08:09:00 AM    0   12.36    0.00    8.99    0.00    0.00    0.00    0.00    0.00    0.00   78.65
08:09:00 AM    1   11.34    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   81.44
08:09:00 AM    2   12.50    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   81.25
08:09:00 AM    3   13.54    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   82.29
08:09:00 AM    4    7.22    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   85.57
08:09:00 AM    5    8.25    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   85.57
08:09:00 AM    6    8.25    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   85.57
