Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

08:08:58 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:08:59 AM  1000     18519         -   81.00   63.00    0.00    0.00  144.00     6  sustained_load_
08:08:59 AM  1000         -     18519    0.00    0.00    0.00    0.00    0.00     6  |__sustained_load_
08:08:59 AM  1000         -     18521   12.00    7.00    0.00    0.00   19.00     2  |__sustained_load_
08:08:59 AM  1000         -     18522    9.00    7.00    0.00    0.00   16.00     6  |__sustained_load_
08:08:59 AM  1000         -     18523   10.00    7.00    0.00    0.00   17.00     0  |__sustained_load_
08:08:59 AM  1000         -     18524   12.00    6.00    0.00    0.00   18.00     7  |__sustained_load_
08:08:59 AM  1000         -     18525    8.00   10.00    0.00    0.00   18.00     4  |__sustained_load_
08:08:59 AM  1000         -     18526    9.00    9.00    0.00    0.00   18.00     7  |__sustained_load_
08:08:59 AM  1000         -     18527    8.00    7.00    0.00    0.00   15.00     4  |__sustained_load_
08:08:59 AM  1000         -     18528   12.00   10.00    0.00    0.00   22.00     3  |__sustained_load_
08:09:00 AM  1000     18519         -   85.00   59.00    0.00    0.00  144.00     6  sustained_load_
08:09:00 AM  1000         -     18519    0.00    0.00    0.00    0.00    0.00     6  |__sustained_load_
08:09:00 AM  1000         -     18521   14.00    8.00    0.00    0.00   22.00     2  |__sustained_load_
08:09:00 AM  1000         -     18522   15.00    6.00    0.00    0.00   21.00     4  |__sustained_load_
08:09:00 AM  1000         -     18523   14.00    7.00    0.00    0.00   21.00     3  |__sustained_load_
08:09:00 AM  1000         -     18524    9.00    7.00    0.00    0.00   16.00     4  |__sustained_load_
08:09:00 AM  1000         -     18525    7.00    8.00    0.00    0.00   15.00     1  |__sustained_load_
08:09:00 AM  1000         -     18526   11.00    9.00    0.00    0.00   20.00     0  |__sustained_load_
08:09:00 AM  1000         -     18527    7.00    8.00    0.00    0.00   15.00     4  |__sustained_load_
08:09:00 AM  1000         -     18528   10.00    7.00    0.00    0.00   17.00     5  |__sustained_load_
08:09:01 AM  1000     18519         -   82.00   58.00    0.00    0.00  140.00     6  sustained_load_
08:09:01 AM  1000         -     18519    0.00    0.00    0.00    0.00    0.00     6  |__sustained_load_
08:09:01 AM  1000         -     18521   11.00    7.00    0.00    0.00   18.00     4  |__sustained_load_
08:09:01 AM  1000         -     18522    8.00    7.00    0.00    0.00   15.00     7  |__sustained_load_
08:09:01 AM  1000         -     18523   10.00    9.00    0.00    0.00   19.00     3  |__sustained_load_
08:09:01 AM  1000         -     18524    8.00    8.00    0.00    0.00   16.00     7  |__sustained_load_
08:09:01 AM  1000         -     18525    8.00    7.00    0.00    0.00   15.00     0  |__sustained_load_
08:09:01 AM  1000         -     18526   14.00    5.00    0.00    0.00   19.00     2  |__sustained_load_
08:09:01 AM  1000         -     18527    9.00    7.00    0.00    0.00   16.00     4  |__sustained_load_
08:09:01 AM  1000         -     18528   11.00    9.00    0.00    0.00   20.00     1  |__sustained_load_
